key,0,1,2,3
#,IsHidden,Score,Name,Description
int32,bit&01,int32,str,str
0,False,0,"",""
1,True,15000,"",""
2,True,5000,"",""
3,True,3000,"",""
4,True,10000,"",""
5,True,20000,"",""
6,True,15000,"",""
7,True,1000,"",""
8,True,3000,"",""
9,True,10000,"",""
10,True,10000,"",""
11,True,10000,"",""
12,True,10000,"",""
13,True,10000,"",""
14,True,10000,"",""
15,True,15000,"",""
16,True,20000,"",""
17,True,5000,"",""
18,True,12000,"",""
19,True,15000,"",""
20,True,15000,"",""
21,True,15000,"",""
22,True,10000,"",""
23,False,20000,"",""
24,False,-30000,"",""
25,False,20000,"",""
26,False,50000,"",""
27,False,50000,"",""
28,False,80000,"",""
29,True,20000,"",""
30,True,10000,"",""
31,False,25000,"",""
32,False,80000,"",""
33,False,80000,"",""
