key,0,1,2,3,4,5,6,7,8,9
#,Name,,Action[0],Action[1],Action[2],Action[3],,,,
int32,str,sbyte,Action,Action,Action,Action,uint16,uint16,uint16,bit&01
0,"",0,0,0,0,0,0,0,0,True
1,"",0,17355,0,0,0,0,0,0,False
2,"",0,8746,8749,8750,0,0,0,0,True
3,"",0,17355,0,0,0,0,0,0,False
4,"",0,8758,8761,8762,0,0,0,0,True
5,"",0,17355,0,0,0,0,0,0,False
6,"",0,8769,8772,8773,0,0,0,0,True
7,"",0,8780,8781,8782,0,0,0,0,True
8,"",1,17355,0,0,0,0,0,0,False
9,"",0,18916,8793,8794,8798,0,0,0,True
10,"",1,17355,0,0,0,0,0,0,False
11,"",0,8807,8808,8809,0,0,0,0,True
12,"",1,17355,0,0,0,0,0,0,False
13,"",0,17355,0,0,0,0,0,0,False
14,"",1,17355,0,0,0,0,0,0,False
15,"",2,17355,0,0,0,0,0,0,False
16,"",0,17355,0,0,0,0,0,0,False
17,"",0,17355,0,0,0,0,0,0,False
18,"",0,8848,8849,8850,0,0,0,0,True
19,"",0,8887,8888,8889,0,0,0,0,True
20,"",0,17703,17704,17705,0,0,0,0,True
21,"",2,17706,17707,17708,0,0,0,0,True
22,"",0,17756,17757,0,0,0,0,0,True
23,"",0,16788,16269,16984,0,0,0,0,False
24,"",1,16789,16985,0,0,0,0,0,False
25,"",0,16434,16418,16435,0,0,0,0,False
26,"",0,18772,18773,18774,0,0,0,0,False
27,"",1,18900,18901,0,0,0,0,0,True
28,"",1,18904,18905,0,0,0,0,0,True
29,"",1,18906,18907,0,0,0,0,0,True
30,"",1,18914,18913,0,0,0,0,0,True
31,"",1,18917,18918,18919,0,0,0,0,True
32,"",1,18921,18922,0,0,0,0,0,True
33,"",0,8824,8825,8826,0,0,0,0,True
34,"",1,18926,18927,0,0,0,0,0,True
35,"",1,18910,18911,0,0,0,0,0,True
36,"",1,18993,18994,0,0,0,0,0,True
37,"",0,14840,19046,19047,0,0,0,0,False
38,"",0,20490,20491,20492,0,0,0,0,False
39,"",0,20529,20530,20531,20532,0,0,0,False
40,"",0,21612,22502,22817,21613,0,0,0,False
41,"",0,21499,21607,0,0,0,0,0,False
42,"",1,24066,21610,0,0,0,0,0,False
43,"",1,24917,24918,24919,24920,21496,21923,24831,False
44,"",0,0,0,0,0,0,0,0,False
45,"",0,0,0,0,0,0,0,0,False
46,"",0,0,0,0,0,0,0,0,False
47,"",0,0,0,0,0,0,0,0,False
48,"",0,0,0,0,0,0,0,0,False
49,"",0,0,0,0,0,0,0,0,False
50,"",0,0,0,0,0,0,0,0,False
