key,0,1
#,Name,ClassJob
int32,Action,ClassJob
0,"",
1,"風魔手裏剣","忍者"
2,"火遁の術","忍者"
3,"雷遁の術","忍者"
4,"氷遁の術","忍者"
5,"風遁の術","忍者"
6,"土遁の術","忍者"
7,"水遁の術","忍者"
8,"陰陽闘気斬","モンク"
9,"アーゼマの均衡","占星術師"
10,"オシュオンの矢","占星術師"
11,"ハルオーネの槍","占星術師"
12,"世界樹の幹","占星術師"
13,"サリャクの水瓶","占星術師"
14,"ビエルゴの塔","占星術師"
15,"クラウンロード","占星術師"
16,"クラウンレディ","占星術師"
17,"ルインジャ","召喚士"
18,"エギの加護",
19,"ウィルムウェーブ","召喚士"
20,"アク・モーン","召喚士"
21,"彼岸花","侍"
22,"天下五剣","侍"
23,"乱れ雪月花","侍"
24,"フェイユニオン",
25,"ナーストレンド","竜騎士"
26,"オーバーロード・ルーク","機工士"
27,"エンリポスト","赤魔道士"
28,"エンツヴェルクハウ","赤魔道士"
29,"エンルドゥブルマン","赤魔道士"
30,"エンムーリネ","赤魔道士"
31,"口寄せの術",
32,"ステラデトネーション",
33,"ジャギュラーリップ","ガンブレイカー"
34,"アブドメンテアー","ガンブレイカー"
35,"アイガウジ","ガンブレイカー"
36,"薔薇のアンボワテ","踊り子"
37,"小鳥のアントルシャ","踊り子"
38,"緑葉のジュテ","踊り子"
39,"金冠のピルエッテ","踊り子"
40,"スタンダードフィニッシュ","踊り子"
41,"シングル・スタンダードフィニッシュ",
42,"ダブル・スタンダードフィニッシュ",
43,"テクニカルフィニッシュ","踊り子"
44,"シングル・テクニカルフィニッシュ",
45,"ダブル・テクニカルフィニッシュ",
46,"トリプル・テクニカルフィニッシュ",
47,"クワッド・テクニカルフィニッシュ",
48,"エギアサルトI：トパーズの煌き",
49,"エギアサルトII：トパーズの輝き",
50,"エギアサルトI：ダウンバースト",
51,"エギアサルトII：エメラルドの煌き",
52,"エギアサルトI：大地の鎧",
53,"エギアサルトII：マウンテンバスター",
54,"エギアサルトI：エリアルスラッシュ",
55,"エギアサルトII：スリップストリーム",
56,"エギアサルトI：クリムゾンサイクロン",
57,"エギアサルトII：フレイミングクラッシュ",
58,"エンキンドル：大地の怒り",
59,"エンキンドル：エリアルブラスト",
60,"エンキンドル：地獄の火炎",
61,"劫火滅却の術","忍者"
62,"氷晶乱流の術","忍者"
63,"アスペクト・ベネフィク",
64,"アスペクト・ヘリオス",
65,"デトネーター","機工士"
66,"クイーン・アームパンチ","機工士"
67,"クイーン・ローラーダッシュ","機工士"
68,"クイーン・パイルバンカー","機工士"
69,"カオティックサイクロン","戦士"
70,"インナーカオス","戦士"
71,"返し彼岸花","侍"
72,"返し五剣","侍"
73,"返し雪月花","侍"
74,"ヴァルフレア","赤魔道士"
75,"ヴァルホーリー","赤魔道士"
76,"エンルプリーズ","赤魔道士"
77,"スコーチ","赤魔道士"
78,"ホロスコープ",
79,"霊泉の炎","召喚士"
80,"煉獄の炎","召喚士"
81,"トランス・フェニックス","召喚士"
82,"トランス・フェニックス",
83,"不死鳥の翼","召喚士"
84,"エンキンドル・フェニックス","召喚士"
85,"火焔","召喚士"
86,"リヴァレーション","召喚士"
87,"竜眼雷電","竜騎士"
88,"","すっぴん士"
89,"","すっぴん士"
90,"","すっぴん士"
