key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,Territory,,AetherCurrent[0],AetherCurrent[1],AetherCurrent[2],AetherCurrent[3],AetherCurrent[4],AetherCurrent[5],AetherCurrent[6],AetherCurrent[7],AetherCurrent[8],AetherCurrent[9],AetherCurrent[10],AetherCurrent[11],AetherCurrent[12],AetherCurrent[13]
int32,TerritoryType,int32,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,397,2818048,2818049,2818050,2818051,2818052,2818053,0,2818055,0,2818057,2818058,0,0,0,0
2,398,2818063,2818064,2818065,2818066,2818067,2818068,0,2818070,0,0,0,2818074,0,0,2818077
3,399,2818078,2818079,2818080,2818081,2818082,2818083,0,0,2818086,0,2818088,0,0,0,2818092
4,400,2818093,2818094,2818095,2818096,2818097,0,2818099,2818100,2818101,0,0,0,0,0,2818107
5,401,2818108,2818109,2818110,2818111,2818112,0,0,0,2818116,2818117,0,2818119,0,0,2818122
6,402,2818123,2818124,2818125,2818126,2818127,0,0,0,0,0,0,0,0,0,0
7,612,2818128,2818129,2818130,2818131,2818132,2818133,0,2818135,0,0,0,2818139,2818140,0,0
8,613,2818173,2818174,2818175,2818176,2818177,2818178,0,0,0,2818182,0,0,2818185,0,2818187
9,620,2818143,2818144,2818145,2818146,2818147,0,2818149,0,2818151,0,0,2818154,0,0,2818157
10,614,2818188,2818189,2818190,2818191,2818192,0,0,2818195,2818196,0,0,2818199,0,2818201,0
11,621,2818158,2818159,2818160,2818161,2818162,0,0,2818165,0,0,0,0,2818170,2818171,2818172
12,622,2818203,2818204,2818205,2818206,2818207,2818208,0,2818210,0,2818212,0,0,2818215,0,0
13,813,2818218,2818219,2818220,2818221,2818222,2818223,0,0,0,2818227,0,0,2818230,2818231,0
14,815,2818248,2818249,2818250,2818251,2818252,2818253,0,0,2818256,0,0,2818259,0,2818261,0
15,816,2818263,2818264,2818265,2818266,2818267,0,0,2818270,0,0,2818273,0,0,2818276,2818277
16,814,2818233,2818234,2818235,2818236,2818237,2818238,0,0,0,2818242,0,0,2818245,2818246,0
17,817,2818278,2818279,2818280,2818281,2818282,2818283,0,2818285,0,0,2818288,0,0,0,2818292
18,818,2818293,2818294,2818295,2818296,2818297,2818298,0,2818300,0,0,2818303,0,0,0,2818307
19,156,2818308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
