key,0,1,2,3,4,5,6,7
#,,Icon,Stats,Description,,Location,StartQuest,NextQuest
int32,byte,Image,str,str,byte,ContentFinderCondition,Quest,Quest
0,0,"ui/icon/000000/000000.tex","","",0,"",,
1,25,"ui/icon/063000/063801.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻撃タイプ：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻撃属性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>風
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>ランク：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","テュポーン先生の秘技。
猛烈な鼻息を噴射することで、正面にいる敵を攻撃する青魔法。嵐のような突風にさらされることに加え、微妙な精神的苦痛を与えることができる。",4,"アマジナ杯闘技会決勝戦",,
2,26,"ui/icon/063000/063802.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻撃タイプ：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>物理・打
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻撃属性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>無
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>ランク：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","オルトロスの得意技。
幻の重しを空中に創り出し、それを落下させて下にいる敵を押しつぶす。実際に重量が4トンズあるかどうかは、定かではない。",4,"アマジナ杯闘技会決勝戦",,
3,1,"ui/icon/063000/063803.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻撃タイプ：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻撃属性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>水
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>ランク：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★
","クラーケンからラーニングした青魔法。
圧縮した水を放つことで、敵に衝撃を与える。水属性のエーテルを練ることで空気中の水分を凝縮するため、一見すると水のない場所でも使用可能である。",3,"",,
4,9,"ui/icon/063000/063804.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻撃タイプ：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻撃属性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>無
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>ランク：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★
","セイレーンが得意とする青魔法。
歌声に害意のある魔力を乗せることで、聞く者の精神を汚染。これにより、敵に一種の幻痛を引き起こし、肉体的ダメージを与えるのだ。",4,"怪鳥巨塔 シリウス大灯台",,
5,6,"ui/icon/063000/063805.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻撃タイプ：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻撃属性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>雷
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>ランク：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","アラグ帝国が開発した機械化魔法。
機械に魔法を詠唱させる試みの過程で編み出されたもので、雷属性のエーテルを操作し、圧力を高めた電流を周囲に放射する。",4,"大迷宮バハムート：邂逅編1",,
6,28,"ui/icon/063000/063806.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻撃タイプ：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻撃属性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>無
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>ランク：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★
","主にモルボルが使用する青魔法。
風属性と土属性のエーテルを操作して霊極性に寄せることにより、口から吐く息に毒素を乗せて広範囲に放射する。もっとも臭い青魔法と呼ばれる。",1,"不気味な陣形を組む妖異をせん滅せよ！",,
7,4,"ui/icon/063000/063807.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻撃タイプ：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>物理・打
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻撃属性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>無
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>ランク：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★
","ズーが使用する青魔法。
自分自身の精神を魔法的に操作することで、脳内の怒りの感情を増幅させて恐怖心を取り払い、肉体的な枷を外して全力で敵に飛びかかる。",4,"怪鳥巨塔 シリウス大灯台",,
