key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#,Behavior,ActionTimelineMove,,,Scale,ModelChara,BNpcCustomize,NpcEquip,,,,ArrayEventHandler,BNpcParts,,,,,,,
int32,Behavior,ActionTimelineMove,byte,byte,single,ModelChara,BNpcCustomize,NpcEquip,uint16,byte,bit&01,ArrayEventHandler,BNpcParts,bit&02,bit&04,bit&08,bit&10,bit&20,byte,byte
0,,"ActionTimelineMove#4",0,0,1,"ModelChara#0","BNpcCustomize#0","NpcEquip#0",0,0,False,,"BNpcParts#0",True,True,True,True,False,0,0
1,,"ActionTimelineMove#4",0,0,1,"ModelChara#0","BNpcCustomize#2","NpcEquip#366",0,0,False,,"BNpcParts#0",True,True,True,True,False,0,0
2,,"ActionTimelineMove#4",0,0,1,"ModelChara#96","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851976","BNpcParts#0",True,True,True,True,False,0,0
3,,"ActionTimelineMove#4",0,0,1.2,"ModelChara#61","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#852023","BNpcParts#0",True,True,True,True,False,0,0
4,,"ActionTimelineMove#4",0,0,1.3,"ModelChara#62","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#852053","BNpcParts#0",True,True,True,True,False,0,0
5,,"ActionTimelineMove#4",0,0,1.2,"ModelChara#31","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851987","BNpcParts#0",True,True,True,True,False,0,0
6,,"ActionTimelineMove#4",0,0,1.2,"ModelChara#32","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851994","BNpcParts#0",True,True,True,True,False,0,0
7,,"ActionTimelineMove#4",0,0,2,"ModelChara#53","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851997","BNpcParts#0",True,True,True,True,False,0,0
8,,"ActionTimelineMove#4",0,0,2,"ModelChara#54","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#852174","BNpcParts#0",True,True,True,True,False,0,0
9,,"ActionTimelineMove#4",0,0,1,"ModelChara#20","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851984","BNpcParts#0",True,True,True,True,False,0,0
10,,"ActionTimelineMove#4",0,0,1.5,"ModelChara#21","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851978","BNpcParts#0",True,True,True,True,False,0,0
11,,"ActionTimelineMove#4",0,0,2,"ModelChara#22","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#852199","BNpcParts#0",True,True,True,True,False,0,0
12,,"ActionTimelineMove#4",0,0,1.5,"ModelChara#39","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851973","BNpcParts#0",True,True,True,True,False,0,0
13,,"ActionTimelineMove#4",0,0,1.5,"ModelChara#40","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#852137","BNpcParts#0",True,True,True,True,False,0,0
14,,"ActionTimelineMove#4",0,0,0.9,"ModelChara#46","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851969","BNpcParts#0",True,True,True,True,False,0,0
15,,"ActionTimelineMove#4",0,0,1.2,"ModelChara#44","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851995","BNpcParts#0",True,True,True,True,False,0,0
16,,"ActionTimelineMove#4",0,0,1.2,"ModelChara#45","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851972","BNpcParts#0",True,True,True,True,False,0,0
17,,"ActionTimelineMove#4",0,0,2,"ModelChara#100","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851971","BNpcParts#0",True,True,True,True,False,0,0
18,,"ActionTimelineMove#4",0,0,1,"ModelChara#0","BNpcCustomize#81","NpcEquip#462",0,0,False,"ArrayEventHandler#851985","BNpcParts#0",True,True,True,True,False,0,0
19,,"ActionTimelineMove#4",0,0,1,"ModelChara#0","BNpcCustomize#82","NpcEquip#463",0,0,False,"ArrayEventHandler#852075","BNpcParts#0",True,True,True,True,False,0,0
20,,"ActionTimelineMove#4",0,0,1.5,"ModelChara#17","BNpcCustomize#0","NpcEquip#416",0,0,False,"ArrayEventHandler#851992","BNpcParts#0",True,True,True,True,False,0,0
21,,"ActionTimelineMove#4",0,0,1.5,"ModelChara#63","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#852040","BNpcParts#0",True,True,True,True,False,0,0
22,,"ActionTimelineMove#4",0,0,2,"ModelChara#48","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851983","BNpcParts#0",True,True,True,True,False,0,0
23,,"ActionTimelineMove#4",0,0,2,"ModelChara#49","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#852024","BNpcParts#0",True,True,True,True,False,0,0
24,,"ActionTimelineMove#4",0,0,1,"ModelChara#104","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#852044","BNpcParts#0",True,True,True,True,False,0,0
25,,"ActionTimelineMove#4",0,0,1,"ModelChara#106","BNpcCustomize#0","NpcEquip#0",0,0,False,,"BNpcParts#0",True,True,True,True,False,0,0
26,,"ActionTimelineMove#4",0,0,1.5,"ModelChara#126","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#852030","BNpcParts#0",True,True,True,True,False,0,0
27,,"ActionTimelineMove#4",0,0,1.5,"ModelChara#127","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#852157","BNpcParts#0",True,True,True,True,False,0,0
28,,"ActionTimelineMove#4",0,0,1.5,"ModelChara#69","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#852074","BNpcParts#0",True,True,True,True,False,0,0
29,,"ActionTimelineMove#4",0,0,1.5,"ModelChara#125","BNpcCustomize#0","NpcEquip#422",0,0,False,"ArrayEventHandler#852658","BNpcParts#0",True,True,True,True,False,0,0
30,,"ActionTimelineMove#4",0,0,2,"ModelChara#81","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#852147","BNpcParts#0",True,True,True,True,False,0,0
31,,"ActionTimelineMove#4",0,0,1,"ModelChara#71","BNpcCustomize#0","NpcEquip#418",0,0,False,,"BNpcParts#0",True,True,True,True,False,0,0
32,,"ActionTimelineMove#4",0,0,0.5,"ModelChara#35","BNpcCustomize#0","NpcEquip#0",0,0,False,"ArrayEventHandler#851988","BNpcParts#0",True,True,True,True,False,0,0
