key,0,1,2,3,4,5,6,7,8
#,UnlockType1,UnlockCriteria1,UnlockType2,UnlockCriteria2,UnlockCriteria3,UnlockCriteria4,HasPrerequisite,Prerequisite,
int32,byte,Row,byte,Row,Row,Row,byte,Quest,bit&01
0,0,,0,,,,0,,False
1,10,,1,,,,0,,False
2,5,"表情：破顔",4,"景品交換窓口","Level#5581045","演技教本:破顔",1,"いざ、魅惑の遊技場へ",False
3,5,"表情：熟考",5,"演技教本:熟考",,,1,"英雄の卵",False
4,5,"表情：空想",2,"「暁」の少年",,,1,"月下の華",False
5,5,"表情：忍耐",2,"響き渡る声",,,1,"楔石の虚",False
6,5,"東方風お辞儀",2,"砦に集いし無頼漢",,,1,"オサード小大陸にて",False
7,5,"挨拶する",2,"風雲急を告げる報せ",,,1,"英雄の帰還",False
8,5,"帝国式敬礼",2,"偽りの敬礼",,,1,"帝国軍あざむき作戦",False
9,5,"ラリホー",2," ラリホー！！！！",,,1," 挨拶の猛特訓！",False
10,5,"戦いに備える",2,"運命の歯車",,,1,"光さす明日へ",False
11,5,"勝利を喜ぶ",2,"四国合同演習",,,1,"その者の選択",False
12,5,"「イイ！」",2,"友の微笑み",,,1,"目に浮かびしは",False
13,5,"心づけ",2,"三種の至宝",,,1,"賢者のヒレ",False
14,5,"投げる",2,"雪原の投擲者",,,1,"雪原に佇む存在",False
15,5,"眼鏡を正す",2,"怪文書の影に",,,1,"継がれゆく使命",False
16,5,"静寂を促す",2,"黎明の死闘",,,1,"知の集積者",False
17,5,"ステップダンス",2,"こっそりバッチリ愉快な踊り",,,1,"こっそりバッチリ愉快な踊り",False
18,5,"豊穣の舞",2,"誰がために人は踊る",,,1,"誰がために人は踊る",False
19,5,"宮廷の舞",2,"踊り子は次の舞台へ",,,1,"踊り子は次の舞台へ",False
20,5,"紳士の舞",2,"白髪の鬼",,,1,"はじまりの予告",False
21,5,"事件屋の決めポーズ",2,"事件は砂塵に消ゆ",,,1,"めぐる血の呪い",False
22,5,"太陽の舞",2," 畏敬されし者",,,1," 友好への宴",False
23,5,"太陽と月の舞",2,"導かれし盟友たち",,,1,"勇猛なる太陽と月の舞",False
24,5,"モグモグダンス",2," 岩を砕く修復団！",,,1," 像を手がける修復団！",False
25,5,"鼻歌",2,"朱色慕情",,,1,"時をかける亀",False
26,5,"事件屋のマンボ",2,"薬に侵されし最強の男",,,1,"秘められた証拠品",False
27,5,"格闘訓練",2,"冒険の誘い",,,1,"紅蓮のリベレーター",False
28,5,"抱き合う",2,"時がふたりを分かつまで",,,1,"時がふたりを分かつまで",True
29,5,"サベネアンダンス",4,"景品交換窓口","Level#5581045","演技教本:サベネアンダンス",1,"いざ、魅惑の遊技場へ",False
30,5,"ゴールデンダンス",4,"景品交換窓口","Level#5581045","演技教本:ゴールデンダンス",1,"いざ、魅惑の遊技場へ",False
31,5,"ビーステップ",4,"景品交換窓口","Level#5581045","演技教本:ビーステップ",1,"いざ、魅惑の遊技場へ",False
32,5,"頭痛",4,"泣男のラトージャ","Level#8157292","演技教本:頭痛",1,"真なるジークフリード",False
33,5,"怯える",4,"エシナ","Level#6708398","演技教本:怯える",1,"紅蓮のリベレーター",False
34,5,"膝を突く",4,"エシナ","Level#6708398","演技教本:膝を突く",1,"紅蓮のリベレーター",False
35,5,"主張する",4,"エニー","Level#8104544","演技教本:主張する",1,"蒼天を仰ぐ街",False
36,5,"パンを食べる",4,"エニー","Level#8104544","演技教本:パンを食べる",1,"蒼天を仰ぐ街",False
37,5,"おにぎりを食べる",4,"エニー","Level#8104544","演技教本:おにぎりを食べる",1,"蒼天を仰ぐ街",False
38,5,"本を読む",4,"エニー","Level#8104544","演技教本:本を読む",1,"蒼天を仰ぐ街",False
39,5,"ハイタッチ",4,"エニー","Level#8104544","演技教本:ハイタッチ",1,"蒼天を仰ぐ街",False
40,5,"斜め立ち",4,"エニー","Level#8104544","演技教本:斜め立ち",1,"蒼天を仰ぐ街",False
41,5,"ホウキで掃く",4,"エニー","Level#8104544","演技教本:ホウキで掃く",1,"蒼天を仰ぐ街",False
42,5,"仰天",4,"カスミ","Level#7244693","演技教本:仰天",1,"いざ、魅惑の遊技場へ",False
43,5,"暑がる",4,"海賊衆の資材係","Level#7397074","演技教本:暑がる",1,"深淵なるはアメノミハシラ",False
44,5,"警備する",4,"レジスタンスの補給兵","Level#8395975","演技教本:警備する",1,"荒鷲の巣作戦",False
45,5,"呪う",4,"レジスタンスの補給兵","Level#8395975","演技教本:呪う",1,"荒鷲の巣作戦",False
46,5,"抱拳礼",12,"演技教本:抱拳礼",,,0,,True
47,5,"愛を表現する",6,"演技教本:愛を表現する",,,0,,True
48,5,"勝ちどき",6,"演技教本:勝ちどき",,,0,,True
49,5,"閃く",6,"演技教本:閃く",,,0,,True
50,5,"サボテンダーポーズ",6,"演技教本:サボテンダーポーズ",,,0,,True
51,5,"乾杯する",12,"演技教本:乾杯",,,0,,True
52,5,"フィンガースナップ",12,"演技教本:フィンガースナップ",,,0,,True
53,5,"フラワーシャワー",12,"演技教本:フラワーシャワー",,,0,,True
54,5,"困惑する",6,"演技教本:困惑する",,,0,,True
55,5,"トームストーン",9,,,,0,,True
56,5,"宙返り",12,"演技教本:宙返り",,,0,,True
57,5,"ウォームアップ",12,"演技教本:準備体操",,,0,,True
58,5,"おねだり",12,"演技教本:おねだり",,,0,,True
59,5,"力を高める",12,"演技教本:力を高める",,,0,,True
60,5,"演舞",12,"演技教本:演舞",,,0,,True
61,5,"ピザを食べる",12,"演技教本:ピザを食べる",,,0,,True
62,5,"ゆで卵を食べる",6,"演技教本:ゆで卵を食べる",,,0,,True
63,5,"紅茶を飲む",12,"演技教本:紅茶を飲む",,,0,,True
64,5,"疑問を抱く",6,"演技教本:疑問を抱く",,,0,,True
65,5,"パントマイム",12,"演技教本:パントマイム",,,0,,True
66,5,"ボム踊り",6,"演技教本:ボム踊り",,,0,,True
67,5,"戦士の演武：壱",6,"演技教本:戦士の演武壱",,,0,,True
68,5,"戦士の演武：壱ノ裏",6,"演技教本:戦士の演武壱",,,0,,True
69,5,"戦士の演武：弐",6,"演技教本:戦士の演武弐",,,0,,True
70,5,"戦士の演武：弐ノ裏",6,"演技教本:戦士の演武弐",,,0,,True
71,5,"戦士の演武：参",6,"演技教本:戦士の演武参",,,0,,True
72,5,"戦士の演武：参ノ裏",6,"演技教本:戦士の演武参",,,0,,True
73,5,"東方の伝統舞踊",12,"演技教本:東方舞踊",,,0,,True
74,5,"歌姫を真似る",6,"演技教本:歌姫を真似る",,,0,,True
75,5,"声援：青",6,"演技教本:声援:青",,,0,,True
76,5,"声援：黄",6,"演技教本:声援:黄",,,0,,True
77,5,"声援：赤",6,"演技教本:声援:赤",,,0,,True
78,5,"ボックスステップ",12,"演技教本:ボックスステップ",,,0,,True
79,5,"サイドステップ",12,"演技教本:サイドステップ",,,0,,True
80,5,"ゲットファンタジー",12,"演技教本:ゲットファンタジー",,,0,,True
81,5,"ポポトステップ",12,"演技教本:ポポトステップ",,,0,,True
82,5,"ヒールトー",12,"演技教本:ヒールトー",,,0,,True
83,5,"グゥーブー・ドゥ",12,"演技教本:グゥーブー・ドゥ",,,0,,True
84,5,"わっしょい",12,"演技教本:わっしょい",,,0,,True
85,5,"フレイムダンス",6,"演技教本:フレイムダンス",,,0,,True
86,5,"死んだふり",12,"演技教本:死んだふり",,,0,,True
87,5,"見せつける：右",6,"演技教本:見せつける",,,0,,True
88,5,"見せつける：左",6,"演技教本:見せつける",,,0,,True
89,5,"斬鉄剣",12,"演技教本:斬鉄剣",,,0,,True
90,5,"氷結の幻想",12,"演技教本:氷結の幻想",,,0,,True
91,5,"メガフレア",12,"演技教本:メガフレア",,,0,,True
92,5,"アルテマ",12,"演技教本:アルテマ",,,0,,True
93,5,"オメガMの構え",12,"演技教本:オメガの構え",,,0,,True
94,5,"オメガFの構え",12,"演技教本:オメガの構え",,,0,,True
95,5,"ガッツポーズ",7,"演技教本:ガッツポーズ",,,0,,False
96,5,"寒がる",7,"演技教本:寒がる",,,0,,False
97,5,"企みを話す",7,"演技教本:企みを話す",,,0,,False
98,5,"チョコボの筆：黒",7,"演技教本:チョコボの筆",,,0,,False
99,5,"チョコボの筆：赤",7,"演技教本:チョコボの筆",,,0,,False
100,5,"チョコボの筆：黄",7,"演技教本:チョコボの筆",,,0,,False
101,5,"チョコボの筆：青",7,"演技教本:チョコボの筆",,,0,,False
102,5,"確認",7,"演技教本:確認",,,0,,False
103,5,"リンゴを食べる",7,"演技教本:リンゴを食べる",,,0,,False
104,5,"もみ手をする",7,"演技教本:もみ手をする",,,0,,False
105,5,"おまじない",4,"シキタヘ","Level#7091591","演技教本:おまじない",1," 付喪神縁起譚",False
106,5,"魅惑の抱擁",4,"マドゥラ","Level#7186923","演技教本:魅惑の抱擁",1," 炎のアドバイザー",False
107,5,"ヨルダンス",4,"ギョショウ","Level#7380348","演技教本:ヨルダンス",1," 競えよナマズ",False
108,5,"ラリホップ",4,"ミズット","Level#8368178","演技教本:ラリホップ",1," ノルヴラントの平和を繋げ！",False
109,5,"黒渦団・敬礼",11,"正式配属：黒渦団",,,1,"英雄の卵",False
110,5,"双蛇党・敬礼",11,"正式配属：双蛇党",,,1,"英雄の卵",False
111,5,"不滅隊・敬礼",11,"正式配属：不滅隊",,,1,"英雄の卵",False
112,5,"拳を突き出す",8,"演技教本:拳を突き出す",,,0,,False
113,5,"スクワット",11,"我らが小隊長：ランク1",,,1,"忘れられた攻略手帳",False
114,5,"腕立て伏せ",11,"我らが小隊長：ランク1",,,1,"忘れられた攻略手帳",False
115,5,"腹筋運動",11,"我らが小隊長：ランク1",,,1,"忘れられた攻略手帳",False
116,5,"深呼吸",11,"我らが小隊長：ランク1",,,1,"忘れられた攻略手帳",False
117,5,"気をつけ",5,"演技教本:気をつけ",,,1,"英雄の卵",False
118,5,"休め",5,"演技教本:休め",,,1,"英雄の卵",False
119,5,"説明",4,"対人戦績取引窓口","Level#4270098","演技教本:説明",0,,False
120,5,"意気込む",7,"演技教本:意気込む",,,0,,False
121,5,"武器を構える",4,"景品交換窓口","Level#5581045","演技教本:武器を収める",1,"いざ、魅惑の遊技場へ",False
122,5,"武器を収める",4,"景品交換窓口","Level#5581045","演技教本:武器を構える",1,"いざ、魅惑の遊技場へ",False
123,5,"注意する",4,"対人戦績取引窓口","Level#4270098","演技教本:注意する",0,,False
124,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:ナイト",0,,False
125,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:戦士",0,,False
126,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:暗黒騎士",0,,False
127,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:ガンブレイカー",0,,False
128,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:白魔道士",0,,False
129,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:学者",0,,False
130,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:占星術師",0,,False
131,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:賢者",0,,False
132,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:モンク",0,,False
133,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:竜騎士",0,,False
134,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:忍者",0,,False
135,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:侍",0,,False
136,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:リーパー",0,,False
137,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:吟遊詩人",0,,False
138,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:機工士",0,,False
139,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:踊り子",0,,False
140,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:黒魔道士",0,,False
141,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:召喚士",0,,False
142,9,,4,"トロフィークリスタル取引窓口","Level#9159882","ポートレート教材:赤魔道士",0,,False
143,9,,7,"ポートレート教材:アストラ",,,0,,False
144,9,,7,"ポートレート教材:アンブラ",,,0,,False
145,9,,11,"コンフリクトの王者",,,0,,False
146,9,,11,"コンフリクトの勇者",,,0,,False
147,9,,11,"コンフリクトの入賞者",,,0,,False
148,9,,11,"クリスタルベアラー：ブロンズ",,,0,,False
149,9,,11,"クリスタルベアラー：シルバー",,,0,,False
150,9,,11,"クリスタルベアラー：ゴールド",,,0,,False
151,9,,11,"クリスタルベアラー：プラチナ",,,0,,False
152,9,,11,"クリスタルベアラー：ダイヤモンド",,,0,,False
153,9,,11,"クリスタルベアラー：クリスタル",,,0,,False
154,2,,9,,,,0,,False
155,2,,10,,,,0,,False
156,1,"ナルザルの双剣",2,"ナルザルの双剣",,,1,"果たし合う剣と拳",False
157,1,"宿縁を断ち切る日",2,"宿縁を断ち切る日",,,1,"乗り越えるべき壁",False
158,1,"やっと、わかったよ",2,"やっと、わかったよ",,,1,"こころは森に惑う",False
159,1,"拳の聖人",2,"拳の聖人",,,1,"燃える明星、駆ける流星",False
160,1,"勇気の証明",2,"勇気の証明",,,1,"いさおしき者たること",False
161,1,"手を伸ばす先の勝利",2,"手を伸ばす先の勝利",,,1,"闇黒の死",False
162,1,"迷い無き瞳",2,"迷い無き瞳",,,1,"霧の中の岐路",False
163,1,"臆病者の牙",2,"臆病者の牙",,,1,"深淵に射す光",False
164,1,"巴術最大級命題の証明",2,"巴術最大級命題の証明",,,1,"洒脱なる陽動戦術",False
165,1,"自由騎士の誓約",2,"自由騎士の誓約",,,0,,False
166,1,"でっかい夢",2,"でっかい夢",,,0,,False
167,1,"死より冥き闇に",2,"死より冥き闇に",,,0,,False
168,1,"ガンブレイカーへの誘い",2,"ガンブレイカーへの誘い",,,0,,False
169,1,"偉人の後継者",2,"偉人の後継者",,,0,,False
170,1,"学問ノススメ",2,"学問ノススメ",,,0,,False
171,1,"天界への道",2,"天界への道",,,0,,False
172,1,"賢者の誓い",2,"賢者の誓い",,,0,,False
173,1,"亡国からの雷動",2,"亡国からの雷動",,,0,,False
174,1,"竜の眼",2,"竜の眼",,,0,,False
175,1,"月影の導き",2,"月影の導き",,,0,,False
176,1,"侍への道",2,"侍への道",,,0,,False
177,1,"リーパーたる者",2,"リーパーたる者",,,0,,False
178,1,"響きあうふたつの音色",2,"響きあうふたつの音色",,,0,,False
179,1,"工房の救世主",2,"工房の救世主",,,0,,False
180,1,"踊り子の到来",2,"踊り子の到来",,,0,,False
181,1,"声を聞きし者",2,"声を聞きし者",,,0,,False
182,1,"業火の召喚獣",2,"業火の召喚獣",,,0,,False
183,1,"赤魔道士への道",2,"赤魔道士への道",,,0,,False
184,1,"青魔道士と名乗る男",2,"青魔道士と名乗る男",,,0,,False
185,1,"かざすは騎士の聖剣",2,"かざすは騎士の聖剣",,,1,"交わらぬ心慮",False
186,1,"いちばんの戦士",2,"いちばんの戦士",,,1,"腕くらべ",False
187,1,"だから僕は",2,"だから僕は",,,1,"世界は仇なす",False
188,1,"鎮撫の儀",2,"鎮撫の儀",,,1,"不埒者への報い",False
189,1,"次代の学者",2,"次代の学者",,,1,"軍学式の治療法",False
190,1,"「槍」試練に備えよ",2,"「槍」試練に備えよ",,,1,"レヴェヴァの特別指導",False
191,1,"廃王の帰還",2,"廃王の帰還",,,1,"無明の内地",False
192,1,"蒼の竜騎士",2,"蒼の竜騎士",,,1,"邪竜の声",False
193,1,"雲晴れる夜に",2,"雲晴れる夜に",,,1,"心の形",False
194,1,"命の賛歌",2,"命の賛歌",,,1,"浄罪の地を求めて",False
195,1,"名誉をかけた模擬戦",2,"名誉をかけた模擬戦",,,1,"起死回生の切り札",False
196,1,"黒魔法の導き手",2,"黒魔法の導き手",,,1,"道を求むる旅",False
197,1,"邪道と正道",2,"邪道と正道",,,1,"烈風の召喚獣",False
198,1,"二代目マスク・ザ・ブルー",2,"二代目マスク・ザ・ブルー",,,1,"青天の霹靂",False
199,1,"志すは真の騎士",2,"志すは真の騎士",,,1,"堕ちた蠍",False
200,1,"すべてを護る乱撃",2,"すべてを護る乱撃",,,1,"かち割れぬ暗雲",False
201,1,"そしてふたつの名は消える",2,"そしてふたつの名は消える",,,1,"心は遠い空に",False
202,1,"世界の癒し手",2,"世界の癒し手",,,1,"角尊は惑う",False
203,1,"次代の「海兵団」",2,"次代の「海兵団」",,,1,"消え去りし大妖異",False
204,1,"運命を切り拓く占星術師",2,"運命を切り拓く占星術師",,,1,"叡智を守護する者",False
205,1,"力を統べる者、力を担う者",2,"力を統べる者、力を担う者",,,1,"鳥籠の中",False
206,1,"槍に誓う使命",2,"槍に誓う使命",,,1,"血塗られた使命と宿命",False
207,1,"融雪の雨に",2,"融雪の雨に",,,1,"月夜の叢雲",False
208,1,"極悪人コガラシ",2,"極悪人コガラシ",,,1,"皇都を惑わす心中の怪！",False
209,1,"終焉の戦歌",2,"終焉の戦歌",,,1,"道は詩聖へと続く",False
210,1,"照準！俺たちの未来",2,"照準！俺たちの未来",,,1,"慚愧！錆びた鉄の罪",False
211,1,"破壊と癒し",2,"破壊と癒し",,,1,"正義のために破壊を",False
212,1,"闇を打ち消す光を放たん",2,"闇を打ち消す光を放たん",,,1,"残留する力をその身に",False
213,1,"抗いの果てに",2,"抗いの果てに",,,1,"ランバードの幻影",False
214,1,"さらば、初代マスク・ザ・ブルー",2,"さらば、初代マスク・ザ・ブルー",,,1,"真なるジークフリード",False
215,1,"さらなる剣術の高みへ",2,"さらなる剣術の高みへ",,,1,"いざ、決勝戦へ……",False
216,1,"燃えよゴージ！",2,"燃えよゴージ！",,,1,"オメを追って",False
