key,0,1,2,3,4
#,Background,Frame,Decoration,SortKey,Name
int32,BannerBg,BannerFrame,BannerDecoration,uint16,str
0,"なし","なし","なし",0,"カスタム"
1,"無地：グレー","なし","なし",1,"ベーシック"
2,"四角形","フェード：ホワイト","なし",2,"シンプルモダン"
3,"ヴォイド空間","アンティーク","なし",3,"古典的な肖像画"
4,"羊皮紙","アンティーク","なし",4,"印象的な肖像画"
5,"無地：パープル","隅飾り","キラキラ",5,"ゴージャス"
6,"エーテル空間","なし","なし",6,"エーテル空間"
7,"羊皮紙","ジャーナル","なし",7,"クエストジャーナル"
8,"グラデーション：TANK","シンプルフレーム：ソリッド","TANK",8,"ロール：TANK"
9,"グラデーション：HEALER","シンプルフレーム：ソリッド","HEALER",9,"ロール：HEALER"
10,"グラデーション：DPS","シンプルフレーム：ソリッド","DPS",10,"ロール：DPS"
11,"なし","なし","なし",0,""
12,"なし","なし","なし",0,""
13,"なし","なし","なし",0,""
14,"なし","なし","なし",0,""
15,"なし","なし","なし",0,""
16,"なし","なし","なし",0,""
17,"なし","なし","なし",0,""
18,"なし","なし","なし",0,""
19,"なし","なし","なし",0,""
20,"なし","なし","なし",0,""
