key,0,1,2,3,4
#,Name,Description,Icon,ChocoboRaceAbilityType,Value
int32,str,str,Image,ChocoboRaceAbilityType,byte
0,"","",0,0,0
1,"","",70001,1,1
2,"","",70002,1,2
3,"","",70003,1,3
4,"","",70004,2,6
5,"","",70005,2,9
6,"","",70006,2,12
7,"","",70007,3,75
8,"","",70008,3,90
9,"","",70009,3,100
10,"","",70010,4,80
11,"","",70011,4,130
12,"","",70012,4,180
13,"","",70013,5,100
14,"","",70014,5,150
15,"","",70015,5,200
16,"","",70016,6,10
17,"","",70017,6,15
18,"","",70018,6,20
19,"","",70019,7,50
20,"","",70020,7,70
21,"","",70021,7,90
22,"","",70022,8,35
23,"","",70023,8,40
24,"","",70024,8,45
25,"","",70025,9,25
26,"","",70026,9,30
27,"","",70027,9,35
28,"","",70028,10,9
29,"","",70029,10,12
30,"","",70030,10,15
31,"","",70031,11,60
32,"","",70032,11,70
33,"","",70033,11,80
34,"","",70034,11,90
35,"","",70035,11,100
36,"","",70036,12,60
37,"","",70037,12,70
38,"","",70038,12,80
39,"","",70039,12,90
40,"","",70040,12,100
41,"","",70041,13,50
42,"","",70042,13,65
43,"","",70043,13,80
44,"","",70044,14,10
45,"","",70045,14,20
46,"","",70046,14,30
47,"","",70047,15,1
48,"","",70048,16,15
49,"","",70049,16,25
50,"","",70050,16,35
51,"","",70051,17,0
52,"","",70052,18,7
53,"","",70053,18,11
54,"","",70054,18,15
55,"","",70055,19,10
56,"","",70056,19,20
57,"","",70057,19,30
58,"","",70058,20,0
59,"","",70059,21,60
60,"","",70060,21,130
61,"","",70061,21,200
62,"","",70062,22,80
63,"","",70063,22,65
64,"","",70064,22,50
65,"","",70065,23,8
66,"","",70066,23,10
67,"","",70067,23,12
68,"","",0,0,0
69,"","",0,0,0
70,"","",0,0,0
