key,0,1,2,3,4
#,Group,Key,LookupTable,Text,GroupTitle
int32,uint16,uint16,str,str,str
100,1,0,"@","","-"
101,1,1,"","","-"
102,1,10,"","","-"
103,1,11,"","","-"
104,1,12,"","","-"
105,1,13,"","","-"
106,1,31,"","","-"
107,1,32,"","","-"
108,1,33,"","","-"
109,1,34,"","","-"
110,1,41,"","","-"
111,1,40,"","","-"
112,1,42,"","","-"
113,1,43,"","","-"
114,1,20,"","","-"
115,1,21,"","","-"
116,1,22,"","","-"
117,1,23,"","","-"
118,1,24,"","","-"
119,1,25,"","","-"
120,1,26,"","","-"
121,1,30,"","","-"
200,2,0,"@","","-"
201,2,1,"","","-"
202,2,2,"","","-"
203,2,3,"","","-"
204,2,4,"","","-"
205,2,5,"","","-"
206,2,6,"","","-"
207,2,7,"","","-"
208,2,8,"","","-"
209,2,9,"","","-"
210,2,10,"","","-"
211,2,11,"","","-"
212,2,12,"","","-"
213,2,13,"","","-"
214,2,14,"","","-"
215,2,15,"","","-"
216,2,16,"","","-"
217,2,17,"","","-"
218,2,18,"","","-"
219,2,19,"","","-"
220,2,20,"","","-"
221,2,21,"","","-"
222,2,22,"","","-"
223,2,23,"","","-"
224,2,24,"","","-"
225,2,25,"","","-"
226,2,26,"","","-"
227,2,27,"","","-"
228,2,28,"","","-"
229,2,29,"","","-"
230,2,31,"","","-"
231,2,30,"","","-"
232,2,32,"","","-"
233,2,33,"","","-"
300,3,0,"@","","-"
301,3,1,"","","-"
302,3,2,"","","-"
303,3,3,"","","-"
304,3,4,"","","-"
305,3,5,"","","-"
306,3,6,"","","-"
307,3,7,"","","-"
308,3,8,"","","-"
309,3,9,"","","-"
310,3,10,"","","-"
311,3,11,"","","-"
312,3,12,"","","-"
313,3,13,"","","-"
314,3,14,"","","-"
315,3,15,"","","-"
316,3,16,"","","-"
317,3,17,"","","-"
318,3,18,"","","-"
319,3,19,"","","-"
320,3,20,"","","-"
321,3,21,"","","-"
322,3,22,"","","-"
323,3,23,"","","-"
324,3,24,"","","-"
325,3,25,"","","-"
326,3,26,"","","-"
327,3,27,"","","-"
328,3,28,"","","-"
329,3,29,"","","-"
330,3,30,"","","-"
331,3,31,"","","-"
332,3,32,"","","-"
333,3,33,"","","-"
334,3,34,"","","-"
335,3,35,"","","-"
336,3,36,"","","-"
337,3,37,"","","-"
338,3,38,"","","-"
339,3,39,"","","-"
340,3,40,"","","-"
341,3,41,"","","-"
342,3,42,"","","-"
343,3,43,"","","-"
344,3,44,"","","-"
400,4,0,"@","","-"
401,4,1,"","","-"
402,4,2,"","","-"
403,4,3,"","","-"
404,4,4,"","","-"
405,4,5,"","","-"
406,4,6,"","","-"
407,4,7,"","","-"
408,4,8,"","","-"
409,4,9,"","","-"
410,4,10,"","","-"
411,4,11,"","","-"
412,4,12,"","","-"
413,4,13,"","","-"
414,4,14,"","","-"
415,4,15,"","","-"
416,4,16,"","","-"
417,4,17,"","","-"
418,4,18,"","","-"
419,4,19,"","","-"
420,4,20,"","","-"
500,5,0,"@","","-"
501,5,1,"","","-"
502,5,2,"","","-"
503,5,3,"","","-"
504,5,4,"","","-"
505,5,5,"","","-"
506,5,6,"","","-"
507,5,7,"","","-"
508,5,8,"","","-"
509,5,9,"","","-"
510,5,10,"","","-"
511,5,11,"","","-"
512,5,12,"","","-"
513,5,13,"","","-"
514,5,14,"","","-"
515,5,15,"","","-"
516,5,16,"","","-"
517,5,17,"","","-"
518,5,18,"","","-"
519,5,19,"","","-"
520,5,20,"","","-"
521,5,21,"","","-"
522,5,22,"","","-"
523,5,23,"","","-"
524,5,24,"","","-"
525,5,25,"","","-"
600,6,0,"@","","-"
601,6,1,"","","-"
602,6,2,"","","-"
603,6,3,"","","-"
604,6,4,"","","-"
605,6,5,"","","-"
606,6,6,"","","-"
607,6,7,"","","-"
608,6,8,"","","-"
609,6,9,"","","-"
610,6,10,"","","-"
611,6,11,"","","-"
612,6,12,"","","-"
613,6,13,"","","-"
614,6,14,"","","-"
615,6,15,"","","-"
616,6,16,"","","-"
617,6,17,"","","-"
618,6,18,"","","-"
700,7,0,"@","","-"
701,7,1,"","","-"
702,7,2,"","","-"
703,7,3,"","","-"
704,7,4,"","","-"
705,7,5,"","","-"
706,7,6,"","","-"
707,7,7,"","","-"
708,7,8,"","","-"
709,7,9,"","","-"
710,7,10,"","","-"
711,7,11,"","","-"
712,7,12,"","","-"
713,7,13,"","","-"
714,7,14,"","","-"
715,7,15,"","","-"
716,7,16,"","","-"
717,7,17,"","","-"
718,7,18,"","","-"
800,8,0,"@","","-"
801,8,201,"","","-"
802,8,202,"","","-"
803,8,203,"","","-"
804,8,204,"","","-"
805,8,1,"","","-"
806,8,2,"","","-"
