key,0,1,2,3,4,5
#,Name,Icon,Icon{DutyFinder},,,
int32,str,Image,Image,byte,byte,byte
0,"",0,0,0,0,0
1,"",61807,0,0,0,0
2,"",61801,60831,1,1,208
3,"",61803,60833,2,2,214
4,"",61804,60834,1,3,210
5,"",61802,60832,1,4,209
6,"",61806,60836,1,5,0
7,"",61805,60835,0,0,0
8,"",61809,0,0,0,0
9,"",61808,60838,0,0,0
10,"",61811,0,0,0,0
11,"",61812,0,0,0,0
12,"",61813,0,0,0,0
13,"",61814,0,0,0,0
14,"",61810,0,0,0,0
15,"",61817,0,0,0,0
16,"",61815,60859,0,0,0
17,"",61816,0,0,0,0
18,"",61818,0,0,0,0
19,"",61820,60848,1,0,0
20,"",61823,60846,0,0,0
21,"",61824,60847,0,0,211
22,"",61801,60831,0,0,0
23,"",61821,61821,2,0,0
24,"",61825,0,0,0,0
25,"",61827,0,0,0,0
26,"",61833,60851,0,0,212
27,"",61836,60853,0,0,0
28,"",61832,60855,1,6,209
29,"",61838,61838,0,0,213
