key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,ContentType,,MenuOrder,RequiredAmount,,ExpMultiplier,,GilRward,LevelUnlock,HowTo,,Name,Description,ExpCap
int32,ContentsNoteCategory,int32,byte,int32,byte,int32,byte,int32,uint16,HowTo,uint32,str,str,int32
0,"ContentsNoteCategory#0",0,0,0,0,0,0,0,0,"HowTo#0",0,"","",0
1,"ContentsNoteCategory#1",61801,1,3,5,15,3,1000,0,"HowTo#57",0,"ダンジョン：コンテンツルーレット","コンテンツルーレットで、ダンジョンを3回攻略する",583200
2,"ContentsNoteCategory#1",61801,2,5,5,10,3,2000,0,"HowTo#57",0,"ダンジョン：攻略回数","ダンジョンを5回攻略する",388800
3,"ContentsNoteCategory#1",61803,3,3,5,5,3,1000,0,"HowTo#71",0,"ギルドオーダー：攻略回数1","ギルドオーダーを3回攻略する",194400
4,"ContentsNoteCategory#1",61803,4,10,5,10,3,2000,0,"HowTo#71",0,"ギルドオーダー：攻略回数2","ギルドオーダーを10回攻略する",388800
5,"ContentsNoteCategory#6",61808,3,5,0,0,3,2000,0,"HowTo#231",0,"宝物庫：宝箱開封数1","宝物庫の宝箱を、5回開ける",0
6,"ContentsNoteCategory#1",61825,8,3,0,0,3,2000,60,"HowTo#0",0,"クロの空想帳：印貼付数","クロの空想帳の対象コンテンツをコンプリートし、
3つ印を付ける",0
7,"ContentsNoteCategory#2",61806,1,10,0,0,9,1000,0,"HowTo#130",0,"ウルヴズジェイル：参加回数","ウルヴズジェイルに10回参加する",0
8,"ContentsNoteCategory#2",61806,2,3,0,0,9,1000,0,"HowTo#130",0,"ウルヴズジェイル：勝利回数","ウルヴズジェイルで3回勝利する",0
9,"ContentsNoteCategory#3",61809,1,5,5,15,3,1000,0,"HowTo#0",0,"F.A.T.E.：地域制覇","5地域のF.A.T.E.で最高評価を獲得する",583200
10,"ContentsNoteCategory#3",61809,2,10,5,15,3,2000,0,"HowTo#0",0,"F.A.T.E.：攻略種類数","10種類のF.A.T.E.を達成する",583200
11,"ContentsNoteCategory#4",61811,1,5,5,15,3,1000,0,"HowTo#0",0,"リーヴ：絵柄制覇","プレートの絵柄が異なるリーヴを、5種類達成する",583200
