key,0,1,2,3,4,5,6,7,8,9,10
#,Leve,CraftLeveTalk,Repeats,,,,,,,,
int32,Leve,CraftLeveTalk,byte,int32,uint16,int32,uint16,int32,uint16,int32,uint16
917504,"","CraftLeveTalk#0",0,0,0,0,0,0,0,0,0
917505,"製作依頼：献納用の槍","CraftLeveTalk#3",0,1823,1,0,0,0,0,0,0
917506,"製作依頼：牧場用の裁縫道具","CraftLeveTalk#3",0,2457,1,0,0,0,0,0,0
917507,"調達依頼：安価な木盾","CraftLeveTalk#6",0,2233,1,0,0,0,0,0,0
917508,"製作依頼：騎手用のハーネス","CraftLeveTalk#3",0,3017,1,0,0,0,0,0,0
917509,"製作依頼：騎手用のカリガ","CraftLeveTalk#3",0,3772,1,0,0,0,0,0,0
917510,"調達依頼：猟師向けのベルト","CraftLeveTalk#6",0,3967,1,0,0,0,0,0,0
917511,"製作依頼：鬼哭隊向けマスク","CraftLeveTalk#4",0,2703,1,0,0,0,0,0,0
917512,"製作依頼：冒険者向けの木盾","CraftLeveTalk#4",0,2233,1,0,0,0,0,0,0
917513,"調達依頼：アッシュ製の弓","CraftLeveTalk#6",0,1895,1,0,0,0,0,0,0
917514,"製作依頼：鬼哭隊向けの腕輪","CraftLeveTalk#4",0,4097,1,0,0,0,0,0,0
917515,"製作依頼：職人向けの革靴","CraftLeveTalk#4",0,3774,1,0,0,0,0,0,0
917516,"調達依頼：安価なリングバンド","CraftLeveTalk#6",0,3547,1,0,0,0,0,0,0
917517,"製作依頼：武具手入れ用の砥石車","CraftLeveTalk#5",0,2408,1,0,0,0,0,0,0
917518,"大口依頼：新防衛策の研究","CraftLeveTalk#5",2,1825,1,1825,1,1825,1,0,0
917519,"製作依頼：ウォルナット材","CraftLeveTalk#5",0,5371,3,0,0,0,0,0,0
917520,"製作依頼：作業用の革手袋","CraftLeveTalk#5",0,3576,1,0,0,0,0,0,0
917521,"大口依頼：鬼哭隊向けセスタス","CraftLeveTalk#5",2,1688,1,1688,1,1688,1,0,0
917522,"製作依頼：義勇兵訓練用の上着","CraftLeveTalk#5",0,3043,1,0,0,0,0,0,0
917523,"製作依頼：安価な木製幻具","CraftLeveTalk#6",0,1998,1,0,0,0,0,0,0
917524,"製作依頼：彫金師向けの製作道具","CraftLeveTalk#6",0,2406,1,0,0,0,0,0,0
917525,"調達依頼：柵の建材","CraftLeveTalk#3",0,5364,3,0,0,0,0,0,0
917526,"製作依頼：鉄製の槍","CraftLeveTalk#6",0,1825,1,0,0,0,0,0,0
917527,"製作依頼：エルム製の幻具","CraftLeveTalk#6",0,2000,1,0,0,0,0,0,0
917528,"調達依頼：監視哨の建材","CraftLeveTalk#4",0,5367,3,0,0,0,0,0,0
917529,"製作依頼：ユー製の幻具","CraftLeveTalk#6",0,2004,1,0,0,0,0,0,0
917530,"大口依頼：鬼哭隊向けマスク","CraftLeveTalk#6",2,2703,1,2703,1,2703,1,0,0
917531,"調達依頼：義勇兵向けの長槍","CraftLeveTalk#5",0,1827,1,0,0,0,0,0,0
917532,"製作依頼：神勇隊向けの革靴","CraftLeveTalk#6",0,3771,1,0,0,0,0,0,0
917533,"製作依頼：普段使いの腕輪","CraftLeveTalk#6",0,3537,1,0,0,0,0,0,0
917534,"調達依頼：補修用のハードレザー","CraftLeveTalk#3",0,5276,3,0,0,0,0,0,0
917535,"製作依頼：人気のチョーカー","CraftLeveTalk#6",0,4308,1,0,0,0,0,0,0
917536,"製作依頼：園芸師向けの革帽子","CraftLeveTalk#6",0,2672,1,0,0,0,0,0,0
917537,"調達依頼：大山羊のなめし革","CraftLeveTalk#4",0,5277,3,0,0,0,0,0,0
917538,"製作依頼：役者用のアームガード","CraftLeveTalk#6",0,3559,1,0,0,0,0,0,0
917539,"大口依頼：大山羊のなめし革","CraftLeveTalk#6",2,5277,5,0,0,0,0,0,0
917540,"調達依頼：義勇兵に贈る革靴","CraftLeveTalk#5",0,3788,1,0,0,0,0,0,0
917541,"製作依頼：輸出用の採掘道具","CraftLeveTalk#8",0,2523,1,0,0,0,0,0,0
917542,"大口依頼：木工師ギルド向けのハンマー","CraftLeveTalk#8",2,2331,1,2331,1,2331,1,0,0
917543,"調達依頼：石材調達用のモール","CraftLeveTalk#5",0,2537,1,0,0,0,0,0,0
917544,"製作依頼：大工仕事用のノコ","CraftLeveTalk#5",0,2318,1,0,0,0,0,0,0
917545,"大口依頼：義勇兵用の片手剣","CraftLeveTalk#5",2,1609,1,1609,1,1609,1,0,0
917546,"製作依頼：アラミゴ人義勇兵用の武器","CraftLeveTalk#5",0,1694,1,0,0,0,0,0,0
917547,"製作依頼：夜回り用のランタンシールド","CraftLeveTalk#8",0,2241,1,0,0,0,0,0,0
917548,"大口依頼：ルディウス向けの円盾","CraftLeveTalk#8",2,2239,1,2239,1,2239,1,0,0
917549,"調達依頼：替えのフライパン","CraftLeveTalk#5",0,2498,1,0,0,0,0,0,0
917550,"製作依頼：義勇兵向けの籠手","CraftLeveTalk#5",0,3557,1,0,0,0,0,0,0
917551,"大口依頼：義勇兵向けの金属兜","CraftLeveTalk#5",2,2712,1,2712,1,2712,1,0,0
917552,"製作依頼：調合訓練用の蒸留器","CraftLeveTalk#5",0,2472,1,0,0,0,0,0,0
917553,"製作依頼：幸運の珊瑚の指輪","CraftLeveTalk#13",0,4433,1,0,0,0,0,0,0
917554,"大口依頼：流行のセプター","CraftLeveTalk#13",2,2061,1,2061,1,2061,1,0,0
917555,"調達依頼：英雄に贈る魔器","CraftLeveTalk#5",0,2063,1,0,0,0,0,0,0
917556,"製作依頼：義勇兵に贈る耳飾り","CraftLeveTalk#5",0,4209,1,0,0,0,0,0,0
917557,"大口依頼：義勇兵に贈る指輪","CraftLeveTalk#5",2,4430,1,4430,1,4430,1,0,0
917558,"製作依頼：アンテロープ角の呪具","CraftLeveTalk#5",0,2111,1,0,0,0,0,0,0
917559,"製作依頼：商人向けのサッシュ","CraftLeveTalk#13",0,3987,1,0,0,0,0,0,0
917560,"大口依頼：職人向けのズボン","CraftLeveTalk#13",2,3336,1,3336,1,3336,1,0,0
917561,"調達依頼：義勇兵に贈る衣服","CraftLeveTalk#5",0,3053,1,0,0,0,0,0,0
917562,"製作依頼：返礼用の手袋","CraftLeveTalk#5",0,3568,1,0,0,0,0,0,0
917563,"大口依頼：伐採作業用の頭巾","CraftLeveTalk#5",2,2700,1,2700,1,2700,1,0,0
917564,"製作依頼：防壁工事用の作業着","CraftLeveTalk#5",0,3052,1,0,0,0,0,0,0
917565,"製作依頼：野性味あふれる杖","CraftLeveTalk#13",0,1963,1,0,0,0,0,0,0
917566,"大口依頼：院生の望む品","CraftLeveTalk#13",2,4597,5,0,0,0,0,0,0
917567,"調達依頼：伝令文書用のインク","CraftLeveTalk#5",0,5477,3,0,0,0,0,0,0
917568,"製作依頼：義勇兵用の毒薬","CraftLeveTalk#5",0,4575,3,0,0,0,0,0,0
917569,"大口依頼：義勇兵用の錬金薬","CraftLeveTalk#5",2,4595,5,0,0,0,0,0,0
917570,"製作依頼：対術士用の毒薬","CraftLeveTalk#5",0,4576,3,0,0,0,0,0,0
917571,"製作依頼：ワインを薄めるジュース","CraftLeveTalk#8",0,4746,3,0,0,0,0,0,0
917572,"大口依頼：荷運び人の朝食","CraftLeveTalk#8",2,4697,9,0,0,0,0,0,0
917573,"調達依頼：義勇兵に供する料理","CraftLeveTalk#5",0,4662,3,0,0,0,0,0,0
917574,"製作依頼：隊士の糧秣","CraftLeveTalk#5",0,4698,3,0,0,0,0,0,0
917575,"大口依頼：子供たちに贈る菓子","CraftLeveTalk#5",2,4709,9,0,0,0,0,0,0
917576,"製作依頼：アンテロープ肉のパイ","CraftLeveTalk#5",0,4710,3,0,0,0,0,0,0
917577,"製作依頼：初心者向きの鍛冶道具","CraftLeveTalk#8",0,2342,1,0,0,0,0,0,0
917578,"製作依頼：輸出用のスパタ","CraftLeveTalk#8",0,1605,1,0,0,0,0,0,0
917579,"調達依頼：ウルダハで売る武器","CraftLeveTalk#10",0,1684,1,0,0,0,0,0,0
917580,"製作依頼：輸出用の鉄塊","CraftLeveTalk#8",0,5057,5,0,0,0,0,0,0
917581,"製作依頼：輸出用の革細工道具","CraftLeveTalk#8",0,2433,1,0,0,0,0,0,0
917582,"調達依頼：商船の補修部品","CraftLeveTalk#11",0,5092,1,0,0,0,0,0,0
917583,"製作依頼：ウルダハで売る道具","CraftLeveTalk#10",0,2393,1,0,0,0,0,0,0
917584,"製作依頼：グリダニアで売る道具","CraftLeveTalk#10",0,2419,1,0,0,0,0,0,0
917585,"調達依頼：人気の両刃斧","CraftLeveTalk#8",0,1753,1,0,0,0,0,0,0
917586,"製作依頼：交易用の格闘武器","CraftLeveTalk#11",0,1686,1,0,0,0,0,0,0
917587,"製作依頼：交易用の革細工道具","CraftLeveTalk#11",0,2420,1,0,0,0,0,0,0
917588,"調達依頼：板金職人用のハンマー","CraftLeveTalk#8",0,2370,1,0,0,0,0,0,0
917589,"製作依頼：騎兵向きのベルト","CraftLeveTalk#8",0,3972,1,0,0,0,0,0,0
917590,"製作依頼：卵焼き用のスキレット","CraftLeveTalk#8",0,2496,1,0,0,0,0,0,0
917591,"調達依頼：ウルダハで売る脚鎧","CraftLeveTalk#10",0,3775,1,0,0,0,0,0,0
917592,"製作依頼：斧術士向けの兜","CraftLeveTalk#8",0,2680,1,0,0,0,0,0,0
