key,0,1,2,3
#,,,BackImage,
int32,uint16,uint16,Image,byte
0.0,0,16,"ui/icon/000000/000000.tex",0
0.1,21,50,"ui/icon/071000/071721.tex",5
0.2,50,79,"ui/icon/071000/071722.tex",0
0.3,79,103,"ui/icon/071000/071723.tex",0
0.4,103,131,"ui/icon/071000/071724.tex",0
0.5,131,161,"ui/icon/071000/071725.tex",0
0.6,161,186,"ui/icon/071000/071726.tex",0
0.7,186,191,"ui/icon/000000/000000.tex",6
0.8,191,196,"ui/icon/000000/000000.tex",1
0.9,196,219,"ui/icon/071000/071727.tex",0
0.10,219,243,"ui/icon/071000/071728.tex",0
0.11,243,275,"ui/icon/071000/071729.tex",0
0.12,275,298,"ui/icon/071000/071730.tex",0
0.13,298,323,"ui/icon/071000/071731.tex",0
0.14,323,352,"ui/icon/071000/071732.tex",0
0.15,352,387,"ui/icon/071000/071733.tex",0
0.16,387,412,"ui/icon/071000/071734.tex",0
0.17,412,438,"ui/icon/071000/071735.tex",0
0.18,438,464,"ui/icon/071000/071736.tex",0
0.19,464,493,"ui/icon/071000/071737.tex",0
0.20,493,517,"ui/icon/071000/071738.tex",0
0.21,517,542,"ui/icon/071000/071739.tex",0
0.22,542,564,"ui/icon/071000/071740.tex",0
0.23,564,591,"ui/icon/071000/071741.tex",0
0.24,591,621,"ui/icon/071000/071742.tex",0
0.25,621,651,"ui/icon/071000/071743.tex",0
0.26,651,681,"ui/icon/071000/071744.tex",0
0.27,681,712,"ui/icon/071000/071745.tex",0
0.28,712,742,"ui/icon/071000/071746.tex",0
0.29,742,772,"ui/icon/071000/071747.tex",0
0.30,772,803,"ui/icon/071000/071748.tex",0
0.31,803,834,"ui/icon/071000/071749.tex",0
0.32,834,864,"ui/icon/071000/071750.tex",0
0.33,864,885,"ui/icon/071000/071751.tex",0
0.34,905,976,"ui/icon/071000/071752.tex",2
