key,0,1,2,3,4,5
#,Scale,Icon,Font,,,Cast
int32,uint16,Image,CreditFont,byte,byte,CreditListText
0.0,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.1,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.2,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.3,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.4,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.5,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.6,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.7,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.8,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.9,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.10,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.11,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.12,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.13,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.14,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.15,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.16,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.17,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.18,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.19,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.20,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.21,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.22,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.23,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.24,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.25,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.26,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.27,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.28,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.29,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.30,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
0.31,0,"ui/icon/000000/000000.tex","CreditFont#0",0,0,""
1.0,400,"ui/icon/000000/000000.tex","CreditFont#5",90,3,"FINAL FANTASY XIV: STORMBLOOD"
1.1,860,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"Title Logo Designer and Image Illustrator"
1.2,40,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Yoshitaka Amano"
1.3,240,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"Main Theme Composer"
1.4,40,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Nobuo Uematsu"
1.5,480,"ui/icon/000000/000000.tex","CreditFont#8",90,3,"Voice Cast"
1.6,100,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"ALPHINAUD"
1.7,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Shinnosuke Tachibana"
1.8,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Colin Ryan"
1.9,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Sébastien Desjours"
1.10,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Markus Haase"
1.11,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"ALISAIE"
1.12,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Rie Murakawa"
1.13,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Bethan Walker"
1.14,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Charlyne Pestel"
1.15,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Ann-Cathrin Schaible"
1.16,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"THANCRED"
1.17,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Yuichi Nakamura"
1.18,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Peter Bramhill"
1.19,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Pierre Tessier"
1.20,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Peter Lehn"
1.21,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"Y'SHTOLA"
1.22,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Ai Kayano"
1.23,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Robyn Addison"
1.24,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Laëtitia Lefebvre"
1.25,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Annette Schreier"
1.26,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"URIANGER"
1.27,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"KENN"
1.28,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Timothy Watson"
1.29,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Raphaël Cohen"
1.30,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Florian Hoffmann"
1.31,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"KRILE"
1.32,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Yoshino Nanjo"
1.33,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Gemma Lawrence"
1.34,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Emmylou Homs"
1.35,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Jennifer Weiß"
1.36,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"TATARU"
1.37,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Mariya Ise"
1.38,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Carina Reeves"
1.39,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Kelly Marot"
1.40,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Annette Gunkel"
1.41,140,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"HIEN"
1.42,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Katsuyuki Konishi"
1.43,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Andrew Koji"
1.44,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Boris Demourzitch"
1.45,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Matthias Scherwenikas"
1.46,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"YUGIRI"
1.47,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Rina Satoh"
1.48,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Eleanor Matsuura"
1.49,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Marie Zidi"
1.50,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Marianne Graffam"
1.51,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"GOSETSU"
1.52,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Yosuke Akimoto"
1.53,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Nigel Betts"
1.54,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Thierry Desroses"
1.55,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Bernd Vollbrecht"
1.56,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"RAUBAHN"
1.57,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Hiroki Yasumoto"
1.58,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Nick Boulton"
1.59,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Frédéric Souterelle"
1.60,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Gordon Piedesack"
1.61,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"LYSE"
1.62,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Aya Endo"
1.63,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Laura Aikman"
1.64,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Isabelle Volpé"
1.65,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Paulina Weiner"
1.66,140,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"YOTSUYU"
1.67,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Shizuka Itoh"
1.68,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Naoko Mori"
1.69,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Sabrina Marchese"
1.70,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Yesim Meisheit"
1.71,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"ASAHI"
1.72,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Junichi Yanagita"
1.73,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Matt McCooey"
1.74,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Laurent Gris"
1.75,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Simon Derksen"
1.76,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"ZENOS"
1.77,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Kohsuke Toriumi"
1.78,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Luke Allen-Gale"
1.79,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Saverio Maligno"
1.80,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"René Dawn-Claude"
1.81,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"VARIS"
1.82,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Jouji Nakata"
1.83,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Michael Maloney"
1.84,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Philippe Valmont"
1.85,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Romanus Fuhrmann"
1.86,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"GAIUS"
1.87,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Akio Otsuka"
1.88,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Michael McElhatton"
1.89,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Philippe Dumond"
1.90,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Thomas Dehler"
1.91,140,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"NANAMO"
1.92,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Mariya Ise"
1.93,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Joanna Ruiz"
1.94,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Adeline Chetail"
1.95,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Antje von der Ahe"
1.96,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"PIPIN"
1.97,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Nobuyuki Hiyama"
1.98,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Adam Howden"
1.99,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Benjamin Bollen"
1.100,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Benjamin Stöwe"
1.101,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"KAN-E-SENNA"
1.102,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Rie Tanaka"
1.103,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Hannah Arterton"
1.104,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Kelly Marot"
1.105,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Annette Gunkel"
1.106,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"MERLWYB"
1.107,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Atsuko Tanaka"
1.108,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Tracy Ann Oberman"
1.109,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Marie Gamory"
1.110,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Ellen Schulz"
1.111,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"AYMERIC"
1.112,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Tatsuhisa Suzuki"
1.113,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Blake Ritson"
1.114,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Sylvain Agaesse"
1.115,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Tino Kießling"
1.116,140,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"ARENVALD"
1.117,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Masato Ishihara"
1.118,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Joe Dempsie"
1.119,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Gilduin Tissier"
1.120,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Adam Nümm"
1.121,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"FORDOLA"
1.122,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Marika Hayashi"
1.123,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Annabel Scholey"
1.124,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Caroline Mozzone"
1.125,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Lisa Braun"
1.126,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"MAXIMA"
1.127,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Ryouta Takeuchi"
1.128,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Gunnar Cauthery"
1.129,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Pierre Tessier"
1.130,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Adam Nümm"
1.131,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"MAGNAI"
1.132,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Taku Yashiro"
1.133,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Dan Fraser"
1.134,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Guildin Tissier"
1.135,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Florian Hoffmann"
1.136,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"SADU"
1.137,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Rie Tanaka"
1.138,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Beatriz Romilly"
1.139,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Emmylou Homs"
1.140,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Melanie Blocksdorf"
1.141,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"TANSUI"
1.142,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Ryouta Takeuchi"
1.143,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Nigel Pilkington"
1.144,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Benjamin Bollen"
1.145,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Johann Fohl"
1.146,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"M'NAAGO"
1.147,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Runa Onodera"
1.148,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Hannah Arterton"
1.149,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Isabelle Volpé"
1.150,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Rieke Werner"
1.151,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"MATOYA"
1.152,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Yu Sugimoto"
1.153,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Sheila Steafel"
1.154,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Cathy Cerda"
1.155,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Ingrid Mülleder"
1.156,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"ISSE"
1.157,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"KENN"
1.158,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Stephen Hoo"
1.159,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Benjamin Bollen"
1.160,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Benjamin Stöwe"
1.161,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"HANCOCK"
1.162,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Masato Ishihara"
1.163,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Ciarán Owens"
1.164,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Thierry Kazazian"
1.165,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Adam Nümm"
1.166,80,"ui/icon/000000/000000.tex","CreditFont#2",90,3,"LOLORITO"
1.167,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Hisashi Izumi"
1.168,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Simon Greenall"
1.169,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Bertrand Liebert"
1.170,30,"ui/icon/000000/000000.tex","CreditFont#3",90,3,"Roland Wolf"
