key,0
#,InstanceContent
int32,InstanceContent
0,
1,ナイツ・オブ・ラウンド討滅戦
2,極ビスマルク討滅戦
3,機工城アレキサンダー：起動編1
4,機工城アレキサンダー零式：起動編1
5,機工城アレキサンダー零式：起動編2
6,機工城アレキサンダー零式：起動編3
7,機工城アレキサンダー零式：起動編4
8,蒼天幻想 ナイツ・オブ・ラウンド討滅戦
9,極魔神セフィロト討滅戦
10,機工城アレキサンダー：律動編1
11,機工城アレキサンダー零式：律動編1
12,機工城アレキサンダー零式：律動編2
13,機工城アレキサンダー零式：律動編3
14,機工城アレキサンダー零式：律動編4
15,極ニーズヘッグ征竜戦
16,極女神ソフィア討滅戦
17,機工城アレキサンダー：天動編1
18,機工城アレキサンダー零式：天動編1
19,機工城アレキサンダー零式：天動編2
20,機工城アレキサンダー零式：天動編3
21,機工城アレキサンダー零式：天動編4
22,極鬼神ズルワーン討滅戦
23,神龍討滅戦
24,極ラクシュミ討滅戦
25,極スサノオ討滅戦
26,次元の狭間オメガ：デルタ編1
27,次元の狭間オメガ零式：デルタ編1
28,次元の狭間オメガ零式：デルタ編2
29,次元の狭間オメガ零式：デルタ編3
30,次元の狭間オメガ零式：デルタ編4
31,極神龍討滅戦
32,次元の狭間オメガ：シグマ編1
33,次元の狭間オメガ零式：シグマ編1
34,次元の狭間オメガ零式：シグマ編2
35,次元の狭間オメガ零式：シグマ編3
36,次元の狭間オメガ零式：シグマ編4
37,極白虎征魂戦
38,極ツクヨミ討滅戦
39,極朱雀征魂戦
40,次元の狭間オメガ：アルファ編1
41,次元の狭間オメガ零式：アルファ編1
42,次元の狭間オメガ零式：アルファ編2
43,次元の狭間オメガ零式：アルファ編3
44,次元の狭間オメガ零式：アルファ編4
45,極青龍征魂戦
46,ハーデス討滅戦
47,極イノセンス討滅戦
48,極ティターニア討滅戦
49,希望の園エデン：覚醒編1
50,
51,
52,
53,
