key,0,1,2,3,4,5
#,Text,SelfKind,TargetKind,NumParam,FCActivityCategory,IconType
int32,str,byte,byte,byte,FCActivityCategory,sbyte
0,"",0,0,0,0,-1
1,"",0,0,0,1,0
2,"",0,0,1,1,0
3,"",1,0,1,1,5
4,"",1,0,1,1,6
5,"",1,0,1,1,7
6,"",0,0,1,1,0
7,"",4,0,0,2,1
8,"",4,0,0,2,1
9,"",4,0,0,2,2
10,"",4,0,0,2,2
11,"",4,5,0,2,3
12,"",4,5,0,2,3
13,"",4,5,0,2,3
14,"",0,1,0,1,5
15,"",0,1,0,1,6
16,"",0,1,0,1,7
17,"",4,5,0,3,3
18,"",4,5,0,3,3
19,"",4,5,0,3,3
20,"",4,0,0,3,3
21,"",4,6,1,0,-1
22,"",4,0,0,0,-1
23,"",4,0,0,0,-1
24,"",4,0,0,3,4
25,"",4,0,0,3,4
26,"",4,0,0,3,8
27,"",4,0,1,4,9
28,"",4,0,1,4,9
29,"",0,0,0,0,4
30,"",4,5,0,3,3
31,"",4,0,1,4,9
32,"",4,0,1,4,9
33,"",0,3,0,3,4
34,"",0,2,0,3,4
35,"",4,9,0,5,11
36,"",4,8,0,5,11
37,"",4,7,0,5,11
38,"",4,7,0,5,11
39,"",0,7,0,5,11
40,"",4,7,1,5,11
41,"",4,8,0,5,11
42,"",4,8,0,5,11
43,"",4,8,0,5,11
44,"",4,8,0,5,11
45,"",4,8,0,5,11
46,"",4,8,0,5,11
47,"",4,0,0,2,12
48,"",4,0,0,2,12
49,"",4,0,0,2,12
50,"",4,0,0,2,12
51,"",0,0,0,2,12
52,"",4,10,1,6,13
53,"",4,10,1,6,13
54,"",4,10,0,6,13
55,"",4,11,1,6,13
56,"",0,11,1,6,13
57,"",4,5,0,2,3
58,"",4,10,0,6,13
59,"",4,0,1,5,11
60,"",4,0,1,5,11
61,"",4,0,0,7,11
62,"",4,12,0,7,11
63,"",16,14,1,5,11
64,"",16,14,1,5,11
65,"",16,14,1,5,11
66,"",16,14,1,4,9
67,"",16,0,0,8,15
68,"",16,0,0,8,15
69,"",16,14,0,8,15
70,"",0,14,0,8,15
71,"",0,14,1,8,15
72,"",0,14,1,8,15
73,"",16,14,0,8,15
74,"",16,0,0,8,15
75,"",16,0,1,8,15
76,"",16,15,1,9,14
77,"",16,15,1,9,14
78,"",16,15,1,9,14
79,"",16,15,0,9,14
80,"",16,15,0,9,14
81,"",16,15,0,9,14
82,"",16,15,1,9,14
83,"",16,15,1,9,14
84,"",16,22,1,1,0
85,"",16,22,1,8,15
86,"",16,0,0,9,14
87,"",0,7,0,5,11
88,"",16,0,0,5,11
89,"",0,7,0,5,11
90,"",16,14,0,6,13
91,"",16,0,0,6,13
92,"",16,14,1,6,13
93,"",16,0,0,6,13
94,"",4,7,0,5,11
95,"",16,15,1,9,14
96,"",16,15,1,9,14
97,"",16,15,1,9,14
98,"",16,15,0,9,14
99,"",16,15,0,9,14
100,"",16,15,0,9,14
101,"",16,15,1,9,14
102,"",16,15,1,9,14
103,"",16,23,0,5,11
104,"",16,0,0,5,11
105,"",16,0,0,5,11
