key,0,1,2
#,Name,FCAuthorityCategory,
int32,str,FCAuthorityCategory,byte
0,"",1,1
1,"",0,0
2,"",1,2
3,"",1,3
4,"",0,0
5,"",2,1
6,"",2,4
7,"",2,2
8,"",2,3
9,"",3,1
10,"",0,0
11,"",3,2
12,"",4,1
13,"",4,2
14,"",4,3
15,"",5,0
16,"",5,0
17,"",5,0
18,"",5,0
19,"",5,0
20,"",5,0
21,"",5,0
22,"",5,0
23,"",5,0
24,"",5,0
25,"",5,0
26,"",5,0
27,"",5,0
28,"",5,0
29,"",5,0
30,"",5,0
31,"",5,0
32,"",5,0
33,"",5,0
34,"",5,0
35,"",5,0
36,"",5,0
37,"",5,0
38,"",5,0
39,"",5,0
40,"",5,0
41,"",5,0
42,"",5,0
43,"",6,1
44,"",6,2
45,"",6,3
46,"",7,1
47,"",7,2
48,"",8,1
49,"",8,3
50,"",8,4
51,"",8,5
52,"",8,2
53,"",6,4
54,"",15,1
55,"",9,1
56,"",9,2
57,"",9,3
58,"",10,1
59,"",10,2
60,"",8,7
61,"",8,6
62,"",11,1
63,"",12,1
64,"",12,2
65,"",12,3
66,"",12,4
67,"",12,5
68,"",13,1
69,"",13,2
70,"",13,3
71,"",13,4
72,"",13,5
73,"",13,6
74,"",0,0
75,"",14,1
