key,0,1,2,3,4,5,6
#,Addon,,,,,,
int32,Addon,uint16,uint16,uint16,uint16,uint16,byte
0,"沿岸",346,744,820,1028,65535,0
1,"沖合",566,1377,2805,5300,65535,0
2,"河川",299,523,1169,1801,65535,0
3,"湖沼",330,633,2244,2585,65535,0
4,"砂海",440,779,1099,2169,65535,0
5,"雲海",472,1047,1197,2618,65535,0
6,"浮島",472,1047,1606,4251,65535,0
7,"溶岩",881,1417,1515,2154,65535,0
8,"魔泉",325,691,885,979,65535,0
9,"塩湖",645,813,1300,1767,65535,0
10,"スモールギグヘッド",20,50,61,9999,9999,1
11,"ミドルギグヘッド",270,329,386,9999,9999,1
12,"ラージギグヘッド",900,950,1000,9999,9999,1
13,"スモールギグヘッド",25,45,70,9999,9999,1
14,"ミドルギグヘッド",236,265,318,9999,9999,1
15,"ラージギグヘッド",780,879,1018,9999,9999,1
16,"スモールギグヘッド",28,40,52,9999,9999,1
17,"ミドルギグヘッド",320,373,384,9999,9999,1
18,"ラージギグヘッド",900,920,928,9999,9999,1
19,"スモールギグヘッド",44,55,67,9999,9999,1
20,"ミドルギグヘッド",345,400,410,9999,9999,1
21,"ラージギグヘッド",878,915,930,9999,9999,1
22,"",0,0,0,0,0,0
23,"",0,0,0,0,0,0
24,"",0,0,0,0,0,0
25,"",0,0,0,0,0,0
26,"",0,0,0,0,0,0
