key,0,1,2,3,4,5
#,Condition,ConditionValue,,BonusType,BonusValue,
int32,GatheringCondition,uint16,uint16,GatheringPointBonusType,uint16,uint16
0,"",0,0,"",0,0
1,"DEX <Value>IntegerParameter(1)</Value>以上",30,0,"採集回数＋<Value>IntegerParameter(1)</Value>回",1,0
2,"チェイン数 <Value>IntegerParameter(1)</Value>以上",2,0,"獲得率＋<Value>IntegerParameter(1)</Value>％",10,0
3,"DEX <Value>IntegerParameter(1)</Value>以上",20,0,"格上レベルアイテム獲得率＋<Value>IntegerParameter(1)</Value>％",15,0
4,"DEX <Value>IntegerParameter(1)</Value>以上",30,0,"自レベル以下のアイテム獲得率＋<Value>IntegerParameter(1)</Value>％",20,0
5,"獲得力 <Value>IntegerParameter(1)</Value>以上",54,0,"獲得率＋<Value>IntegerParameter(1)</Value>％",10,0
6,"DEX <Value>IntegerParameter(1)</Value>以上",23,0,"採集回数＋<Value>IntegerParameter(1)</Value>回",1,0
7,"識質力 <Value>IntegerParameter(1)</Value>以上",42,0,"HQ獲得率＋<Value>IntegerParameter(1)</Value>％",5,0
8,"獲得力 <Value>IntegerParameter(1)</Value>以上",42,0,"獲得率＋<Value>IntegerParameter(1)</Value>％",10,0
9,"識質力 <Value>IntegerParameter(1)</Value>以上",42,0,"HQ獲得率＋<Value>IntegerParameter(1)</Value>％",5,0
10,"DEX <Value>IntegerParameter(1)</Value>以上",23,0,"採集回数＋<Value>IntegerParameter(1)</Value>回",1,0
11,"DEX <Value>IntegerParameter(1)</Value>以上",23,0,"採集回数＋<Value>IntegerParameter(1)</Value>回",1,0
12,"獲得力 <Value>IntegerParameter(1)</Value>以上",42,0,"獲得率＋<Value>IntegerParameter(1)</Value>％",10,0
13,"識質力 <Value>IntegerParameter(1)</Value>以上",52,0,"HQ獲得率＋<Value>IntegerParameter(1)</Value>％",5,0
14,"識質力 <Value>IntegerParameter(1)</Value>以上",52,0,"HQ獲得率＋<Value>IntegerParameter(1)</Value>％",5,0
15,"獲得力 <Value>IntegerParameter(1)</Value>以上",54,0,"獲得率＋<Value>IntegerParameter(1)</Value>％",10,0
16,"識質力 <Value>IntegerParameter(1)</Value>以上",52,0,"HQ獲得率＋<Value>IntegerParameter(1)</Value>％",5,0
17,"獲得力 <Value>IntegerParameter(1)</Value>以上",54,0,"獲得率＋<Value>IntegerParameter(1)</Value>％",10,0
18,"DEX <Value>IntegerParameter(1)</Value>以上",32,0,"採集回数＋<Value>IntegerParameter(1)</Value>回",1,0
19,"DEX <Value>IntegerParameter(1)</Value>以上",43,0,"採集回数＋<Value>IntegerParameter(1)</Value>回",1,0
20,"獲得力 <Value>IntegerParameter(1)</Value>以上",69,0,"獲得率＋<Value>IntegerParameter(1)</Value>％",10,0
21,"INT <Value>IntegerParameter(1)</Value>以上",43,0,"採集回数＋<Value>IntegerParameter(1)</Value>回",1,0
22,"獲得力 <Value>IntegerParameter(1)</Value>以上",69,0,"獲得率＋<Value>IntegerParameter(1)</Value>％",10,0
23,"INT <Value>IntegerParameter(1)</Value>以上",43,0,"採集回数＋<Value>IntegerParameter(1)</Value>回",1,0
24,"MND <Value>IntegerParameter(1)</Value>以上",116,0,"採集回数＋<Value>IntegerParameter(1)</Value>回",1,0
25,"獲得力 <Value>IntegerParameter(1)</Value>以上",69,0,"獲得率＋<Value>IntegerParameter(1)</Value>％",10,0
26,"識質力 <Value>IntegerParameter(1)</Value>以上",62,0,"HQ獲得率＋<Value>IntegerParameter(1)</Value>％",5,0
27,"獲得力 <Value>IntegerParameter(1)</Value>以上",90,0,"獲得率＋<Value>IntegerParameter(1)</Value>％",10,0
28,"識質力 <Value>IntegerParameter(1)</Value>以上",81,0,"HQ獲得率＋<Value>IntegerParameter(1)</Value>％",5,0
29,"INT <Value>IntegerParameter(1)</Value>以上",57,0,"採集回数＋<Value>IntegerParameter(1)</Value>回",1,0
30,"獲得力 <Value>IntegerParameter(1)</Value>以上",90,0,"獲得率＋<Value>IntegerParameter(1)</Value>％",10,0
31,"識質力 <Value>IntegerParameter(1)</Value>以上",81,0,"HQ獲得率＋<Value>IntegerParameter(1)</Value>％",5,0
32,"DEX <Value>IntegerParameter(1)</Value>以上",75,0,"採集回数＋<Value>IntegerParameter(1)</Value>回",1,0
33,"獲得力 <Value>IntegerParameter(1)</Value>以上",112,0,"獲得率＋<Value>IntegerParameter(1)</Value>％",10,0
