key,0,1,2,3,4,5
#,,,,,Item,FolkloreBook
int32,byte,byte,uint32,uint16,Item,str
2000,1,16,0,2000,"鉱物伝承録:クルザス","鉱物伝承録:クルザス"
2001,1,16,0,2000,"鉱物伝承録:クルザス","鉱物伝承録:クルザス"
2002,2,17,0,2000,"草木伝承録:クルザス","草木伝承録:クルザス"
2003,2,17,0,2000,"草木伝承録:クルザス","草木伝承録:クルザス"
2004,1,16,1,2001,"鉱物伝承録:ドラヴァニア","鉱物伝承録:ドラヴァニア"
2005,1,16,1,2001,"鉱物伝承録:ドラヴァニア","鉱物伝承録:ドラヴァニア"
2006,2,17,1,2001,"草木伝承録:ドラヴァニア","草木伝承録:ドラヴァニア"
2007,2,17,1,2001,"草木伝承録:ドラヴァニア","草木伝承録:ドラヴァニア"
2008,1,16,2,2002,"鉱物伝承録:アバラシア","鉱物伝承録:アバラシア"
2009,1,16,2,2002,"鉱物伝承録:アバラシア","鉱物伝承録:アバラシア"
2010,2,17,2,2002,"草木伝承録:アバラシア","草木伝承録:アバラシア"
2011,2,17,2,2002,"草木伝承録:アバラシア","草木伝承録:アバラシア"
2012,1,16,3,2003,"鉱物伝承録:ギラバニア","鉱物伝承録:ギラバニア"
2013,1,16,3,2003,"鉱物伝承録:ギラバニア","鉱物伝承録:ギラバニア"
2014,2,17,3,2003,"草木伝承録:ギラバニア","草木伝承録:ギラバニア"
2015,2,17,3,2003,"草木伝承録:ギラバニア","草木伝承録:ギラバニア"
2016,1,16,4,2004,"鉱物伝承録:オサード","鉱物伝承録:オサード"
2017,1,16,4,2004,"鉱物伝承録:オサード","鉱物伝承録:オサード"
2018,2,17,4,2004,"草木伝承録:オサード","草木伝承録:オサード"
2019,2,17,4,2004,"草木伝承録:オサード","草木伝承録:オサード"
2020,1,16,5,2005,"鉱物伝承録:ノルヴラント","鉱物伝承録:ノルヴラント"
2021,1,16,5,2005,"鉱物伝承録:ノルヴラント","鉱物伝承録:ノルヴラント"
2022,2,17,5,2005,"草木伝承録:ノルヴラント","草木伝承録:ノルヴラント"
2023,2,17,5,2005,"草木伝承録:ノルヴラント","草木伝承録:ノルヴラント"
2500,3,18,0,0,"魚類伝承録:クルザス","魚類伝承録:クルザス"
2501,3,18,1,0,"魚類伝承録:ドラヴァニア","魚類伝承録:ドラヴァニア"
2502,3,18,2,0,"魚類伝承録:アバラシア","魚類伝承録:アバラシア"
2503,3,18,3,0,"魚類伝承録:ギラバニア","魚類伝承録:ギラバニア"
2504,3,18,3,0,"魚類伝承録:ギラバニア","魚類伝承録:ギラバニア"
2505,3,18,4,0,"魚類伝承録:オサード","魚類伝承録:オサード"
2506,3,18,4,0,"魚類伝承録:オサード","魚類伝承録:オサード"
2507,3,18,5,0,"魚類伝承録:ノルヴラント","魚類伝承録:ノルヴラント"
2508,3,18,5,0,"魚類伝承録:ノルヴラント","魚類伝承録:ノルヴラント"
