key,0,1,2
#,,,
int32,uint32,str,str
0,0,"",""
1,0,"",""
2,0,"",""
3,0,"",""
4,0,"",""
5,0,"ついに「蒼天街」復興事業が開始となります。","フランセル"
6,0,"ついに「蒼天街」復興事業が開始となります。","フランセル"
7,0,"主要な窓口が整備されました！","ポットキン"
8,0,"主要な窓口が整備されました！","ポットキン"
9,0,"作業環境の改善に、ご協力を！","リズベス"
10,0,"作業環境の改善に、ご協力を！","リズベス"
11,0,"「名も無き者たちの広場」の整備が完了しました！","フランセル"
12,70301,"皆さん、ご協力ありがとうございます。
蒼天街復興事業の総監を務める、フランセル・ド・アインハルトです。
おかげさまで、蒼天街の復興事業が正式に開始されました。

ただいま、蒼天街入口の「名も無き者たちの広場」の整備を進めています。完工後は、職人の皆さんがご利用する、正式な窓口となる予定です。
今後の復興事業を円滑に進めていくためにも重要な施設ですので、
ぜひ計画への協力を、よろしくお願いいたします。

フランセル",""
13,70302,"充分な資材が集まったら、
第一期の「復興共同作業」に着手するぜ。
作業工程について書いとくんで、みんな見てくれ。

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

以上だ、よろしく頼む。

オーグベルト",""
14,70303,"納品窓口担当のポットキンです！
先日は窓口の整備に協力いただき、ありがとうございました！
皆様の納品を滞りなくお受けできるよう、尽力します！

現在は、「名も無き者たちの広場」西側にも、
新たな施設を建設すべく、準備を進めています！
みなさまからの納品を、お待ちしております！

ポットキン",""
15,70304,"充分な資材が集まったら、
第二期の「復興共同作業」に着手するぜ。
作業工程は前回と同じだが、念のため書いておくな。

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

以上だ、よろしく頼む。

オーグベルト",""
16,70305,"職人の皆さん、
日頃からのご協力、ありがとうございます！

「名も無き者たちの広場」は、復興事業の中心地ですよね！
ならもっと居心地を……じゃなくて、作業環境を改善すべきです！
篝火を灯したり、この<Sheet(EObj,2010775,0)/>を整えたり……。
そのために必要な資材のご協力、お願いしま～す！

リズベス",""
17,70306,"第三期の復興共同作業は、二段構えだ。

【篝火の整備】
1.物資集積場から物資を入手
2.一次作業場で燃料に加工
3.篝火に燃料を投入

【追加設備の整備】
1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

以上だ、よろしく頼む。

オーグベルト",""
18,70307,"「名も無き者たちの広場」整備計画の全工程が完了しました。
次の復興事業計画が決定するまでは、
備品の納品などに、ご協力よろしくお願いします。

復興事業はまだまだ、これからで、
途方もない時間と労力が必要になることでしょう。
しかし、僕はこの街を、笑顔のあふれる明るい街にしたいのです。

それにはこれからも、皆さんの協力が必要です。
引き続き、よろしくお願いします。

フランセル",""
19,0,"蒼天街に納品していただく製作物は、一定の水準を超えた、
「収集品」をお願いしています。

また、依頼品の製作方法については、納品窓口「ポットキン」より説明を受けたあと、お手元の「製作手帳」の「イシュガルド復興」の項目をご確認ください。

納品窓口「ポットキン」は納品のみならず、依頼品の確認や、<Sheet(Item,28063,0)/>の払い出しを担当しています。お気軽にお声かけください。

<Sheet(Item,28063,0)/>は、
納品された製作物の品質や種類に応じた枚数をお渡しします。

納品いただいた製作物は、
もれなく全て、復興のために利用させていただきますので、
たくさんの納品をお待ちしています。",""
20,0,"「復興共同作業」とは、
大人数の作業者を要する、大規模な作業計画のことです。
納品された物資が所定の数に達すると、着工されます。

少しでも多くの作業者にお集まりいただくため、
事前に、この<Sheet(EObj,2010775,0)/>にて告知を貼りだします。
進捗状況をご確認ください。

また、内容は様々ですが、ガレキの除去や建物の建造などを行うため、作業者は製作・及び採集の職人に限られます。その時々の詳細は、別途貼りだされますので、そちらもご確認ください。

ご協力いただいた方には、<Sheet(Item,28063,0)/>をお渡しします。
奮ってご参加ください。",""
21,0,"「イシュガルド復興」は、
我が国の貴族院、庶民院で承認された、公的な事業計画です。
身分や出身を問わず、公募で人員を募っています。
外部からのお越しいただいた優秀な職人の方々には、技術指導や高度な製作物をお願いしています。

また、この「蒼天街」では、特別手形「<Sheet(Item,28063,0)/>」が導入されています。復興事業に関する報酬はこちらで払い出し、蒼天街で様々な物品と交換することが可能です。
扱っている品は、担当の「エニー」にご確認ください。

そして、日々この街を訪れる職人方が、復興の状況について確認できるよう、こちらの「<Sheet(EObj,2010775,0)/>」が設置されています。
現在の復興個所や「復興共同作業」に関する情報を、担当の者が更新していきますので、定期的にご確認することをお勧めします。

イシュガルド復興のため、お力添えをお願いいたします！",""
