key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Name,Announce,HowToPagePC[0],HowToPagePC[1],HowToPagePC[2],HowToPagePC[3],HowToPagePC[4],HowToPageController[0],HowToPageController[1],HowToPageController[2],HowToPageController[3],HowToPageController[4],Category,Sort
int32,str,bit&01,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToCategory,byte
0,"",False,0,0,0,0,0,0,0,0,0,0,0,0
1,"",False,1,0,0,0,0,2,0,0,0,0,2,1
2,"",True,5,0,0,0,0,6,0,0,0,0,5,1
3,"",False,60,61,0,0,0,60,62,0,0,0,5,3
4,"",True,30,31,0,0,0,32,33,0,0,0,5,4
5,"",True,65,0,0,0,0,66,0,0,0,0,5,11
6,"",True,70,0,0,0,0,71,0,0,0,0,5,12
7,"",True,150,151,152,153,0,190,191,192,193,153,4,1
8,"",True,1200,0,0,0,0,0,0,0,0,0,4,2
9,"",True,200,0,0,0,0,201,0,0,0,0,5,13
10,"",True,110,0,0,0,0,0,0,0,0,0,2,8
11,"",False,15,0,0,0,0,16,0,0,0,0,5,5
12,"",False,10,0,0,0,0,11,0,0,0,0,5,2
13,"",True,25,26,0,0,0,27,28,0,0,0,3,1
14,"",True,20,21,22,0,0,0,0,0,0,0,2,2
15,"",True,50,51,52,0,0,0,0,0,0,0,3,2
16,"",True,90,91,0,0,0,0,0,0,0,0,4,2
17,"",True,290,291,0,0,0,0,0,0,0,0,2,11
18,"",True,35,36,0,0,0,37,36,0,0,0,7,1
19,"",True,45,0,0,0,0,0,0,0,0,0,3,3
20,"",True,135,136,0,0,0,137,136,0,0,0,6,5
21,"",True,1320,1321,0,0,0,0,0,0,0,0,7,11
22,"",True,40,41,0,0,0,40,42,0,0,0,2,7
23,"",True,890,891,892,0,0,890,893,894,0,0,13,1
24,"",True,900,901,902,0,0,0,0,0,0,0,13,2
25,"",True,910,911,912,0,0,0,0,0,0,0,13,5
26,"",True,920,0,0,0,0,0,0,0,0,0,13,6
27,"",True,930,931,0,0,0,0,0,0,0,0,13,7
28,"",True,700,701,702,0,0,0,0,0,0,0,12,1
29,"",True,710,711,712,713,0,714,711,712,713,0,12,2
30,"",True,720,721,722,0,0,720,723,722,0,0,12,3
31,"",True,750,751,752,0,0,0,0,0,0,0,7,5
32,"",True,760,761,0,0,0,0,0,0,0,0,7,6
33,"",True,500,501,0,0,0,0,0,0,0,0,9,1
34,"",True,510,511,512,0,0,513,514,515,0,0,9,2
35,"",True,520,521,0,0,0,0,0,0,0,0,9,3
36,"",True,170,171,172,173,0,170,171,172,173,0,2,6
37,"",True,160,161,162,0,0,160,161,163,0,0,7,3
38,"",True,115,116,0,0,0,0,0,0,0,0,7,4
39,"",True,80,81,82,0,0,80,83,0,0,0,2,3
40,"",False,0,0,0,0,0,0,0,0,0,0,0,0
41,"",True,95,96,97,0,0,95,96,98,0,0,2,10
42,"",True,530,531,0,0,0,0,0,0,0,0,9,4
43,"",True,540,0,0,0,0,0,0,0,0,0,9,5
44,"",True,550,0,0,0,0,551,0,0,0,0,9,6
45,"",True,400,401,402,0,0,403,404,405,0,0,4,9
46,"",True,940,941,942,943,0,940,944,945,943,0,2,12
47,"",True,800,801,802,0,0,0,0,0,0,0,6,11
48,"",True,810,811,812,813,0,0,0,0,0,0,6,12
49,"",True,820,821,0,0,0,0,0,0,0,0,6,13
50,"",True,830,831,832,0,0,0,0,0,0,0,6,14
51,"",True,840,841,0,0,0,0,0,0,0,0,6,21
52,"",True,850,851,0,0,0,0,0,0,0,0,6,22
53,"",True,860,861,0,0,0,0,0,0,0,0,6,23
54,"",True,870,871,0,0,0,0,0,0,0,0,13,9
55,"",True,1000,1001,1002,0,0,0,0,0,0,0,13,10
56,"",True,880,881,882,0,0,0,0,0,0,0,13,8
57,"",True,105,106,107,0,0,0,0,0,0,0,8,3
58,"",True,730,731,0,0,0,0,0,0,0,0,12,4
59,"",False,0,0,0,0,0,0,0,0,0,0,0,0
60,"",True,770,771,0,0,0,0,0,0,0,0,6,2
61,"",True,780,0,0,0,0,0,0,0,0,0,6,3
62,"",True,790,791,0,0,0,0,0,0,0,0,7,2
63,"",True,210,211,212,213,214,210,211,215,213,216,2,13
64,"",True,610,611,612,613,0,0,0,0,0,0,8,1
65,"",True,1210,1211,1212,1213,0,0,0,0,0,0,4,4
66,"",True,620,621,0,0,0,0,0,0,0,0,8,2
67,"",True,560,0,0,0,0,0,0,0,0,0,9,11
68,"",True,570,0,0,0,0,571,0,0,0,0,9,12
69,"",True,580,581,0,0,0,0,0,0,0,0,9,13
70,"",True,590,591,0,0,0,0,0,0,0,0,9,14
71,"",True,630,631,0,0,0,0,0,0,0,0,8,11
72,"",True,640,0,0,0,0,0,0,0,0,0,8,12
73,"",True,650,0,0,0,0,0,0,0,0,0,8,13
