key,0,1,2,3,4
#,,,,,
int32,str,str,uint16,uint32,byte
0,"","",100,0,0
1,"千越し祝い","達成条件：釣果ポイントを2500以上獲得する。",110,65901,1
2,"万越し祝い","達成条件：釣果ポイントを5000以上獲得する。",120,65902,2
3,"珍魚","達成条件：★★★★の魚を釣り上げる。",110,65903,3
4,"伝説魚","達成条件：★★★★★の魚を釣り上げる。",120,65904,4
5,"入食","達成条件：幻海流中に15匹以上魚を釣り上げる。",110,65905,5
6,"爆釣王","達成条件：幻海流中に35匹以上魚を釣り上げる。",120,65906,6
7,"豊漁：ガラディオン湾","達成条件：ガラディオン湾にてパーティ合計で10種類以上、魚を釣り上げる。",110,65907,7
8,"豊漁：メルトール海峡南","達成条件：メルトール海峡南にてパーティ合計で10種類以上、魚を釣り上げる。",110,65908,8
9,"豊漁：メルトール海峡北","達成条件：メルトール海峡北にてパーティ合計で10種類以上、魚を釣り上げる。",110,65909,9
10,"豊漁：ロータノ海","達成条件：ロータノ海にてパーティ合計で10種類以上、魚を釣り上げる。",110,65910,10
11,"伝説の大漁旗","達成条件：パーティで合計3匹以上の★★★★★の魚を釣り上げる。",150,65911,11
12,"リムレーンの愛し子","達成条件：自身で幻海流を発生させる。",110,65912,12
13,"オクトパストラベラー","達成条件：パーティ合計で150匹以上、タコを釣り上げる。",120,65913,13
14,"シャークハンター","達成条件：パーティ合計で200匹以上、サメを釣り上げる。",130,65914,14
15,"クラゲマニア","達成条件：パーティ合計で150匹以上、クラゲを釣り上げる。",120,65915,15
16,"シードラゴンキラー","達成条件：パーティ合計で100匹以上、タツノオトシゴを釣り上げる。",110,65916,16
