key,0,1,2
#,Instance,Item,
int32,InstanceContent,Item,byte
0,"外郭攻略 カストルム・メリディアヌム","希少トームストーン:哲学",3
1,"最終決戦 魔導城プラエトリウム","希少トームストーン:哲学",3
2,"クリスタルタワー：古代の民の迷宮","希少トームストーン:哲学",2
3,"クリスタルタワー：シルクスの塔","希少トームストーン:哲学",2
4,"クリスタルタワー：闇の世界","希少トームストーン:哲学",2
5,"地下霊殿 タムタラの墓所","希少トームストーン:哲学",1
6,"封鎖坑道 カッパーベル銅山","希少トームストーン:哲学",1
7,"監獄廃墟 トトラクの千獄","希少トームストーン:哲学",1
8,"遺跡探索 カルン埋没寺院","希少トームストーン:哲学",1
9,"城塞攻略 ストーンヴィジル","希少トームストーン:哲学",1
10,"","",0
11,"","",0
12,"","",0
13,"","",0
14,"","",0
15,"","",0
16,"","",0
17,"","",0
18,"","",0
19,"","",0
20,"","",0
