key,0,1,2,3,4
#,Name,Icon,Category,Order,ClassJob
int32,str,Image,byte,byte,ClassJob
0,"",0,0,0,0
1,"",60102,0,0,0
2,"",60113,0,0,0
3,"",60120,0,0,0
4,"",60126,0,0,0
5,"",60135,0,0,0
6,"",60136,0,0,0
7,"",60137,0,0,0
8,"",60159,0,0,0
9,"",60101,1,6,2
10,"",60102,1,0,1
11,"",60103,1,1,3
12,"",60105,1,9,5
13,"",60104,1,4,4
14,"",60108,1,12,7
15,"",60107,1,15,6
16,"",60109,1,13,26
17,"",60110,2,0,0
18,"",60111,0,0,0
19,"",60112,1,19,8
20,"",60113,1,20,9
21,"",60114,1,21,10
22,"",60115,1,22,11
23,"",60116,1,23,12
24,"",60117,1,24,13
25,"",60118,1,25,14
26,"",60119,1,26,15
27,"",60120,1,27,16
28,"",60121,1,28,17
29,"",60122,1,29,18
30,"",60123,1,30,18
31,"",60124,2,1,0
32,"",60125,0,0,0
33,"",60126,2,2,0
34,"",60127,0,0,0
35,"",60128,2,4,0
36,"",60129,2,3,0
37,"",60130,2,5,0
38,"",60131,0,0,0
39,"",60132,2,7,0
40,"",60133,2,6,0
41,"",60134,2,8,0
42,"",60135,2,9,0
43,"",60136,3,0,0
44,"",60137,3,1,0
45,"",60146,3,2,0
46,"",60138,3,3,0
47,"",60139,3,4,0
48,"",60140,3,5,0
49,"",60141,3,6,0
50,"",60142,3,7,0
51,"",60143,3,8,0
52,"",60144,3,9,0
53,"",60145,3,10,0
54,"",60147,3,11,0
55,"",60148,3,12,0
56,"",60164,4,3,0
57,"",60150,3,13,0
58,"",60151,3,14,0
59,"",60152,3,15,0
60,"",60153,3,16,0
61,"",60157,0,0,0
62,"",60153,0,0,0
63,"",60158,0,0,0
64,"",60159,0,0,0
65,"",60160,4,0,0
66,"",60161,4,1,0
67,"",60168,4,2,0
68,"",60165,4,4,0
69,"",60162,4,5,0
70,"",60163,4,6,0
71,"",60166,4,7,0
72,"",60167,4,8,0
73,"",60106,1,8,29
74,"",60154,3,17,0
75,"",60155,3,18,0
76,"",60170,1,2,32
77,"",60172,1,10,31
78,"",60171,1,17,33
79,"",60169,3,19,0
80,"",60173,3,20,0
81,"",60174,4,9,0
82,"",60175,4,10,0
83,"",60177,1,7,34
84,"",60176,1,14,35
85,"",60178,1,16,28
86,"",60181,1,3,37
87,"",60182,1,11,38
88,"",60183,1,5,39
89,"",60184,1,18,40
90,"",0,0,0,0
91,"",0,0,0,0
92,"",0,0,0,0
93,"",0,0,0,0
94,"",0,0,0,0
95,"",0,0,0,0
96,"",0,0,0,0
97,"",0,0,0,0
98,"",0,0,0,0
99,"",0,0,0,0
100,"",0,0,0,0
