key,0,1,2,3
#,Name,Icon,Order{Minor},Order{Major}
int32,str,Image,byte,byte
0,"",0,0,0
1,"",60101,6,1
2,"",60102,0,1
3,"",60103,1,1
4,"",60105,9,1
5,"",60104,4,1
6,"",60108,12,1
7,"",60108,13,1
8,"",60107,17,1
9,"",60107,18,1
10,"",60109,14,1
11,"",60110,0,3
12,"",60112,0,2
13,"",60112,1,2
14,"",60113,2,2
15,"",60113,3,2
16,"",60114,4,2
17,"",60114,5,2
18,"",60115,6,2
19,"",60115,7,2
20,"",60116,8,2
21,"",60116,9,2
22,"",60117,10,2
23,"",60117,11,2
24,"",60118,12,2
25,"",60118,13,2
26,"",60119,14,2
27,"",60119,15,2
28,"",60120,16,2
29,"",60120,17,2
30,"",60121,18,2
31,"",60121,19,2
32,"",60122,20,2
33,"",60123,29,7
34,"",60124,1,3
35,"",60126,2,3
36,"",60128,5,3
37,"",60129,3,3
38,"",60130,6,3
39,"",60131,4,3
40,"",60132,1,4
41,"",60133,0,4
42,"",60134,2,4
43,"",60135,3,4
44,"",60136,0,5
45,"",60137,0,6
46,"",60146,1,5
47,"",60138,1,6
48,"",60139,2,6
49,"",60140,3,6
50,"",60141,4,6
51,"",60142,5,6
52,"",60143,6,6
53,"",60144,7,6
54,"",60145,8,6
55,"",60147,10,6
56,"",60148,9,6
57,"",60164,20,7
58,"",60150,0,7
59,"",60151,1,7
60,"",60152,2,7
61,"",60153,3,7
62,"",60157,4,4
63,"",60159,6,7
64,"",60160,7,7
65,"",60160,8,7
66,"",60160,9,7
67,"",60160,10,7
68,"",60160,11,7
69,"",60160,12,7
70,"",60160,13,7
71,"",60160,14,7
72,"",60160,15,7
73,"",60161,16,7
74,"",60161,17,7
75,"",60161,18,7
76,"",60168,19,7
77,"",60162,21,7
78,"",60163,22,7
79,"",60166,23,7
80,"",60167,24,7
81,"",60155,5,7
82,"",60153,25,7
83,"",60150,26,7
84,"",60106,8,1
85,"",60154,4,7
86,"",60156,27,7
87,"",60170,2,1
88,"",60172,10,1
89,"",60171,20,1
90,"",60169,11,6
91,"",60169,12,6
92,"",60169,14,6
93,"",60169,13,6
94,"",60173,28,7
95,"",60175,29,7
96,"",60177,7,1
97,"",60176,15,1
98,"",60178,19,1
99,"",60122,21,2
100,"",60179,255,7
101,"",60169,15,6
102,"",60169,16,6
103,"",60169,17,6
104,"",60169,18,6
105,"",60180,16,1
106,"",60181,3,1
107,"",60182,11,1
108,"",60183,5,1
109,"",60184,21,1
