key,0,1,2,3,4,5
#,,,Action,,,
int32,byte,byte,Action,byte,uint32,uint16
0,255,0,,0,0,0
1,40,1,アイアンウィル,0,0,1
2,40,2,,0,0,2
3,42,1,ディフェンダー,0,0,3
4,42,2,ステディハンド,0,0,4
5,54,1,グリットスタンス,0,0,5
6,78,1,暗黒の波動,0,0,6
7,54,2,マナフォント,0,0,7
8,78,1,ブラックナイト,0,0,8
9,78,1,影身具現,0,0,9
10,45,2,反撃効果,0,0,10
11,45,2,ヘイスト,0,0,11
12,47,1,エーテルフロー,0,0,12
13,50,1,エーテルパクト,0,0,13
14,50,1,サモン・セラフィム,0,0,14
15,55,1,ドロー,0,0,15
16,55,1,ディヴィネーション,0,0,16
17,41,1,崩拳,0,0,17
18,61,1,闘気,2,160,18
19,41,1,無我,0,0,19
20,43,1,蒼の竜血,0,0,20
21,43,2,ルイン,0,0,21
22,62,1,人の印,0,0,22
23,51,2,サモン,0,0,23
24,57,1,居合術,0,0,24
25,56,2,老農の知,0,0,25
26,44,1,賢人のバラード,0,0,26
27,44,1,軍神のパイオン,0,0,27
28,44,1,旅神のメヌエット,0,0,28
29,44,2,リクレイム,0,0,29
30,52,1,ハイパーチャージ,0,0,30
31,52,1,オートタレット・ルーク,2,294,31
32,46,1,ファイア,0,0,32
33,46,1,エノキアン,0,0,33
34,46,1,ブリザジャ,0,0,34
35,46,1,ファウル,0,0,35
36,46,2,泳がせ釣り,0,0,36
37,48,1,エナジードレイン,0,0,37
38,49,1,トランス・バハムート,0,0,38
39,49,1,サモン・バハムート,0,0,39
40,49,3,インパルスドライヴ,0,0,40
41,80,1,スタンダードステップ,0,0,41
42,81,2,インナークワイエット,0,0,42
43,80,1,テクニカルステップ,0,0,43
44,81,2,インナークワイエット,0,0,44
45,58,1,ジョルト,0,0,45
46,79,1,ロイヤルガード,0,0,46
47,79,2,インナークワイエット,0,0,47
48,49,2,直感選別II,0,0,48
49,255,0,,0,0,0
50,255,0,,0,0,0
51,255,0,,0,0,0
52,255,0,,0,0,0
53,255,0,,0,0,0
54,255,0,,0,0,0
