key,0,1,2,3
#,Name,,,JournalSection
int32,str,byte,byte,JournalSection
0,"無効カテゴリ",0,0,
1,"メインクエスト：新生エオルゼア",1,1,"メインクエスト1（新生エオルゼア/蒼天のイシュガルド）"
2,"メインクエスト：第七星暦ストーリー",1,1,"メインクエスト1（新生エオルゼア/蒼天のイシュガルド）"
3,"メインクエスト：蒼天のイシュガルド",1,1,"メインクエスト1（新生エオルゼア/蒼天のイシュガルド）"
4,"メインクエスト：竜詩戦争 完結編",1,1,"メインクエスト1（新生エオルゼア/蒼天のイシュガルド）"
5,"メインクエスト：竜詩戦争 戦後編",1,1,"メインクエスト1（新生エオルゼア/蒼天のイシュガルド）"
6,"メインクエスト：紅蓮のリベレーター",1,1,"メインクエスト2（紅蓮のリベレーター）"
7,"メインクエスト：解放戦争 戦後編",1,1,"メインクエスト2（紅蓮のリベレーター）"
8,"クロニクルクエスト：蛮神の脅威",1,1,"クロニクルクエスト"
9,"クロニクルクエスト：バハムート",1,1,"クロニクルクエスト"
10,"クロニクルクエスト：クリスタルタワー",1,1,"クロニクルクエスト"
11,"クロニクルクエスト：アレキサンダー",1,1,"クロニクルクエスト"
12,"クロニクルクエスト：古の神々",1,1,"クロニクルクエスト"
13,"クロニクルクエスト：シャドウ・オブ・マハ",1,1,"クロニクルクエスト"
14,"クロニクルクエスト：オメガ",1,1,"クロニクルクエスト"
15,"クロニクルクエスト：リターン・トゥ・イヴァリース",1,1,"クロニクルクエスト"
16,"クロニクルクエスト：四聖獣奇譚",1,1,"クロニクルクエスト"
17,"蛮族クエスト：ナマズオ族",2,1,"蛮族クエスト2（紅蓮のリベレーター）"
18,"蛮族クエスト：アナンタ族",2,1,"蛮族クエスト2（紅蓮のリベレーター）"
19,"蛮族クエスト：コウジン族",2,1,"蛮族クエスト2（紅蓮のリベレーター）"
20,"蛮族クエスト：アマルジャ族",2,1,"蛮族クエスト1（新生エオルゼア/蒼天のイシュガルド）"
21,"蛮族クエスト：シルフ族",2,1,"蛮族クエスト1（新生エオルゼア/蒼天のイシュガルド）"
22,"蛮族クエスト：コボルド族",2,1,"蛮族クエスト1（新生エオルゼア/蒼天のイシュガルド）"
23,"蛮族クエスト：サハギン族",2,1,"蛮族クエスト1（新生エオルゼア/蒼天のイシュガルド）"
24,"蛮族クエスト：イクサル族",2,1,"蛮族クエスト1（新生エオルゼア/蒼天のイシュガルド）"
25,"蛮族クエスト：バヌバヌ族",2,1,"蛮族クエスト1（新生エオルゼア/蒼天のイシュガルド）"
26,"蛮族クエスト：グナース族",2,1,"蛮族クエスト1（新生エオルゼア/蒼天のイシュガルド）"
27,"蛮族クエスト：モーグリ族",2,1,"蛮族クエスト1（新生エオルゼア/蒼天のイシュガルド）"
28,"サブストーリークエスト",2,1,"サブクエスト"
29,"サブクエスト：ラノシア",3,1,"サブクエスト"
30,"サブクエスト：黒衣森",3,1,"サブクエスト"
31,"サブクエスト：ザナラーン",3,1,"サブクエスト"
32,"サブクエスト：クルザス",3,1,"サブクエスト"
33,"サブクエスト：モードゥナ",3,1,"サブクエスト"
34,"サブクエスト：イシュガルド",3,1,"サブクエスト"
35,"サブクエスト：アバラシア",3,1,"サブクエスト"
36,"サブクエスト：ドラヴァニア",3,1,"サブクエスト"
37,"サブクエスト：アジス・ラー",3,1,"サブクエスト"
38,"サブクエスト：ギラバニア",3,1,"サブクエスト"
39,"サブクエスト：オサード",3,1,"サブクエスト"
40,"サブクエスト：ひんがしの国",3,1,"サブクエスト"
41,"クラスクエスト：ファイター",2,1,"クラス・ジョブ"
42,"クラスクエスト：ソーサラー",2,1,"クラス・ジョブ"
43,"クラスクエスト：クラフター",2,1,"クラス・ジョブ"
44,"クラスクエスト：ギャザラー",2,1,"クラス・ジョブ"
45,"ジョブクエスト：ファイター",2,1,"クラス・ジョブ"
46,"ジョブクエスト：ソーサラー",2,1,"クラス・ジョブ"
47,"グランドカンパニークエスト",2,1,"その他"
48,"シーズナルイベント",2,1,"その他"
49,"エトセトラクエスト",2,1,"その他"
50,"リーヴ：傭兵稼業",3,2,"リーヴ"
51,"リーヴ：採掘師",3,2,"リーヴ"
52,"リーヴ：園芸師",3,2,"リーヴ"
53,"リーヴ：漁師",3,2,"リーヴ"
54,"リーヴ：木工師",3,2,"リーヴ"
55,"リーヴ：鍛冶師",3,2,"リーヴ"
56,"リーヴ：甲冑師",3,2,"リーヴ"
57,"リーヴ：彫金師",3,2,"リーヴ"
58,"リーヴ：革細工師",3,2,"リーヴ"
59,"リーヴ：裁縫師",3,2,"リーヴ"
60,"リーヴ：錬金術師",3,2,"リーヴ"
61,"リーヴ：調理師",3,2,"リーヴ"
62,"神殿騎士団リーヴ：傭兵稼業",3,2,"リーヴ"
63,"神殿騎士団リーヴ：採掘師",3,2,"リーヴ"
64,"神殿騎士団リーヴ：園芸師",3,2,"リーヴ"
65,"神殿騎士団リーヴ：漁師",3,2,"リーヴ"
66,"神殿騎士団リーヴ：木工師",3,2,"リーヴ"
67,"神殿騎士団リーヴ：鍛冶師",3,2,"リーヴ"
68,"神殿騎士団リーヴ：甲冑師",3,2,"リーヴ"
69,"神殿騎士団リーヴ：彫金師",3,2,"リーヴ"
70,"神殿騎士団リーヴ：革細工師",3,2,"リーヴ"
71,"神殿騎士団リーヴ：裁縫師",3,2,"リーヴ"
72,"神殿騎士団リーヴ：錬金術師",3,2,"リーヴ"
73,"神殿騎士団リーヴ：調理師",3,2,"リーヴ"
74,"ギルドリーヴ：ファクション",2,2,"リーヴ"
75,"グランドカンパニーリーヴ",2,2,"リーヴ"
76,"コンテンツ：ダンジョン",2,3,"コンテンツ関連"
77,"コンテンツ：レイド",2,3,"コンテンツ関連"
78,"コンテンツ：討伐・討滅戦",2,3,"コンテンツ関連"
79,"コンテンツ：その他",2,3,"コンテンツ関連"
80,"レガシークエスト",2,4,"その他"
