key,0,1,2,3,4,5,6,7
#,LogKind,Caster,Target,Category,DisplayOrder,Preset,Name,Example
int32,byte,uint16,uint16,byte,byte,byte,str,str
0,0,65535,65535,0,0,0,"",""
1,10,65535,65535,1,1,1,"",""
2,11,65535,65535,1,3,1,"",""
3,12,65535,65535,1,4,1,"",""
4,14,65535,65535,1,5,1,"",""
5,29,65535,65535,1,30,1,"",""
6,28,65535,65535,1,31,1,"",""
7,24,65535,65535,1,7,1,"",""
8,16,65535,65535,1,20,1,"",""
9,17,65535,65535,1,21,1,"",""
10,18,65535,65535,1,22,1,"",""
11,19,65535,65535,1,23,1,"",""
12,20,65535,65535,1,24,1,"",""
13,21,65535,65535,1,25,1,"",""
14,22,65535,65535,1,26,1,"",""
15,23,65535,65535,1,27,1,"",""
16,30,65535,65535,1,2,1,"",""
17,15,65535,65535,1,6,1,"",""
18,27,65535,65535,1,28,1,"",""
19,36,65535,65535,1,8,1,"",""
20,37,65535,65535,1,10,1,"",""
21,57,65535,65535,2,1,1,"",""
22,0,0,0,0,0,0,"",""
23,59,65535,65535,2,4,1,"",""
24,60,65535,65535,2,5,1,"",""
25,56,65535,65535,2,6,1,"",""
26,61,65535,65535,2,16,4,"",""
27,62,65535,65535,2,20,1,"",""
28,64,258,65535,2,25,1,"",""
29,64,2289,65535,2,27,1,"",""
30,65,2,65535,2,30,1,"",""
31,65,65532,65535,2,31,1,"",""
32,66,2,65535,2,35,1,"",""
33,66,28,65535,2,36,1,"",""
34,79,65535,65535,2,49,1,"",""
35,67,3,65535,2,40,1,"",""
36,67,252,65535,2,41,0,"",""
37,58,1807,65535,2,2,2,"",""
38,58,2193,65535,2,3,0,"",""
39,68,65535,65535,2,17,1,"",""
40,69,65535,65535,2,11,1,"",""
41,70,65535,65535,2,13,1,"",""
42,64,1548,65535,2,26,1,"",""
43,71,65535,65535,2,15,1,"",""
44,72,65535,65535,2,45,1,"",""
45,73,65535,65535,2,46,1,"",""
46,74,65535,65535,2,47,1,"",""
47,75,65535,65535,2,10,1,"",""
48,76,65535,65535,2,48,1,"",""
49,77,65535,65535,2,12,1,"",""
50,78,65535,65535,2,14,1,"",""
51,41,2,65535,4,1,2,"",""
52,42,2,65535,4,2,2,"",""
53,43,2,65535,4,3,2,"",""
54,44,2,65535,4,4,2,"",""
55,45,2,65535,4,5,2,"",""
56,46,2,65535,4,6,2,"",""
57,47,2,65535,4,7,2,"",""
58,41,65535,2,4,8,2,"",""
59,42,65535,2,4,9,2,"",""
60,43,65535,2,4,10,2,"",""
61,44,65535,2,4,11,2,"",""
62,45,65535,2,4,12,2,"",""
63,46,65535,2,4,13,2,"",""
64,47,65535,2,4,14,2,"",""
65,48,65535,2,4,15,2,"",""
66,49,65535,2,4,16,2,"",""
67,55,65535,65535,2,50,1,"",""
68,0,0,0,0,0,0,"",""
69,0,0,0,0,0,0,"",""
70,0,0,0,0,0,0,"",""
71,41,4,65535,5,1,2,"",""
72,42,4,65535,5,2,2,"",""
73,43,4,65535,5,3,2,"",""
74,44,4,65535,5,4,2,"",""
75,45,4,65535,5,5,2,"",""
76,46,4,65535,5,6,2,"",""
77,47,4,65535,5,7,2,"",""
78,41,65535,4,5,8,2,"",""
79,42,65535,4,5,9,2,"",""
80,43,65535,4,5,10,2,"",""
81,44,65535,4,5,11,2,"",""
82,45,65535,4,5,12,2,"",""
83,46,65535,4,5,13,2,"",""
84,47,65535,4,5,14,2,"",""
85,48,65535,4,5,15,2,"",""
86,49,65535,4,5,16,2,"",""
87,0,0,0,0,0,0,"",""
88,0,0,0,0,0,0,"",""
89,0,0,0,0,0,0,"",""
90,0,0,0,0,0,0,"",""
91,41,16,65535,7,1,0,"",""
92,42,16,65535,7,2,0,"",""
93,43,16,65535,7,3,0,"",""
94,44,16,65535,7,4,0,"",""
95,45,16,65535,7,5,0,"",""
96,46,16,65535,7,6,0,"",""
97,47,16,65535,7,7,0,"",""
98,41,65535,16,7,8,0,"",""
99,42,65535,16,7,9,0,"",""
100,43,65535,16,7,10,0,"",""
101,44,65535,16,7,11,0,"",""
102,45,65535,16,7,12,0,"",""
103,46,65535,16,7,13,0,"",""
104,47,65535,16,7,14,0,"",""
105,48,65535,16,7,15,0,"",""
106,49,65535,16,7,16,0,"",""
107,0,0,0,0,0,0,"",""
108,0,0,0,0,0,0,"",""
109,0,0,0,0,0,0,"",""
110,0,0,0,0,0,0,"",""
111,41,32,65535,8,1,2,"",""
112,42,32,65535,8,2,2,"",""
113,43,32,65535,8,3,2,"",""
114,44,32,65535,8,4,2,"",""
115,45,32,65535,8,5,2,"",""
116,46,32,65535,8,6,2,"",""
117,47,32,65535,8,7,2,"",""
118,41,65535,32,8,8,2,"",""
119,42,65535,32,8,9,2,"",""
120,43,65535,32,8,10,2,"",""
121,44,65535,32,8,11,2,"",""
122,45,65535,32,8,12,2,"",""
123,46,65535,32,8,13,2,"",""
124,47,65535,32,8,14,2,"",""
125,48,65535,32,8,15,2,"",""
126,49,65535,32,8,16,2,"",""
127,0,0,0,0,0,0,"",""
128,0,0,0,0,0,0,"",""
129,0,0,0,0,0,0,"",""
130,0,0,0,0,0,0,"",""
131,41,64,65535,9,1,0,"",""
132,42,64,65535,9,2,0,"",""
133,43,64,65535,9,3,0,"",""
134,44,64,65535,9,4,0,"",""
135,45,64,65535,9,5,0,"",""
136,46,64,65535,9,6,0,"",""
137,47,64,65535,9,7,0,"",""
138,41,65535,64,9,8,0,"",""
139,42,65535,64,9,9,0,"",""
140,43,65535,64,9,10,0,"",""
141,44,65535,64,9,11,0,"",""
142,45,65535,64,9,12,0,"",""
143,46,65535,64,9,13,0,"",""
144,47,65535,64,9,14,0,"",""
145,48,65535,64,9,15,0,"",""
146,49,65535,64,9,16,0,"",""
147,0,0,0,0,0,0,"",""
148,0,0,0,0,0,0,"",""
149,0,0,0,0,0,0,"",""
150,0,0,0,0,0,0,"",""
151,41,8,65535,6,1,0,"",""
152,42,8,65535,6,2,0,"",""
153,43,8,65535,6,3,0,"",""
154,44,8,65535,6,4,0,"",""
155,45,8,65535,6,5,0,"",""
156,46,8,65535,6,6,0,"",""
157,47,8,65535,6,7,0,"",""
158,41,65535,8,6,8,0,"",""
159,42,65535,8,6,9,0,"",""
160,43,65535,8,6,10,0,"",""
161,44,65535,8,6,11,0,"",""
162,45,65535,8,6,12,0,"",""
163,46,65535,8,6,13,0,"",""
164,47,65535,8,6,14,0,"",""
165,48,65535,8,6,15,0,"",""
166,49,65535,8,6,16,0,"",""
167,0,0,0,0,0,0,"",""
168,0,0,0,0,0,0,"",""
169,0,0,0,0,0,0,"",""
170,0,0,0,0,0,0,"",""
171,41,128,65535,10,1,2,"",""
172,42,128,65535,10,2,2,"",""
173,43,128,65535,10,3,2,"",""
174,44,128,65535,10,4,2,"",""
175,45,128,65535,10,5,2,"",""
176,46,128,65535,10,6,2,"",""
177,47,128,65535,10,7,2,"",""
178,41,65535,128,10,8,2,"",""
179,42,65535,128,10,9,2,"",""
180,43,65535,128,10,10,2,"",""
181,44,65535,128,10,11,2,"",""
182,45,65535,128,10,12,2,"",""
183,46,65535,128,10,13,2,"",""
184,47,65535,128,10,14,2,"",""
185,48,65535,128,10,15,2,"",""
186,49,65535,128,10,16,2,"",""
187,0,0,0,0,0,0,"",""
188,0,0,0,0,0,0,"",""
189,0,0,0,0,0,0,"",""
190,0,0,0,0,0,0,"",""
191,41,256,65535,11,1,2,"",""
192,42,256,65535,11,2,2,"",""
193,43,256,65535,11,3,2,"",""
194,44,256,65535,11,4,2,"",""
195,45,256,65535,11,5,2,"",""
196,46,256,65535,11,6,2,"",""
197,47,256,65535,11,7,2,"",""
198,41,65535,256,11,8,2,"",""
199,42,65535,256,11,9,2,"",""
200,43,65535,256,11,10,2,"",""
201,44,65535,256,11,11,2,"",""
202,45,65535,256,11,12,2,"",""
203,46,65535,256,11,13,2,"",""
204,47,65535,256,11,14,2,"",""
205,48,65535,256,11,15,2,"",""
206,49,65535,256,11,16,2,"",""
207,0,0,0,0,0,0,"",""
208,0,0,0,0,0,0,"",""
209,0,0,0,0,0,0,"",""
210,0,0,0,0,0,0,"",""
211,41,512,65535,12,1,2,"",""
212,42,512,65535,12,2,2,"",""
213,43,512,65535,12,3,2,"",""
214,44,512,65535,12,4,2,"",""
215,45,512,65535,12,5,2,"",""
216,46,512,65535,12,6,2,"",""
217,47,512,65535,12,7,2,"",""
218,41,65535,512,12,8,2,"",""
219,42,65535,512,12,9,2,"",""
220,43,65535,512,12,10,2,"",""
221,44,65535,512,12,11,2,"",""
222,45,65535,512,12,12,2,"",""
223,46,65535,512,12,13,2,"",""
224,47,65535,512,12,14,2,"",""
225,48,65535,512,12,15,2,"",""
226,49,65535,512,12,16,2,"",""
227,0,0,0,0,0,0,"",""
228,0,0,0,0,0,0,"",""
229,0,0,0,0,0,0,"",""
230,0,0,0,0,0,0,"",""
231,41,1024,65535,13,1,0,"",""
232,42,1024,65535,13,2,0,"",""
233,43,1024,65535,13,3,0,"",""
234,44,1024,65535,13,4,0,"",""
235,45,1024,65535,13,5,0,"",""
236,46,1024,65535,13,6,0,"",""
237,47,1024,65535,13,7,0,"",""
238,41,65535,1024,13,8,0,"",""
239,42,65535,1024,13,9,0,"",""
240,43,65535,1024,13,10,0,"",""
241,44,65535,1024,13,11,0,"",""
242,45,65535,1024,13,12,0,"",""
243,46,65535,1024,13,13,0,"",""
244,47,65535,1024,13,14,0,"",""
245,48,65535,1024,13,15,0,"",""
246,49,65535,1024,13,16,0,"",""
247,0,0,0,0,0,0,"",""
248,0,0,0,0,0,0,"",""
249,0,0,0,0,0,0,"",""
250,0,0,0,0,0,0,"",""
251,41,2048,65535,14,1,0,"",""
252,42,2048,65535,14,2,0,"",""
253,43,2048,65535,14,3,0,"",""
254,44,2048,65535,14,4,0,"",""
255,45,2048,65535,14,5,0,"",""
256,46,2048,65535,14,6,0,"",""
257,47,2048,65535,14,7,0,"",""
258,41,65535,2048,14,8,0,"",""
259,42,65535,2048,14,9,0,"",""
260,43,65535,2048,14,10,0,"",""
261,44,65535,2048,14,11,0,"",""
262,45,65535,2048,14,12,0,"",""
263,46,65535,2048,14,13,0,"",""
264,47,65535,2048,14,14,0,"",""
265,48,65535,2048,14,15,0,"",""
266,49,65535,2048,14,16,0,"",""
267,0,0,0,0,0,0,"",""
268,0,0,0,0,0,0,"",""
269,0,0,0,0,0,0,"",""
270,0,0,0,0,0,0,"",""
300,101,65535,65535,1,11,1,"",""
301,102,65535,65535,1,12,1,"",""
302,103,65535,65535,1,13,1,"",""
303,104,65535,65535,1,14,1,"",""
304,105,65535,65535,1,15,1,"",""
305,106,65535,65535,1,16,1,"",""
306,107,65535,65535,1,17,1,"",""
