key,0,1,2
#,LogKindCategoryText,Format,
int32,LogKindCategoryText,str,bit&01
0,,"[LogKind未設定]<Color(-3355444)><Highlight>StringParameter(2)</Highlight></Color>",False
1,,"<Color(-3355444)><Highlight>StringParameter(2)</Highlight></Color>",False
2,,"<Color(-32897)><Highlight>StringParameter(2)</Highlight></Color>",False
3,,"<Color(-5010177)><Highlight>StringParameter(2)</Highlight></Color>",False
4,,"",False
5,,"",False
6,,"",False
7,,"",False
8,,"",False
9,,"",False
10,,"<Color(PlayerParameter(13))><Highlight>StringParameter(1)</Highlight> : <Highlight>StringParameter(2)</Highlight></Color>",True
11,,"<Color(PlayerParameter(14))><Highlight>StringParameter(1)</Highlight> : <Highlight>StringParameter(2)</Highlight></Color>",True
12,,"<Color(PlayerParameter(15))>>><Highlight>StringParameter(1)</Highlight> : <Highlight>StringParameter(2)</Highlight></Color>",False
13,,"<Color(PlayerParameter(15))><Highlight>StringParameter(1)</Highlight> >> <Highlight>StringParameter(2)</Highlight></Color>",True
14,,"<Color(PlayerParameter(16))>(<Highlight>StringParameter(1)</Highlight>) <Highlight>StringParameter(2)</Highlight></Color>",True
15,,"<Color(PlayerParameter(17))>((<Highlight>StringParameter(1)</Highlight>)) <Highlight>StringParameter(2)</Highlight></Color>",True
16,,"<Color(PlayerParameter(18))>[1]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>",True
17,,"<Color(PlayerParameter(19))>[2]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>",True
18,,"<Color(PlayerParameter(20))>[3]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>",True
19,,"<Color(PlayerParameter(21))>[4]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>",True
20,,"<Color(PlayerParameter(22))>[5]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>",True
21,,"<Color(PlayerParameter(23))>[6]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>",True
22,,"<Color(PlayerParameter(24))>[7]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>",True
23,,"<Color(PlayerParameter(25))>[8]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>",True
24,,"<Color(PlayerParameter(26))>[FC]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>",True
25,,"",False
26,,"",False
27,,"<Color(PlayerParameter(29))>[BEGINNER]<Highlight>StringParameter(1)</Highlight> : <Highlight>StringParameter(2)</Highlight></Color>",True
28,,"<Color(PlayerParameter(30))><Highlight>StringParameter(1)</Highlight><Highlight>StringParameter(2)</Highlight></Color>",False
29,,"<Color(PlayerParameter(31))><Highlight>StringParameter(2)</Highlight></Color>",False
30,,"<Color(PlayerParameter(32))><Highlight>StringParameter(1)</Highlight> : <Highlight>StringParameter(2)</Highlight></Color>",True
31,,"<Color(PlayerParameter(16))>(<Highlight>StringParameter(1)</Highlight>) <Highlight>StringParameter(2)</Highlight></Color>",False
32,,"<Color(PlayerParameter(16))>(<Highlight>StringParameter(1)</Highlight>) <Highlight>StringParameter(2)</Highlight></Color>",False
33,,"",False
34,,"",False
35,,"",False
36,,"<Color(PlayerParameter(27))>[PvP]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>",True
37,,"<Color(PlayerParameter(35))>[CWLS1]<<Highlight>StringParameter(1)</Highlight>> <Highlight>StringParameter(2)</Highlight></Color>",True
38,,"",False
39,,"",False
40,,"",False
41,,"<Color(PlayerParameter(36))><Highlight>StringParameter(2)</Highlight></Color>",False
42,,"<Color(PlayerParameter(37))><Highlight>StringParameter(2)</Highlight></Color>",False
43,,"<Color(PlayerParameter(38))><Highlight>StringParameter(2)</Highlight></Color>",False
44,,"<Color(PlayerParameter(39))><Highlight>StringParameter(2)</Highlight></Color>",False
45,,"<Color(PlayerParameter(40))><Highlight>StringParameter(2)</Highlight></Color>",False
46,,"<Color(PlayerParameter(41))><Highlight>StringParameter(2)</Highlight></Color>",False
47,,"<Color(PlayerParameter(42))><Highlight>StringParameter(2)</Highlight></Color>",False
48,,"<Color(PlayerParameter(41))><Highlight>StringParameter(2)</Highlight></Color>",False
49,,"<Color(PlayerParameter(42))><Highlight>StringParameter(2)</Highlight></Color>",False
50,,"",False
51,,"",False
52,,"",False
53,,"",False
54,,"",False
55,,"<Color(PlayerParameter(44))><Highlight>StringParameter(2)</Highlight></Color>",False
56,,"<Color(PlayerParameter(43))><Highlight>StringParameter(2)</Highlight></Color>",False
57,,"<Color(PlayerParameter(44))><Highlight>StringParameter(2)</Highlight></Color>",False
58,,"<Color(PlayerParameter(57))><Highlight>StringParameter(2)</Highlight></Color>",False
59,,"<Color(PlayerParameter(58))><Highlight>StringParameter(2)</Highlight></Color>",False
60,,"<Color(PlayerParameter(59))><Highlight>StringParameter(2)</Highlight></Color>",False
61,,"<Color(PlayerParameter(60))><Highlight>StringParameter(1)</Highlight> : <Highlight>StringParameter(2)</Highlight></Color>",False
62,,"<Color(PlayerParameter(61))><Highlight>StringParameter(2)</Highlight></Color>",False
63,,"",False
64,,"<Color(PlayerParameter(62))><Highlight>StringParameter(2)</Highlight></Color>",False
65,,"<Color(PlayerParameter(63))><Highlight>StringParameter(2)</Highlight></Color>",False
66,,"<Color(PlayerParameter(64))><Highlight>StringParameter(2)</Highlight></Color>",False
67,,"<Color(PlayerParameter(65))><Highlight>StringParameter(2)</Highlight></Color>",False
68,,"<Color(PlayerParameter(60))><Highlight>StringParameter(1)</Highlight> : <Highlight>StringParameter(2)</Highlight></Color>",False
69,,"<Color(PlayerParameter(33))><Highlight>StringParameter(2)</Highlight></Color>",False
70,,"<Color(PlayerParameter(33))><Highlight>StringParameter(2)</Highlight></Color>",False
71,,"<Color(PlayerParameter(44))><Highlight>StringParameter(2)</Highlight></Color>",False
72,,"<Color(PlayerParameter(44))><Highlight>StringParameter(2)</Highlight></Color>",False
73,,"<Color(PlayerParameter(44))><Highlight>StringParameter(2)</Highlight></Color>",False
74,,"<Color(PlayerParameter(63))><Highlight>StringParameter(2)</Highlight></Color>",False
75,,"<Color(PlayerParameter(34))><Highlight>StringParameter(2)</Highlight></Color>",False
76,,"<Color(PlayerParameter(44))><Highlight>StringParameter(2)</Highlight></Color>",False
77,,"<Color(PlayerParameter(28))><Highlight>StringParameter(2)</Highlight></Color>",False
78,,"<Color(PlayerParameter(28))><Highlight>StringParameter(2)</Highlight></Color>",False
