key,0,1,2,3,4
#,LogKind,,,,Text
int32,LogKind,uint16,byte,bit&01,str
0,"None",0,0,False,""
1,"システムからのメッセージ",1,0,False,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>をパーティに誘いました。"
2,"システムからのメッセージ",1,0,False,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>からのパーティ勧誘がキャンセルされました。"
3,"システムからのメッセージ",33,0,False,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>からパーティに誘われました。"
4,"システムからのメッセージ",1,0,False,"パーティから離脱しました。"
5,"システムからのメッセージ",1,0,False,"パーティを解散しました。"
6,"None",0,0,False,""
7,"None",0,0,False,""
8,"システムからのメッセージ",1,0,False,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>をブラックリストに登録しました。"
9,"システムからのメッセージ",1,0,False,"ブラックリストから<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>の登録を解除しました。"
10,"システムからのメッセージ",33,0,False,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>へフレンド申請をしました。"
11,"システムからのメッセージ",33,0,False,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>からフレンド申請されました。"
12,"システムからのメッセージ",1,0,False,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>をフレンドから解除しました。"
13,"システムからのメッセージ",1,0,False,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>をリンクシェル「<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>」に誘いました。"
