key,0,1,2,3,4,5
#,Icon,Category,MainCommandCategory,SortID,Name,Description
int32,Image,byte,MainCommandCategory,sbyte,str,str
0,0,0,0,0,"",""
1,16,1,1,-3,"",""
2,1,4,1,0,"",""
3,4,2,1,-2,"",""
4,5,4,2,0,"",""
5,47,11,2,7,"",""
6,6,15,1,11,"",""
7,23,4,3,1,"",""
8,21,1,3,-2,"",""
9,22,3,3,0,"",""
10,2,6,1,2,"",""
11,3,3,2,-1,"",""
12,17,1,5,0,"",""
13,18,10,6,7,"",""
14,19,12,6,9,"",""
15,20,1,6,-2,"",""
16,7,4,4,0,"",""
17,9,3,6,0,"",""
18,10,3,5,2,"",""
19,29,6,7,1,"",""
20,28,9,7,4,"",""
21,30,8,7,3,"",""
22,31,7,7,2,"",""
23,27,10,7,6,"",""
24,26,11,7,7,"",""
25,32,5,1,1,"",""
26,0,0,0,0,"",""
27,8,4,6,1,"",""
28,11,7,6,4,"",""
29,24,5,3,2,"",""
30,33,4,7,-1,"",""
31,25,1,2,-3,"",""
32,13,1,7,-4,"",""
33,46,5,2,1,"",""
34,48,5,7,0,"",""
35,0,0,4,1,"",""
36,0,0,4,2,"",""
37,0,0,7,5,"",""
38,0,0,0,0,"",""
39,0,0,0,0,"",""
40,0,0,0,0,"",""
41,50,6,3,3,"",""
42,49,8,1,4,"",""
43,0,0,0,0,"",""
44,52,5,6,2,"",""
45,35,0,0,0,"",""
46,36,0,0,0,"",""
47,37,0,0,0,"",""
48,38,0,0,0,"",""
49,39,0,0,0,"",""
50,51,0,0,0,"",""
51,41,0,0,0,"",""
52,42,0,0,0,"",""
53,43,0,0,0,"",""
54,44,0,0,0,"",""
55,45,0,0,0,"",""
56,53,13,1,9,"",""
57,54,2,5,1,"",""
58,55,4,5,3,"",""
59,56,6,5,5,"",""
60,57,8,3,5,"",""
61,58,9,1,5,"",""
62,59,10,1,6,"",""
63,60,0,0,0,"",""
64,61,2,3,-1,"",""
65,62,14,1,10,"",""
66,63,3,1,-1,"",""
67,64,1,4,-3,"",""
68,65,3,7,-2,"",""
69,67,7,3,4,"",""
70,66,10,2,6,"",""
71,68,0,0,0,"",""
72,69,6,2,2,"",""
73,70,7,5,6,"",""
74,71,11,6,8,"",""
75,72,2,4,-2,"",""
76,73,8,2,4,"",""
77,74,7,1,3,"",""
78,75,6,6,3,"",""
79,76,5,5,4,"",""
80,77,8,6,5,"",""
81,78,12,1,8,"",""
82,79,7,2,3,"",""
83,80,0,0,0,"",""
84,81,3,4,-1,"",""
85,82,9,6,6,"",""
86,83,2,6,-1,"",""
87,85,2,2,-2,"",""
88,84,9,2,5,"",""
89,86,11,1,7,"",""
90,87,2,7,-3,"",""
