key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
#,ClassJob,ClassJobLevel,Reward{Currency},RequiredItem[0],Quantity[0],RequestHq[0],Collectability{HighBonus}[0],Collectability{Bonus}[0],Collectability{Base}[0],ExpModifier[0],Reward{Scrips}[0],BonusMultiplier[0],ClassJobLevel{Max}[0],Stars[0],RequiredItem[1],Quantity[1],RequestHq[1],Collectability{HighBonus}[1],Collectability{Bonus}[1],Collectability{Base}[1],ExpModifier[1],Reward{Scrips}[1],BonusMultiplier[1],ClassJobLevel{Max}[1],Stars[1],RequiredItem[2],Quantity[2],RequestHq[2],Collectability{HighBonus}[2],Collectability{Bonus}[2],Collectability{Base}[2],ExpModifier[2],Reward{Scrips}[2],BonusMultiplier[2],ClassJobLevel{Max}[2],Stars[2],RequiredItem[3],Quantity[3],RequestHq[3],Collectability{HighBonus}[3],Collectability{Bonus}[3],Collectability{Base}[3],ExpModifier[3],Reward{Scrips}[3],BonusMultiplier[3],ClassJobLevel{Max}[3],Stars[3],RequiredItem[4],Quantity[4],RequestHq[4],Collectability{HighBonus}[4],Collectability{Bonus}[4],Collectability{Base}[4],ExpModifier[4],Reward{Scrips}[4],BonusMultiplier[4],ClassJobLevel{Max}[4],Stars[4],RequiredItem[5],Quantity[5],RequestHq[5],Collectability{HighBonus}[5],Collectability{Bonus}[5],Collectability{Base}[5],ExpModifier[5],Reward{Scrips}[5],BonusMultiplier[5],ClassJobLevel{Max}[5],Stars[5],RequiredItem[6],Quantity[6],RequestHq[6],Collectability{HighBonus}[6],Collectability{Bonus}[6],Collectability{Base}[6],ExpModifier[6],Reward{Scrips}[6],BonusMultiplier[6],ClassJobLevel{Max}[6],Stars[6],RequiredItem[7],Quantity[7],RequestHq[7],Collectability{HighBonus}[7],Collectability{Bonus}[7],Collectability{Base}[7],ExpModifier[7],Reward{Scrips}[7],BonusMultiplier[7],ClassJobLevel{Max}[7],Stars[7]
int32,ClassJob,byte,Currency,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte
0,"すっぴん士",0,"","",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
1,"木工師",50,"クラフタースクリップ:赤貨","ミスライトトライデント",1,False,230,180,130,75,9,"MasterpieceSupplyMultiplier#1",51,0,"シーダーロングボウ",1,False,230,180,130,75,7,"MasterpieceSupplyMultiplier#1",51,0,"シーダークルーク",1,False,230,180,130,75,3,"MasterpieceSupplyMultiplier#1",51,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
2,"木工師",52,"クラフタースクリップ:赤貨","ミスライトパジルスティック",1,False,280,220,160,75,20,"MasterpieceSupplyMultiplier#1",52,0,"ホーリーシーダー・コンポジットボウ",1,False,280,220,160,75,22,"MasterpieceSupplyMultiplier#1",52,0,"シーダーフィッシングロッド",1,False,280,220,160,75,13,"MasterpieceSupplyMultiplier#1",52,0,"アストラルグラインディングホイール",1,False,340,270,190,75,17,"MasterpieceSupplyMultiplier#1",53,0,"ホーリーシーダー・スピニングホイール",1,False,340,270,190,75,32,"MasterpieceSupplyMultiplier#1",53,0,"ホーリーシーダーアルミラ",1,False,340,270,190,75,20,"MasterpieceSupplyMultiplier#1",53,0,"ホーリーシーダーリング",1,False,340,270,190,75,16,"MasterpieceSupplyMultiplier#1",53,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
3,"木工師",54,"クラフタースクリップ:赤貨","チタンランス",1,False,390,300,220,75,24,"MasterpieceSupplyMultiplier#1",54,0,"ダークチェスナット・ロングボウ",1,False,390,300,220,75,24,"MasterpieceSupplyMultiplier#1",54,0,"ダークチェスナットロッド",1,False,390,300,220,75,23,"MasterpieceSupplyMultiplier#1",54,0,"ダークチェスナット・フィッシングロッド",1,False,430,340,240,75,29,"MasterpieceSupplyMultiplier#1",55,0,"ホーリーシーダーネックレス",1,False,390,300,220,75,30,"MasterpieceSupplyMultiplier#1",54,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
4,"木工師",56,"クラフタースクリップ:赤貨","ダークチェスナット材",1,False,440,340,250,60,3,"MasterpieceSupplyMultiplier#1",56,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
5,"木工師",56,"クラフタースクリップ:赤貨","チタンフォーク",1,False,480,370,270,60,42,"MasterpieceSupplyMultiplier#1",56,0,"ハロードチェスナット・コンポジットボウ",1,False,480,370,270,60,49,"MasterpieceSupplyMultiplier#1",56,0,"ハロードチェスナット・ヒーラーマスク",1,False,480,370,270,60,37,"MasterpieceSupplyMultiplier#1",56,0,"ハロードチェスナット・キャスターマスク",1,False,480,370,270,60,38,"MasterpieceSupplyMultiplier#1",56,0,"ハロードチェスナット・フィッシングロッド",1,False,530,410,290,60,26,"MasterpieceSupplyMultiplier#1",57,0,"クラウドマイカ・グラインディングホイール",1,False,480,370,270,60,26,"MasterpieceSupplyMultiplier#1",56,0,"ダークチェスナット・スピニングホイール",1,False,480,370,270,60,31,"MasterpieceSupplyMultiplier#1",56,0,"ハロードチェスナットリング",1,False,530,410,290,60,14,"MasterpieceSupplyMultiplier#1",57,0
6,"木工師",58,"クラフタースクリップ:赤貨","アダマンスピア",1,False,580,450,320,60,29,"MasterpieceSupplyMultiplier#1",58,0,"バーチロングボウ",1,False,580,450,320,60,48,"MasterpieceSupplyMultiplier#1",58,0,"バーチシグナム",1,False,580,450,320,60,55,"MasterpieceSupplyMultiplier#1",58,0,"ハロードチェスナットアルミラ",1,False,580,450,320,60,21,"MasterpieceSupplyMultiplier#1",58,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
7,"木工師",59,"クラフタースクリップ:赤貨","ドラゴンスケイル・グラインディングホイール",1,False,630,490,350,60,24,"MasterpieceSupplyMultiplier#1",59,0,"バーチスピニングホイール",1,False,630,490,350,60,34,"MasterpieceSupplyMultiplier#1",59,0,"ハロードチェスナットネックレス",1,False,630,490,350,60,22,"MasterpieceSupplyMultiplier#1",59,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0,"",0,False,0,0,0,1000,0,"MasterpieceSupplyMultiplier#0",0,0
