key,0,1,2,3,4
#,,Quest,EventItem,,
int32,byte,Quest,EventItem,uint16,byte
0,1,,"モブ手配書",1,50
1,1,"イシュガルドのモブハント（初級）","クラン・モブ手配書：初級",68,10
2,1,"イシュガルドのモブハント（中級）","クラン・モブ手配書：中級",78,10
3,1,"イシュガルドのモブハント（上級）","クラン・モブ手配書：上級",88,18
4,2,,"リスキーモブ手配書",51,17
5,2,"イシュガルドのリスキーモブ","クラン・リスキーモブ手配書",106,12
6,1,"ベテラン・モブハント（初級）","ベテラン・モブ手配書：初級",118,10
7,1,"ベテラン・モブハント（中級）","ベテラン・モブ手配書：中級",128,10
8,1,"ベテラン・モブハント（上級）","ベテラン・モブ手配書：上級",138,18
9,2,"ベテラン・モブハント（リスキー）","ベテラン・リスキーモブ手配書",156,12
10,1,"ナッツクランのモブハント（初級）","ナッツ・モブ手配書：初級",168,10
11,1,"ナッツクランのモブハント（中級）","ナッツ・モブ手配書：中級",178,10
12,1,"ナッツクランのモブハント（上級）","ナッツ・モブ手配書：上級",188,18
13,2,"ナッツクランのモブハント（リスキー）","ナッツ・リスキーモブ手配書",206,12
