key,0,1
#,Start,End
int32,ActionTimeline,ActionTimeline
0,"",""
1,"event_base/event_base_knee_suffering",""
2,"event_base/event_base_frightened",""
3,"event_base/event_base_frightened2",""
4,"idle_sp/idle_sp_1",""
5,"idle_sp/idle_sp_2",""
6,"idle_sp/idle_sp_3",""
7,"idle_sp/idle_sp_4",""
8,"idle_sp/idle_sp_1_high",""
9,"idle_sp/idle_sp_2_high",""
10,"idle_sp/idle_sp_3_high",""
11,"battle/idle",""
12,"idle_sp/normal_idle_sp_1",""
13,"event_base/event_base_bind_ground_sit",""
14,"event_base/event_base_eat",""
15,"minion/loop",""
16,"idle_sp/battle_dead_1",""
17,"event_base/event_base_healing",""
18,"event_base/event_base_idle1",""
19,"loop_sp/loop_sp1","loop_sp/loop_sp1"
20,"loop_sp/loop_sp2","loop_sp/loop_sp2"
21,"","parts_idle_sp/sp1"
22,"","parts_idle_sp/sp2"
23,"","parts_idle_sp/sp2_1"
24,"","loop_sp/loop_sp3"
25,"","pc_contentsaction/skydiving_loop"
26,"event_base/event_base_push_up_sit_stop",""
27,"","idle_sp/idle_sp_1"
28,"","idle_sp/idle_sp_2"
29,"","idle_sp/idle_sp_1_high"
30,"","idle_sp/idle_sp_4"
31,"idle_sp/idle_sp_5",""
32,"idle_sp/idle_sp_6",""
33,"idle_sp/idle_sp_7",""
34,"",""
35,"",""
