key,0,1,2,3,4
#,List,,Priority,Name,Icon
int32,bit&01,bit&02,byte,str,Image
0,False,False,0,"",0
1,False,False,0,"",61532
2,False,False,0,"",61524
3,False,False,0,"",61532
4,False,False,0,"",61533
5,False,False,0,"",61503
6,True,False,1,"",61501
7,True,False,2,"",61501
8,True,False,3,"",61501
9,True,False,4,"",61502
10,True,False,5,"",61504
11,True,False,6,"",61542
12,True,False,7,"",61509
13,True,False,8,"",61510
14,True,False,9,"",61539
15,True,False,10,"",61508
16,True,False,12,"",61534
17,True,False,13,"",61511
18,True,False,14,"",61546
19,True,False,15,"",61512
20,True,False,16,"",61513
21,True,True,17,"",61514
22,True,False,18,"",61545
23,True,False,19,"",61515
24,True,False,20,"",61516
25,True,False,21,"",61517
26,True,False,22,"",61536
27,True,False,31,"",61540
28,True,False,32,"",61542
29,True,False,33,"",61543
30,True,False,34,"",61544
31,True,False,35,"",61547
32,True,False,36,"",61523
33,True,False,23,"",61518
34,True,False,24,"",61519
35,True,False,25,"",61520
36,True,False,26,"",61521
37,True,False,27,"",61522
38,True,True,28,"",61961
39,True,True,29,"",61962
40,True,False,30,"",61535
41,False,False,0,"",61506
42,False,False,0,"",61507
43,True,False,11,"",61510
44,True,False,38,"",61525
45,False,False,0,"",0
46,False,False,0,"",0
47,True,False,37,"",61505
