key,0,1,2
#,Item,Image,Signature
int32,Item,Image,int32
0,"",,0
1,"風景画:バラクーダ埠頭","ui/icon/081000/081001.tex",1
2,"風景画:海賊船「アスタリシア号」","ui/icon/081000/081002.tex",1
3,"風景画:シーソング石窟の慰霊碑","ui/icon/081000/081003.tex",1
4,"風景画:スカイリフト","ui/icon/081000/081004.tex",1
5,"風景画:ラザグラン街道","ui/icon/081000/081005.tex",1
6,"風景画:ソルトストランド","ui/icon/081000/081008.tex",1
7,"風景画:レッドルースター農場の畑","ui/icon/081000/081009.tex",1
8,"風景画:ブルワーズ灯台","ui/icon/081000/081013.tex",1
9,"風景画:革細工師ギルド","ui/icon/081000/081052.tex",1
10,"風景画:アプカル滝","ui/icon/081000/081053.tex",1
11,"風景画:ベントブランチ牧場","ui/icon/081000/081055.tex",1
12,"風景画:十二神大聖堂","ui/icon/081000/081060.tex",1
13,"風景画:シルフの仮宿","ui/icon/081000/081061.tex",1
14,"風景画:ロイヤルプロムナード","ui/icon/081000/081101.tex",1
15,"風景画:ゴールドコート","ui/icon/081000/081102.tex",1
16,"風景画:交易都市:ウルダハ","ui/icon/081000/081103.tex",1
17,"風景画:シラディハ遺跡","ui/icon/081000/081106.tex",1
18,"風景画:グゥーブーの骸","ui/icon/081000/081109.tex",1
19,"風景画:見えざる都","ui/icon/081000/081110.tex",1
20,"風景画:ハイブリッジ","ui/icon/081000/081111.tex",1
21,"風景画:ささやきの谷","ui/icon/081000/081006.tex",1
22,"風景画:サマーフォード庄","ui/icon/081000/081007.tex",1
23,"風景画:グレイフリート風車群","ui/icon/081000/081010.tex",1
24,"風景画:隠れ滝","ui/icon/081000/081011.tex",1
25,"風景画:白鴎塔","ui/icon/081000/081012.tex",1
26,"風景画:エールポートのリムレーン像","ui/icon/081000/081014.tex",1
27,"風景画:船の墓場","ui/icon/081000/081015.tex",1
28,"風景画:キャンプ・スカルバレー","ui/icon/081000/081016.tex",1
29,"風景画:南北防波壁","ui/icon/081000/081017.tex",1
30,"風景画:キャンプ・ブロンズレイク","ui/icon/081000/081018.tex",1
31,"風景画:サラオスの亡骸","ui/icon/081000/081019.tex",1
32,"風景画:ニーム浮遊遺跡","ui/icon/081000/081021.tex",1
33,"風景画:キャンプ・オーバールック","ui/icon/081000/081022.tex",1
34,"風景画:ウ・ガマロ武装鉱山","ui/icon/081000/081023.tex",1
35,"風景画:隠者の庵","ui/icon/081000/081024.tex",1
36,"風景画:カーラインカフェと大水車","ui/icon/081000/081051.tex",1
37,"風景画:槍術士ギルド","ui/icon/081000/081054.tex",1
38,"風景画:バノック練兵所","ui/icon/081000/081056.tex",1
39,"風景画:ハウケタ御用邸","ui/icon/081000/081057.tex",1
40,"風景画:長老の木","ui/icon/081000/081058.tex",1
41,"風景画:虹架けの滝","ui/icon/081000/081059.tex",1
42,"風景画:ゆりかごの大樹","ui/icon/081000/081062.tex",1
43,"風景画:酒房バスカロンドラザーズ","ui/icon/081000/081063.tex",1
44,"風景画:サウスシュラウド・ランディング","ui/icon/081000/081064.tex",1
45,"風景画:ウルズの恵み","ui/icon/081000/081065.tex",1
46,"風景画:クォーリーミル","ui/icon/081000/081066.tex",1
47,"風景画:イクサル軍伐採所","ui/icon/081000/081067.tex",1
48,"風景画:メテオの陰地","ui/icon/081000/081068.tex",1
49,"風景画:アルダースプリングス","ui/icon/081000/081069.tex",1
50,"風景画:カステッルム・マリヌム","ui/icon/081000/081104.tex",1
51,"風景画:ベスパーベイのロロリト像","ui/icon/081000/081105.tex",1
52,"風景画:ブラックブラッシュ停留所","ui/icon/081000/081107.tex",1
53,"風景画:ナル大門","ui/icon/081000/081108.tex",1
54,"風景画:バーニングウォール","ui/icon/081000/081112.tex",1
55,"風景画:ゴールドバザー","ui/icon/081000/081113.tex",1
56,"風景画:ザルの祠","ui/icon/081000/081114.tex",1
57,"風景画:ナルの祠","ui/icon/081000/081115.tex",1
