key,0,1,2
#,Target,,ActionTimeline
int32,Row,byte,ActionTimeline
3538944,,0,""
3538945,,2,"event/event_greeting"
3538946,"アイテムの購入(木材・金属材・石材・骨材・皮革材)",2,"event/event_greeting"
3538947,"アイテムの購入(布材・錬金術材)",2,"event/event_greeting"
3538948,"アイテムの購入(食材)",2,"event/event_greeting"
3538949,"アイテムの購入(畑・染料)",2,"event/event_greeting"
3538950,"アイテムの購入(触媒)",2,"event/event_greeting"
3538951,"アイテムの購入",2,"event/event_greeting"
3538952,"アイテムの購入（内装建材）",2,"event/event_greeting"
3538953,"アイテムの購入（椅子・寝台）",2,"event/event_greeting"
3538954,"アイテムの購入（台座・料理）",2,"event/event_greeting"
3538955,"アイテムの購入（棚・敷物・照明）",2,"event/event_greeting"
3538956,"アイテムの購入（その他）",2,"event/event_greeting"
3538957,"武器の購入",2,"event/event_greeting"
3538958,"道具の購入",2,"event/event_greeting"
3538959,"ファイター向け防具の購入",2,"event/event_greeting"
3538960,"ソーサラー向け防具の購入",2,"event/event_greeting"
3538961,"クラフター・ギャザラー向け防具の購入",2,"event/event_greeting"
3538962,"バトル向けアクセサリの購入",2,"event/event_greeting"
3538963,"アイテムの購入",2,"event/event_greeting"
3538964,"Description#3604482",2,"event/event_greeting"
3538965,"",0,""
3538966,,0,""
