key,0,1,2,3,4,5,6,7,8,9
#,Type,TimeLimit,MapIcon,Name,TextData{Start},TextData{End},,,ContentFinderCondition,AdditionalData
int32,byte,uint16,Image,str,PublicContentTextData,PublicContentTextData,uint16,uint32,ContentFinderCondition,Row
0,0,0,"ui/icon/000000/000000.tex","","","",0,0,"",
1,1,0,"ui/icon/000000/000000.tex","エターナルセレモニー","セレモニー開始前
主催2人が久遠のベルを使うと開始","お二方、長い時間おつかれさまでした。",0,0,"",
2,2,0,"ui/icon/060000/060848.tex","トリプルトライアド：カードバトルルーム","","",0,0,"トリプルトライアド：カードバトルルーム",
3,3,180,"ui/icon/060000/060851.tex","禁断の地 エウレカ：アネモス編","","",8,7207922,"禁断の地 エウレカ：アネモス編","Eureka#1"
4,3,180,"ui/icon/060000/060851.tex","禁断の地 エウレカ：パゴス編","","",9,7516174,"禁断の地 エウレカ：パゴス編","Eureka#2"
5,4,60,"ui/icon/060000/060831.tex","新生祭軍事演習","","",10,7536621,"新生祭軍事演習",
6,3,180,"ui/icon/060000/060851.tex","禁断の地 エウレカ：ピューロス編","","",11,7646208,"禁断の地 エウレカ：ピューロス編","Eureka#3"
7,5,10,"ui/icon/060000/060848.tex","挑戦！ ジャンピングアスレチック","金のサボテンダー所持数","ゴール地点を目指せ！",0,0,"挑戦！ ジャンピングアスレチック","GFateClimbing2Content#1"
8,5,10,"ui/icon/060000/060848.tex","挑戦！ ジャンピングアスレチック","金のサボテンダー所持数","ゴール地点を目指せ！",0,0,"挑戦！ ジャンピングアスレチック","GFateClimbing2Content#2"
9,5,10,"ui/icon/060000/060848.tex","挑戦！ ジャンピングアスレチック","金のサボテンダー所持数","ゴール地点を目指せ！",0,0,"挑戦！ ジャンピングアスレチック","GFateClimbing2Content#3"
10,5,10,"ui/icon/060000/060848.tex","挑戦！ ジャンピングアスレチック","金のサボテンダー所持数","ゴール地点を目指せ！",0,0,"挑戦！ ジャンピングアスレチック","GFateClimbing2Content#4"
11,5,10,"ui/icon/060000/060848.tex","挑戦！ ジャンピングアスレチック","金のサボテンダー所持数","ゴール地点を目指せ！",0,0,"挑戦！ ジャンピングアスレチック","GFateClimbing2Content#5"
12,5,10,"ui/icon/060000/060848.tex","挑戦！ ジャンピングアスレチック","金のサボテンダー所持数","ゴール地点を目指せ！",0,0,"挑戦！ ジャンピングアスレチック","GFateClimbing2Content#6"
13,5,10,"ui/icon/060000/060848.tex","挑戦！ ジャンピングアスレチック","金のサボテンダー所持数","ゴール地点を目指せ！",0,0,"挑戦！ ジャンピングアスレチック","GFateClimbing2Content#7"
14,5,10,"ui/icon/060000/060848.tex","挑戦！ ジャンピングアスレチック","金のサボテンダー所持数","ゴール地点を目指せ！",0,0,"挑戦！ ジャンピングアスレチック","GFateClimbing2Content#8"
15,5,10,"ui/icon/060000/060848.tex","挑戦！ ジャンピングアスレチック","金のサボテンダー所持数","ゴール地点を目指せ！",0,0,"挑戦！ ジャンピングアスレチック","GFateClimbing2Content#9"
16,3,180,"ui/icon/060000/060851.tex","禁断の地 エウレカ：ヒュダトス編","嗚呼、オーディン……悲哀の英雄よ！
我は、その意思を継ぎて、悪しき帝国に挑まん！","……汝ガ理念ニヨリテ…… 
……万古ノ呪縛ヨリ解キ放タレリ…… 。",12,7840031,"禁断の地 エウレカ：ヒュダトス編","Eureka#4"
