key,0,1
#,Quest,
int32,Quest,byte
0,"紅蓮の炎",1
1,"心のままに「楽器演奏」を",1
2,"未知なる島、その名はエウレカ",0
3,"時がふたりを分かつまで",2
4,"大罪喰い",3
5,"封印の鍵",3
6,"キタンナ神影洞",3
7,"私はここに眠る",3
8,"光をもたらす者",3
9,"漆黒のヴィランズ",3
10,"宮殿に住まいし隠者",3
11,"影の英雄譚",4
12,"若き経営者、イオラ",5
13,"新たな顧客はン・モゥ族",5
14,"黒鉄工房",5
15,"実録データ001「熟練の新入り職人」",5
16,"実録データ002「工房を彩りし職人」",5
17,"実録データ003「絆を修復せし職人」",5
18,"獣医師ベスリク",5
19,"生きるべき場所",5
20,"古傷を癒して",5
21,"幻の巨大生物を追え！",5
22,"幻の生物シムーンは実在した！？",5
23,"幻の生物シムーンの真相に迫る！",5
24,"孤独な漁師",5
25,"紙と魚と",5
26,"水晶患いの治療法",5
27,"クリスタリウムを照らす光",6
28,"",7
