key,0
#,Chapter
int32,QuestRedoChapter
0.0,"QuestRedoChapter#0"
1.0,"QuestRedoChapter#22"
2.0,"QuestRedoChapter#17"
2.1,"QuestRedoChapter#18"
2.2,"QuestRedoChapter#19"
2.3,"QuestRedoChapter#20"
2.4,"QuestRedoChapter#21"
2.5,"QuestRedoChapter#22"
2.6,"QuestRedoChapter#23"
2.7,"QuestRedoChapter#24"
2.8,"QuestRedoChapter#29"
3.0,"QuestRedoChapter#19"
3.1,"QuestRedoChapter#20"
3.2,"QuestRedoChapter#21"
3.3,"QuestRedoChapter#22"
3.4,"QuestRedoChapter#23"
3.5,"QuestRedoChapter#24"
3.6,"QuestRedoChapter#29"
4.0,"QuestRedoChapter#22"
4.1,"QuestRedoChapter#23"
4.2,"QuestRedoChapter#24"
4.3,"QuestRedoChapter#29"
5.0,"QuestRedoChapter#22"
5.1,"QuestRedoChapter#23"
5.2,"QuestRedoChapter#24"
6.0,"QuestRedoChapter#136"
6.1,"QuestRedoChapter#137"
6.2,"QuestRedoChapter#138"
6.3,"QuestRedoChapter#139"
6.4,"QuestRedoChapter#140"
6.5,"QuestRedoChapter#143"
6.6,"QuestRedoChapter#144"
7.0,"QuestRedoChapter#140"
8.0,"QuestRedoChapter#143"
8.1,"QuestRedoChapter#144"
