key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
#,Number,CraftType,RecipeLevelTable,Item{Result},Amount{Result},,,,,,,,,,,,,,,,,,,,,,IsSecondary,MaterialQualityFactor,DifficultyFactor,QualityFactor,DurabilityFactor,,RequiredCraftsmanship,RequiredControl,QuickSynthCraftsmanship,QuickSynthControl,SecretRecipeBook,,CanQuickSynth,CanHq,ExpRewarded,Status{Required},Item{Required},IsSpecializationRequired,IsExpert,PatchNumber
int32,int32,CraftType,RecipeLevelTable,Item,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,uint16,bit&01,byte,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,SecretRecipeBook,uint32,bit&02,bit&04,bit&08,Status,Item,bit&10,bit&20,uint16
0,0,"木工","RecipeLevelTable#0","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,False,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
1,10001,"鍛冶","RecipeLevelTable#1","ブロンズインゴット",1,5106,2,5107,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-1,0,0,False,50,50,100,67,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
2,10002,"鍛冶","RecipeLevelTable#1","ハチェット",1,5056,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
3,10003,"鍛冶","RecipeLevelTable#2","バスタードソード",1,5056,1,5361,1,5432,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
4,10004,"鍛冶","RecipeLevelTable#2","アマチュアファイル",1,5056,2,5275,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
5,10005,"鍛冶","RecipeLevelTable#3","ブロンズリベット",1,5056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-1,0,0,False,50,50,100,67,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
6,10006,"鍛冶","RecipeLevelTable#3","ウォーアクス",1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
7,10007,"鍛冶","RecipeLevelTable#3","アマチュアプライヤー",1,5056,1,5091,1,5482,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
8,10009,"鍛冶","RecipeLevelTable#4","アマチュアアウル",1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
9,10008,"鍛冶","RecipeLevelTable#4","ソー",1,5056,1,5091,1,5361,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
10,10011,"鍛冶","RecipeLevelTable#5","アマチュアクローハンマー",1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
11,10012,"鍛冶","RecipeLevelTable#5","クロスペインハンマー",1,5056,1,5324,1,5361,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
12,10013,"鍛冶","RecipeLevelTable#5","ドーミングハンマー",1,5056,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
13,10015,"鍛冶","RecipeLevelTable#6","アマチュアクリナリーナイフ",1,5056,1,5361,1,5258,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
14,10014,"鍛冶","RecipeLevelTable#6","アマチュアモーター",1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
15,10016,"鍛冶","RecipeLevelTable#7","ヴァイキングソード",1,5056,1,5275,1,5432,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,True,50,100,100,100,0,0,0,0,0,"",0,True,True,True,"","",False,False,0
