key,0,1,2,3,4,5,6,7,8,9,10,11
#,ClassJobLevel,Stars,SuggestedCraftsmanship,SuggestedControl,Difficulty,Quality,Durability,ConditionsFlag,,,,
int32,byte,byte,uint16,uint16,uint16,uint32,byte,byte,byte,byte,uint16,uint16
0,0,0,10000,10000,100,100,50,30,100,100,100,15
1,1,0,100,100,100,100,50,30,100,100,100,15
2,2,0,100,100,100,100,50,30,100,100,100,15
3,3,0,100,100,100,100,50,30,100,100,100,15
4,4,0,100,100,100,100,50,30,100,100,100,15
5,5,0,100,100,100,100,50,30,100,100,100,15
6,6,0,100,100,100,100,50,30,100,100,100,15
7,7,0,100,100,100,100,50,30,100,100,100,15
8,8,0,100,100,100,100,50,30,100,100,100,15
9,9,0,100,100,100,100,50,30,100,100,100,15
10,10,0,100,100,100,100,50,30,100,100,100,15
11,11,0,100,100,100,100,50,30,100,100,100,15
12,12,0,100,100,100,100,50,30,100,100,100,15
13,13,0,100,100,100,100,50,30,100,100,100,15
14,14,0,100,100,100,100,50,30,100,100,100,15
15,15,0,100,100,100,100,50,30,100,100,100,15
16,16,0,100,100,100,100,50,30,100,100,100,15
17,17,0,100,100,100,100,50,30,100,100,100,15
18,18,0,100,100,100,100,50,30,100,100,100,15
19,19,0,100,100,100,100,50,30,100,100,100,15
20,20,0,100,100,100,100,50,30,100,100,100,15
21,21,0,100,100,100,100,50,30,100,100,100,15
22,22,0,100,100,100,100,50,30,100,100,100,15
23,23,0,100,100,100,100,50,30,100,100,100,15
24,24,0,100,100,100,100,50,30,100,100,100,15
25,25,0,100,100,100,100,50,30,100,100,100,15
26,26,0,100,100,100,100,50,30,100,100,100,15
27,27,0,100,100,100,100,50,30,100,100,100,15
28,28,0,100,100,100,100,50,30,100,100,100,15
29,29,0,100,100,100,100,50,30,100,100,100,15
30,30,0,100,100,100,100,50,30,100,100,100,15
31,31,0,100,100,100,100,50,30,100,100,100,15
32,32,0,100,100,100,100,50,30,100,100,100,15
33,33,0,100,100,100,100,50,30,100,100,100,15
34,34,0,100,100,100,100,50,30,100,100,100,15
35,35,0,100,100,100,100,50,30,100,100,100,15
36,36,0,100,100,100,100,50,30,100,100,100,15
37,37,0,100,100,100,100,50,30,100,100,100,15
38,38,0,100,100,100,100,50,30,100,100,100,15
39,39,0,100,100,100,100,50,30,100,100,100,15
40,40,0,100,100,100,100,50,30,100,100,100,15
41,41,0,100,100,100,100,50,30,100,100,100,15
42,42,0,100,100,100,100,50,30,100,100,100,15
43,43,0,100,100,100,100,50,30,100,100,100,15
44,44,0,100,100,100,100,50,30,100,100,100,15
45,45,0,100,100,100,100,50,30,100,100,100,15
46,46,0,100,100,100,100,50,30,100,100,100,15
47,47,0,100,100,100,100,50,30,100,100,100,15
48,48,0,100,100,100,100,50,30,100,100,100,15
49,49,0,100,100,100,100,50,30,100,100,100,15
50,50,0,100,100,100,100,50,30,100,100,100,15
51,50,0,100,100,100,100,50,30,100,100,100,15
52,50,0,100,100,100,100,50,30,100,100,100,15
53,50,0,100,100,100,100,50,30,100,100,100,15
54,50,0,100,100,100,100,50,30,100,100,100,15
55,50,0,100,100,100,100,50,30,100,100,100,15
56,50,0,100,100,100,100,50,30,100,100,100,15
57,50,0,100,100,100,100,50,30,100,100,100,15
58,50,0,100,100,100,100,50,30,100,100,100,15
59,50,0,100,100,100,100,50,30,100,100,100,15
60,50,0,100,100,100,100,50,30,100,100,100,15
61,50,0,100,100,100,100,50,30,100,100,100,15
62,50,0,100,100,100,100,50,30,100,100,100,15
63,50,0,100,100,100,100,50,30,100,100,100,15
64,50,0,100,100,100,100,50,30,100,100,100,15
65,50,0,100,100,100,100,50,30,100,100,100,15
66,50,0,100,100,100,100,50,30,100,100,100,15
67,50,0,100,100,100,100,50,30,100,100,100,15
68,50,0,100,100,100,100,50,30,100,100,100,15
69,50,0,100,100,100,100,50,30,100,100,100,15
70,50,0,100,100,100,100,50,30,100,100,100,15
71,50,0,100,100,100,100,50,30,100,100,100,15
72,50,0,100,100,100,100,50,30,100,100,100,15
73,50,0,100,100,100,100,50,30,100,100,100,15
74,50,0,100,100,100,100,50,30,100,100,100,15
75,50,0,100,100,100,100,50,30,100,100,100,15
76,50,0,100,100,100,100,50,30,100,100,100,15
77,50,0,100,100,100,100,50,30,100,100,100,15
78,50,0,100,100,100,100,50,30,100,100,100,15
79,50,0,100,100,100,100,50,30,100,100,100,15
80,50,0,100,100,100,100,50,30,100,100,100,15
81,50,0,100,100,100,100,50,30,100,100,100,15
82,50,0,100,100,100,100,50,30,100,100,100,15
83,50,0,100,100,100,100,50,30,100,100,100,15
84,50,0,100,100,100,100,50,30,100,100,100,15
85,50,0,100,100,100,100,50,30,100,100,100,15
86,50,0,100,100,100,100,50,30,100,100,100,15
87,50,0,100,100,100,100,50,30,100,100,100,15
88,50,0,100,100,100,100,50,30,100,100,100,15
89,50,0,100,100,100,100,50,30,100,100,100,15
90,50,0,100,100,100,100,50,30,100,100,100,15
91,50,0,100,100,100,100,50,30,100,100,100,15
92,50,0,100,100,100,100,50,30,100,100,100,15
93,50,0,100,100,100,100,50,30,100,100,100,15
94,50,0,100,100,100,100,50,30,100,100,100,15
95,50,0,100,100,100,100,50,30,100,100,100,15
96,50,0,100,100,100,100,50,30,100,100,100,15
97,50,0,100,100,100,100,50,30,100,100,100,15
98,50,0,100,100,100,100,50,30,100,100,100,15
99,50,0,100,100,100,100,50,30,100,100,100,15
100,50,0,100,100,100,100,50,30,100,100,100,15
101,50,0,100,100,100,100,50,30,100,100,100,15
102,50,0,100,100,100,100,50,30,100,100,100,15
103,50,0,100,100,100,100,50,30,100,100,100,15
104,50,0,100,100,100,100,50,30,100,100,100,15
105,50,0,100,100,100,100,50,30,100,100,100,15
106,50,0,100,100,100,100,50,30,100,100,100,15
107,50,0,100,100,100,100,50,30,100,100,100,15
108,50,0,100,100,100,100,50,30,100,100,100,15
109,50,0,100,100,100,100,50,30,100,100,100,15
110,50,0,100,100,100,100,50,30,100,100,100,15
111,50,0,100,100,100,100,50,30,100,100,100,15
112,50,0,100,100,100,100,50,30,100,100,100,15
113,50,0,100,100,100,100,50,30,100,100,100,15
114,50,0,100,100,100,100,50,30,100,100,100,15
115,51,0,100,100,100,100,50,30,100,100,100,15
116,51,0,100,100,100,100,50,30,100,100,100,15
117,51,0,100,100,100,100,50,30,100,100,100,15
118,51,0,100,100,100,100,50,30,100,100,100,15
119,51,0,100,100,100,100,50,30,100,100,100,15
120,51,0,100,100,100,100,50,30,100,100,100,15
121,51,0,100,100,100,100,50,30,100,100,100,15
122,51,0,100,100,100,100,50,30,100,100,100,15
123,51,0,100,100,100,100,50,30,100,100,100,15
124,51,0,100,100,100,100,50,30,100,100,100,15
125,52,0,100,100,100,100,50,30,100,100,100,15
126,52,0,100,100,100,100,50,30,100,100,100,15
127,52,0,100,100,100,100,50,30,100,100,100,15
