key,0,1,2,3
#,Level,,,
int32,Level,byte,byte,byte
0,,0,0,0
1,"Level#1140471",33,1,49
2,"Level#2648030",9,1,9
3,"Level#2648030",13,1,9
4,"Level#2648030",34,1,9
5,"Level#2648030",18,1,9
6,"Level#1672782",9,10,14
7,"Level#1672782",13,10,14
8,"Level#1672782",34,10,14
9,"Level#1672782",18,10,14
10,"Level#1646078",9,15,19
11,"Level#1646078",13,15,19
12,"Level#1646078",34,15,19
13,"Level#1646078",18,15,19
14,"Level#4103445",34,20,29
15,"Level#2257020",33,20,29
16,"Level#2257020",34,20,29
17,"Level#2257020",32,20,29
18,"Level#3643652",34,30,34
19,"Level#4106909",34,30,34
20,"Level#2367401",33,1,49
21,"Level#2367401",19,1,9
22,"Level#3998968",10,1,9
23,"Level#3998968",11,1,9
24,"Level#3998968",16,1,9
25,"Level#3998968",34,1,9
26,"Level#3998968",10,10,14
27,"Level#3998968",11,10,14
28,"Level#3998968",16,10,14
29,"Level#3998968",34,10,14
30,"Level#3998968",19,10,14
31,"Level#2540476",10,15,19
32,"Level#2540476",11,15,19
33,"Level#2540476",16,15,19
34,"Level#2540476",34,15,19
35,"Level#2540476",19,15,19
36,"Level#4018485",34,20,24
37,"Level#4103304",34,20,29
38,"Level#3999029",33,30,34
39,"Level#3999029",34,30,34
40,"Level#3999029",32,30,34
41,"Level#4103440",34,30,34
42,"Level#3629068",34,35,39
43,"Level#2539960",33,1,49
44,"Level#3958072",15,1,9
45,"Level#3958072",14,1,9
46,"Level#3958072",12,1,9
47,"Level#3958072",34,1,9
48,"Level#3958072",17,1,9
49,"Level#2540071",15,10,14
50,"Level#2540071",14,10,14
51,"Level#2540071",12,10,14
52,"Level#2540071",34,10,14
53,"Level#2540071",17,10,14
54,"Level#2540213",15,15,19
55,"Level#2540213",14,15,19
56,"Level#2540213",12,15,19
57,"Level#2540213",34,15,19
58,"Level#2540213",17,15,19
59,"Level#4103464",34,20,29
60,"Level#3974981",34,25,29
61,"Level#4103469",34,30,34
62,"Level#3645035",34,40,44
63,"Level#3643001",33,35,39
64,"Level#3643001",34,35,39
65,"Level#3643001",32,35,39
66,"Level#4270131",34,35,39
67,"Level#3643492",33,40,44
68,"Level#3643492",34,40,44
69,"Level#3643492",32,40,44
70,"Level#4270237",34,40,44
71,"Level#4258822",33,45,49
72,"Level#4258822",34,45,49
73,"Level#4258822",32,45,49
74,"Level#4258843",34,45,49
75,"Level#4273866",0,0,0
76,"Level#5581202",0,1,0
77,"Level#2257767",0,2,0
78,"Level#2494901",0,3,0
79,"Level#5581204",0,4,0
80,"Level#1140490",0,5,0
81,"Level#2360548",0,6,0
82,"Level#3146810",0,7,0
83,"Level#2465084",0,8,0
84,"Level#5581206",0,9,0
85,"Level#4261609",0,10,0
86,"Level#5581196",0,11,0
87,"Level#4249634",0,12,0
88,"Level#4259850",0,13,0
89,"Level#3766212",0,14,0
90,"Level#1673081",0,15,0
91,"Level#3629823",0,16,0
92,"Level#4250584",0,17,0
93,"Level#4263517",0,18,0
94,"Level#5581197",0,19,0
95,"Level#4257902",0,20,0
96,"Level#1146551",0,21,0
97,"Level#4753811",0,22,0
98,"Level#4256140",0,23,0
99,"Level#5581186",0,24,0
100,"Level#1141151",0,25,0
101,"Level#4101490",0,26,0
102,"Level#4127303",0,27,0
103,"Level#5663701",0,28,0
104,"Level#4374262",0,29,0
105,"Level#4258385",0,30,0
106,"Level#4101423",0,31,0
107,"Level#5581915",1,50,59
108,"Level#1143516",0,32,0
109,"Level#2682191",0,33,0
110,"Level#1673577",0,34,0
111,"Level#3642535",0,35,0
112,"Level#5581899",0,36,0
113,"Level#5796581",0,37,0
114,"Level#5814139",0,38,0
115,"Level#5864096",0,39,0
116,"Level#5927813",0,40,0
117,"Level#5814720",0,41,0
118,"Level#5840614",0,42,0
119,"Level#5900081",0,43,0
120,"Level#5811436",0,44,0
121,"Level#5802670",0,45,0
122,"Level#5937783",0,46,0
123,"Level#6085420",0,47,0
124,"Level#6209460",0,48,0
125,"Level#4272594",0,49,0
126,"Level#5873405",0,50,0
127,"Level#5874750",0,51,0
128,"Level#6323298",0,52,0
129,"Level#1904988",0,53,0
130,"Level#4097322",0,54,0
131,"Level#6955049",0,55,0
132,"Level#6654205",0,56,0
133,"Level#6861929",0,57,0
134,"Level#6848289",0,58,0
135,"Level#6844084",0,59,0
136,"Level#6826254",0,60,0
137,"Level#6940301",0,61,0
138,"Level#6841559",0,62,0
139,"Level#6841981",0,63,0
140,"Level#6794369",0,64,0
141,"Level#6955577",0,65,0
142,"Level#6782550",0,66,0
143,"Level#6846334",0,67,0
144,"Level#6904392",0,68,0
145,"Level#6829259",0,69,0
146,"Level#7261358",0,70,0
147,"Level#6782523",0,71,0
148,"Level#7668953",0,72,0
149,"Level#7668951",0,73,0
150,"Level#7785472",0,74,0
151,"Level#7852555",0,75,0
152,"Level#6862867",0,76,0
153,"Level#7785699",0,77,0
154,"Level#7785754",0,78,0
155,"Level#7828240",0,79,0
156,"Level#8017105",0,80,0
157,"Level#8018200",0,81,0
158,"Level#7810904",0,82,0
159,"Level#8017134",0,83,0
160,"Level#7790159",0,84,0
161,"Level#7823477",0,85,0
162,"Level#8017280",0,86,0
163,"Level#8153080",0,87,0
