key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,Item{Atma},Item{Animus},Icon,,,,,,,,,,,,,
int32,Item,Item,Image,uint16,byte,byte,byte,uint16,byte,byte,byte,uint16,byte,byte,uint16,byte
0,"","",,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"コルタナ・アートマ","コルタナ・アニムス","ui/icon/080000/080152.tex",39,1,2,0,43,4,5,0,44,7,8,45,9
2,"スファライ・アートマ","スファライ・アニムス","ui/icon/080000/080153.tex",39,1,2,3,43,4,5,6,44,7,8,47,9
3,"ブラビューラ・アートマ","ブラビューラ・アニムス","ui/icon/080000/080154.tex",39,1,2,3,43,4,5,6,45,7,8,47,9
4,"ゲイボルグ・アートマ","ゲイボルグ・アニムス","ui/icon/080000/080155.tex",39,1,2,3,43,4,5,6,44,7,8,49,9
5,"アルテミスボウ・アートマ","アルテミスボウ・アニムス","ui/icon/080000/080156.tex",40,1,2,3,43,4,5,6,44,7,8,47,9
6,"タイラス・アートマ","タイラス・アニムス","ui/icon/080000/080157.tex",42,1,2,3,43,4,5,6,46,7,8,48,9
7,"スターダストロッド・アートマ","スターダストロッド・アニムス","ui/icon/080000/080158.tex",41,1,2,3,43,4,5,6,48,7,8,46,9
8,"ウイユヴェール・アートマ","ウイユヴェール・アニムス","ui/icon/080000/080159.tex",41,1,2,3,43,4,5,6,48,7,8,46,9
9,"マダレムジエン・アートマ","マダレムジエン・アニムス","ui/icon/080000/080160.tex",42,1,2,3,43,4,5,6,48,7,8,46,9
10,"ホーリーシールド・アートマ","ホーリーシールド・アニムス","ui/icon/080000/080151.tex",39,3,0,0,43,6,0,0,0,0,0,0,0
11,"吉光【真我】","吉光【入魂】","ui/icon/080000/080161.tex",40,1,2,3,43,4,5,6,49,7,8,44,9
