key,0,1,2,3,4,5,6
#,Slot,Probability<%>,Item,Collectability{Low},Collectability{Mid},Collectability{High},Reward
int32,byte,byte,Item,uint16,uint16,uint16,SatisfactionSupplyReward
0.0,0,0,,0,0,0,SatisfactionSupplyReward#0
1.0,1,1,近東風の蒐集品,55,219,382,SatisfactionSupplyReward#1
1.1,2,1,ラザハン古銭,240,320,400,SatisfactionSupplyReward#2
1.2,3,1,サベネアン・リーフフィッシュ,175,212,330,SatisfactionSupplyReward#2
2.0,1,1,寒冷地の名産品,57,255,425,SatisfactionSupplyReward#3
2.1,2,1,氷筍,240,320,400,SatisfactionSupplyReward#4
2.2,3,1,クリア・ハルオネ,15,20,29,SatisfactionSupplyReward#4
3.0,1,1,黒渦団の軍需品,59,294,470,SatisfactionSupplyReward#5
3.1,2,1,ダスケンモス,240,350,440,SatisfactionSupplyReward#6
3.2,3,1,雲海紅珊瑚,329,469,620,SatisfactionSupplyReward#6
4.0,1,1,心尽くしの贈答品,63,346,534,SatisfactionSupplyReward#7
4.1,2,1,ナチュラルマーブル,240,400,440,SatisfactionSupplyReward#8
4.2,3,1,心貝,45,68,85,SatisfactionSupplyReward#8
5.0,1,18,近東風の蒐集品,55,219,382,SatisfactionSupplyReward#9
5.1,1,18,寒冷地の名産品,57,255,425,SatisfactionSupplyReward#9
5.2,1,18,黒渦団の軍需品,59,294,470,SatisfactionSupplyReward#9
5.3,1,18,心尽くしの贈答品,63,346,534,SatisfactionSupplyReward#9
5.4,1,28,孤児院の日用品,68,403,604,SatisfactionSupplyReward#11
5.5,2,18,ラザハン古銭,240,320,400,SatisfactionSupplyReward#10
5.6,2,18,氷筍,240,320,400,SatisfactionSupplyReward#10
5.7,2,18,ダスケンモス,240,350,440,SatisfactionSupplyReward#10
5.8,2,18,ナチュラルマーブル,240,400,440,SatisfactionSupplyReward#10
5.9,2,28,レインボーピグメント,240,400,460,SatisfactionSupplyReward#12
5.10,3,18,サベネアン・リーフフィッシュ,175,212,330,SatisfactionSupplyReward#10
5.11,3,18,クリア・ハルオネ,15,20,29,SatisfactionSupplyReward#10
5.12,3,18,雲海紅珊瑚,329,469,620,SatisfactionSupplyReward#10
5.13,3,18,心貝,45,68,85,SatisfactionSupplyReward#10
5.14,3,28,リバーシュリンプ,75,139,142,SatisfactionSupplyReward#12
6.0,1,1,ギラバニアの名産品,157,314,471,SatisfactionSupplyReward#13
6.1,2,1,砕星砂,240,320,400,SatisfactionSupplyReward#14
6.2,3,1,ギラバニアチャブ,41,50,77,SatisfactionSupplyReward#14
7.0,1,1,東方風の蒐集品,167,335,502,SatisfactionSupplyReward#15
7.1,2,1,紫洲小判,240,320,400,SatisfactionSupplyReward#16
7.2,3,1,サンゴノオトシゴ,41,54,77,SatisfactionSupplyReward#16
8.0,1,1,ゴールドソーサーの景品,130,429,624,SatisfactionSupplyReward#17
8.1,2,1,コッター朝の宝飾,240,350,440,SatisfactionSupplyReward#18
8.2,3,1,コイマリモ,49,70,92,SatisfactionSupplyReward#18
9.0,1,1,メ族の日用品,130,468,663,SatisfactionSupplyReward#19
9.1,2,1,ギラバニアピグメント,240,400,440,SatisfactionSupplyReward#20
9.2,3,1,ベロジナサーモン,481,736,898,SatisfactionSupplyReward#20
10.0,1,18,ギラバニアの名産品,157,314,471,SatisfactionSupplyReward#21
10.1,1,18,東方風の蒐集品,167,335,502,SatisfactionSupplyReward#21
10.2,1,18,ゴールドソーサーの景品,130,429,624,SatisfactionSupplyReward#21
10.3,1,18,メ族の日用品,130,468,663,SatisfactionSupplyReward#21
10.4,1,28,解放軍の軍需品,104,542,751,SatisfactionSupplyReward#23
10.5,2,18,砕星砂,240,320,400,SatisfactionSupplyReward#22
10.6,2,18,紫洲小判,240,320,400,SatisfactionSupplyReward#22
10.7,2,18,コッター朝の宝飾,240,350,440,SatisfactionSupplyReward#22
10.8,2,18,ギラバニアピグメント,240,400,440,SatisfactionSupplyReward#22
10.9,2,28,黄葛根,240,400,460,SatisfactionSupplyReward#24
10.10,3,18,ギラバニアチャブ,41,50,77,SatisfactionSupplyReward#22
10.11,3,18,サンゴノオトシゴ,41,54,77,SatisfactionSupplyReward#22
10.12,3,18,コイマリモ,49,70,92,SatisfactionSupplyReward#22
10.13,3,18,ベロジナサーモン,481,736,898,SatisfactionSupplyReward#22
10.14,3,28,パープルバックラー,129,210,241,SatisfactionSupplyReward#24
11.0,1,1,ギラバニア医薬品,195,390,585,SatisfactionSupplyReward#25
11.1,2,1,石薬素材,240,320,400,SatisfactionSupplyReward#26
11.2,3,1,エスナカブリ,123,149,230,SatisfactionSupplyReward#26
12.0,1,1,サメ対策用品,195,390,585,SatisfactionSupplyReward#27
12.1,2,1,銛素材,240,320,400,SatisfactionSupplyReward#28
12.2,3,1,スファライフィッシュ,409,539,763,SatisfactionSupplyReward#28
13.0,1,1,クルザス防寒品,130,460,670,SatisfactionSupplyReward#29
13.1,2,1,保温性素材,240,350,440,SatisfactionSupplyReward#30
13.2,3,1,ヒートプレコ,303,432,566,SatisfactionSupplyReward#30
14.0,1,1,スイ特産品,130,500,710,SatisfactionSupplyReward#31
14.1,2,1,紫水結晶,240,400,440,SatisfactionSupplyReward#32
14.2,3,1,白銀貝,63,96,118,SatisfactionSupplyReward#32
15.0,1,18,ギラバニア医薬品,195,390,585,SatisfactionSupplyReward#33
15.1,1,18,サメ対策用品,195,390,585,SatisfactionSupplyReward#33
15.2,1,18,クルザス防寒品,130,460,670,SatisfactionSupplyReward#33
15.3,1,18,スイ特産品,130,500,710,SatisfactionSupplyReward#33
15.4,1,28,雲海の珍宝,110,565,780,SatisfactionSupplyReward#35
15.5,2,18,石薬素材,240,320,400,SatisfactionSupplyReward#34
15.6,2,18,銛素材,240,320,400,SatisfactionSupplyReward#34
15.7,2,18,保温性素材,240,350,440,SatisfactionSupplyReward#34
15.8,2,18,紫水結晶,240,400,440,SatisfactionSupplyReward#34
15.9,2,28,雲海の羽根,240,400,460,SatisfactionSupplyReward#36
15.10,3,18,エスナカブリ,123,149,230,SatisfactionSupplyReward#34
15.11,3,18,スファライフィッシュ,409,539,763,SatisfactionSupplyReward#34
15.12,3,18,ヒートプレコ,303,432,566,SatisfactionSupplyReward#34
15.13,3,18,白銀貝,63,96,118,SatisfactionSupplyReward#34
15.14,3,28,イルミナティマスク,135,221,252,SatisfactionSupplyReward#36
16.0,1,1,イシュガルド料理必需品,233,467,700,SatisfactionSupplyReward#37
