key,0,1,2,3
#,Image,,,
int32,Image,int16,sbyte,bit&01
0,,-1,1,True
1,,6,1,True
2,,7,1,True
3,,8,1,True
4,,-1,1,True
5,,9,1,True
6,,6,1,True
7,,7,1,True
8,,10,1,True
9,,11,1,True
10,,12,1,True
11,,13,1,True
12,,-1,1,True
13,,14,1,True
14,,5,1,True
15,,5,1,True
16,,5,1,True
17,,5,1,True
18,,5,1,True
19,,5,1,True
20,,5,1,True
21,,5,1,True
22,,5,1,True
23,,5,1,True
24,,5,1,True
25,,5,1,True
26,,5,1,True
27,,5,1,True
28,,5,1,True
29,,5,1,True
30,,5,1,True
31,,5,1,True
32,,5,1,True
33,,15,1,True
34,,16,1,True
35,,17,1,True
36,,5,1,True
37,,18,1,True
38,,19,1,True
39,,20,1,True
40,,5,1,True
41,,5,1,True
42,,5,1,True
43,,5,1,True
44,,5,1,True
45,,5,1,True
46,,5,1,True
47,,5,1,True
48,,5,1,True
49,,5,1,True
50,,5,1,True
51,,5,1,True
52,,5,1,True
53,,5,1,True
54,,5,1,True
55,,5,1,True
56,,5,1,True
57,,5,1,True
58,,5,1,True
59,,5,1,True
60,,5,1,True
61,,5,1,True
62,,5,1,True
63,,5,1,True
64,,5,1,True
65,,5,1,True
66,,5,1,True
67,,5,1,True
68,,5,1,True
69,,5,1,True
70,,5,1,True
71,,5,1,True
72,,7,1,True
73,,5,1,True
74,,5,1,True
75,,5,1,True
76,,5,1,True
77,,5,1,True
78,,5,1,True
79,,5,1,True
80,,5,1,True
81,,5,1,True
82,,5,1,True
83,,5,1,True
84,,5,1,True
85,,5,1,True
86,,5,1,True
87,,5,1,True
88,,5,1,True
89,,5,1,True
90,,5,1,True
91,,5,1,True
92,,5,1,True
93,,5,1,True
94,,5,1,True
95,,5,1,True
96,,5,1,True
97,,5,1,True
98,,5,1,True
99,,5,1,True
100,,6,1,True
101,,7,1,True
102,,8,1,True
103,,-1,1,True
104,,31,1,True
105,,32,1,True
106,,33,1,True
107,,8,1,True
108,,-1,1,True
109,,-1,1,True
110,,5,1,True
111,,5,1,True
112,,5,1,True
113,,5,1,True
114,,5,1,True
115,,5,1,True
116,,5,1,True
117,,-1,1,True
118,,5,1,True
119,,-1,1,True
120,,-1,1,True
121,,6,1,True
122,,7,1,True
123,,15,1,True
124,,16,1,True
125,,17,1,True
126,,35,1,True
127,,6,1,True
128,,7,1,True
129,,18,1,True
130,,34,1,True
131,,17,1,True
132,,6,1,True
133,,7,1,True
134,,15,1,True
135,,16,1,True
136,,17,1,True
137,,5,1,True
138,,5,1,True
139,,5,1,True
140,,5,1,True
141,,5,1,True
142,,5,1,True
143,,5,1,True
144,,5,1,True
145,,5,1,True
146,,5,1,True
147,,5,1,True
148,,-1,1,True
149,,0,1,True
150,,48,1,True
151,,7,1,True
