key,0,1,2,3,4,5,6,7,8,9,10,11
#,GatheringLevel,,TerritoryType,X,Y,Radius,,PlaceName,,GatheringPointBase,,
int32,byte,bit&01,TerritoryType,int16,int16,uint16,byte,PlaceName,byte,GatheringPointBase,uint16,uint16
0,65,False,"e3f1",1578,1434,800,2,"紅玉台場周辺",0,"GatheringPointBase#464",0,0
1,65,False,"e3f1",1344,516,600,2,"碧のタマミズ周辺",1,"GatheringPointBase#465",0,0
2,65,False,"e3f1",828,964,600,2,"スイの里周辺",2,"GatheringPointBase#466",0,0
3,65,False,"e3f1",768,1180,600,2,"アドヴェンチャー号周辺",3,"GatheringPointBase#467",0,0
4,65,False,"e3f1",192,1802,600,2,"紫水宮周辺",4,"GatheringPointBase#468",0,0
5,70,False,"e3f1",1892,264,600,2,"小林丸周辺",5,"GatheringPointBase#472",0,0
6,65,False,"e3f2",704,1824,600,2,"無二江川底南西",6,"GatheringPointBase#469",0,0
7,65,False,"e3f2",1022,1782,600,2,"無二江川底南",7,"GatheringPointBase#470",0,0
8,65,False,"e3f2",1688,1776,600,2,"高速魔導駆逐艇L‐XXIII周辺",8,"GatheringPointBase#471",0,0
9,70,False,"e3f2",444,1660,600,2,"沈没川船周辺",9,"GatheringPointBase#473",0,0
10,70,False,"e3f2",496,484,600,2,"大龍瀑川底",10,"GatheringPointBase#474",0,0
11,70,False,"e3f3",900,1100,600,2,"アジム・カート湖底西",11,"GatheringPointBase#475",0,0
12,70,False,"e3f3",1100,1100,600,4,"アジム・カート湖底東",12,"GatheringPointBase#476",0,0
13,70,False,"g3f3",644,880,600,2,"ロッホ・セル湖底北西",13,"GatheringPointBase#477",0,0
14,70,False,"g3f3",990,1100,600,2,"ロッホ・セル湖底中央",14,"GatheringPointBase#478",0,0
15,70,False,"g3f3",1180,1350,600,2,"ロッホ・セル湖底南東",15,"GatheringPointBase#479",0,0
