key,0,1,2,3,4,5
#,Color,Shade,SubOrder,Name,,
int32,Color,byte,byte,str,bit&01,bit&02
0,0,2,1,"",False,True
1,14999504,2,2,"",False,True
2,11315362,2,3,"",False,True
3,9013124,2,4,"",False,True
4,6645093,2,5,"",False,True
5,4736834,2,6,"",False,True
6,2828579,2,7,"",False,True
7,15114134,4,1,"",False,True
8,8612201,4,2,"",False,True
9,5969705,4,3,"",False,True
10,7871002,4,4,"",False,True
11,6431239,4,5,"",False,True
12,4527377,4,6,"",False,True
13,13397086,4,7,"",False,True
14,9517863,4,8,"",False,True
15,14985866,4,9,"",False,True
16,12016685,5,1,"",False,True
17,8206598,5,2,"",False,True
18,6966071,5,3,"",False,True
19,7224612,5,4,"",False,True
20,5188895,5,5,"",False,True
21,3154203,5,6,"",False,True
22,13209942,5,7,"",False,True
23,10055231,5,8,"",False,True
24,8084525,5,9,"",False,True
25,10651484,5,10,"",False,True
26,12940324,5,11,"",False,True
27,9328667,5,12,"",False,True
28,6570518,5,13,"",False,True
29,4008205,5,14,"",False,True
30,12166281,5,15,"",False,True
31,9601388,5,16,"",False,True
32,6378053,5,17,"",False,True
33,4141865,5,18,"",False,True
34,15455136,6,1,"",False,True
35,12034928,6,2,"",False,True
36,14398551,6,3,"",False,True
37,16434731,6,4,"",False,True
38,14982708,6,5,"",False,True
39,12355588,6,6,"",False,True
40,15914864,6,7,"",False,True
41,10847280,6,8,"",False,True
42,4207377,6,9,"",False,True
43,5788208,7,1,"",False,True
44,12303242,7,2,"",False,True
45,11251796,7,3,"",False,True
46,7369510,7,4,"",False,True
47,9149539,7,5,"",False,True
48,4936242,7,6,"",False,True
49,3290657,7,7,"",False,True
50,10204003,7,8,"",False,True
51,6652481,7,9,"",False,True
52,2640684,7,10,"",False,True
53,4219705,7,11,"",False,True
54,6255960,7,12,"",False,True
55,3886396,7,13,"",False,True
56,1976865,7,14,"",False,True
57,9878969,7,15,"",False,True
58,4420210,7,16,"",False,True
59,2049606,7,17,"",False,True
60,11715790,8,1,"",False,True
61,8630482,8,2,"",False,True
62,6586784,8,3,"",False,True
63,3893382,8,4,"",False,True
64,1850708,8,5,"",False,True
65,9345964,8,6,"",False,True
66,5199718,8,7,"",False,True
67,3094609,8,8,"",False,True
68,1711911,8,9,"",False,True
69,5996480,8,10,"",False,True
70,3102857,8,11,"",False,True
71,2310514,8,12,"",False,True
72,1124676,8,13,"",False,True
73,2568295,8,14,"",False,True
74,1579319,8,15,"",False,True
75,3618631,8,16,"",False,True
76,3222871,8,17,"",False,True
77,8880046,9,1,"",False,True
78,5326176,9,2,"",False,True
79,3288123,9,3,"",False,True
80,12033724,9,4,"",False,True
81,3877437,9,5,"",False,True
82,16699125,9,6,"",False,True
83,14457802,9,7,"",False,True
84,7950956,9,8,"",False,True
85,6697038,9,9,"",False,True
86,14942225,4,10,"",False,True
87,16070555,4,11,"",False,True
88,16709732,6,10,"",False,True
89,16511412,6,11,"",False,True
90,3746,8,18,"",False,True
91,307149,8,19,"",False,True
92,6316136,10,21,"",True,False
93,15328218,10,22,"",True,False
94,15192471,10,23,"",True,False
95,0,0,0,"",False,False
96,0,0,0,"",False,False
97,0,0,0,"",False,False
98,0,0,0,"",False,False
99,0,0,0,"",False,False
100,0,0,0,"",False,False
101,16382196,10,1,"",False,True
102,1973790,10,2,"",False,True
103,16632006,10,3,"",False,True
104,3283225,10,4,"",False,True
105,2629916,10,5,"",False,True
106,12242858,10,6,"",False,True
107,1387564,10,7,"",False,True
108,9872601,10,8,"",False,True
109,1187629,10,9,"",False,True
110,12301786,10,10,"",False,True
111,2301990,10,11,"",False,True
112,10987431,10,12,"",True,False
113,15590973,10,13,"",True,False
114,11935051,10,14,"",True,False
115,14978095,10,15,"",True,False
116,16046662,10,16,"",True,False
117,2271063,10,17,"",True,False
118,6214886,10,18,"",True,False
119,5264089,10,19,"",True,False
120,10708674,10,20,"",True,False
