key,0,1,2,3,4,5,6,7,8,9
#,Destination,Location,,,,RankReq,CeruleumTankReq,Duration<min>,DistanceForSurvey,ExpReward
int32,str,str,int16,int16,int16,byte,byte,uint16,byte,uint32
0,"","",483,927,0,0,0,0,0,0
1,"A　白の浅瀬","A",640,880,100,1,1,180,10,10610
2,"B　溺没海01","B",570,750,300,1,1,180,10,10610
3,"C　溺没海02","C",740,700,300,4,1,240,10,27840
4,"D　黒の海盆","D",400,850,500,4,2,240,10,27840
5,"E　溺没海03","E",650,610,200,7,2,300,11,46660
6,"F　リミララ海溝南端","F",850,850,600,7,3,300,11,46660
7,"G　アンブレラ海峡","G",260,760,100,10,1,360,11,75920
8,"H　虜囚島","H",120,840,100,14,1,420,12,102600
9,"I　石人島","I",380,660,100,17,1,420,12,118350
10,"J　名も無き沈没船","J",900,600,600,20,3,480,12,146210
11,"K　藍の浅瀬","K",520,550,300,20,6,480,12,146210
12,"L　神秘の海盆","L",260,570,600,24,6,540,13,174980
13,"M　溺没海04","M",90,630,100,27,6,600,13,200430
14,"N　リミララ海溝中腹","N",800,550,400,27,6,600,13,200430
15,"O　ディスカバリー号の残骸","O",630,490,500,30,6,660,14,231750
16,"P　木叢島","P",290,365,100,30,6,660,14,231750
17,"Q　金山島","Q",115,350,0,34,6,720,14,263530
18,"R　水師の隠し港","R",150,540,600,37,6,780,15,292170
19,"S　溺没海05","S",320,230,200,37,6,780,15,292170
20,"T　煉獄島","T",130,180,100,40,6,840,15,338330
21,"U　溺没海06","U",465,330,100,40,6,840,15,338330
22,"V　リミララ海溝大傾斜","V",555,225,600,44,6,900,16,374020
23,"W　溺没海07","W",710,370,300,44,6,900,16,374020
24,"X　輝砂の海盆","X",900,355,800,47,6,960,16,406590
25,"Y　残照の白谷","Y",210,90,100,47,6,960,16,406590
26,"Z　ヘッドウェイ号の残骸","Z",430,100,1000,50,6,1020,17,0
27,"AA　変理の海域","AA",830,210,800,50,6,1020,17,0
28,"AB　リミララ海溝最深部","AB",750,90,1000,50,6,1020,17,0
29,"AC　石造寺院跡","AC",895,100,1000,50,6,1020,17,0
30,"AD　古の宝物庫","AD",595,100,800,50,6,1020,17,0
31,"","",0,0,0,0,0,0,0,0
