key,0,1,2,3,4,5,6,7,8,9,10,11
#,,,,,,Command,ShortCommand,Description,Alias,ShortAlias,Param,
int32,byte,byte,sbyte,sbyte,sbyte,str,str,str,str,str,TextCommandParam,uint32
1,1,0,0,0,0,"/record","","","","",32,0
2,2,1,0,0,0,"/recordready","","","","",0,0
3,1,0,0,0,0,"/pvpteamcmd","","","","",0,0
4,1,0,0,0,0,"/saddlebag","","","","",0,0
5,1,0,0,0,0,"/magiaright","","","","",0,0
6,1,0,0,0,0,"/magialeft","","","","",0,0
7,1,0,0,0,0,"/cwlinkshellcmd","/cwlcmd","","","",0,0
8,3,1,17,0,0,"/quickchat","/qchat","","","",1021,0
9,4,3,2,18,2,"/bluespellbook","","","","",36,0
10,2,1,2,0,0,"/magiaattack","","","","",0,0
11,2,1,2,0,0,"/magiadefense","","","","",0,0
12,2,1,2,0,0,"/magiaauto","","","","",0,0
13,1,0,0,0,0,"/cwlinkshell1","/cwl1","","","",1021,0
14,1,0,0,0,0,"/cwlinkshell2","/cwl2","","","",1021,0
15,1,0,0,0,0,"/cwlinkshell3","/cwl3","","","",1021,0
16,1,0,0,0,0,"/cwlinkshell4","/cwl4","","","",1021,0
17,1,0,0,0,0,"/cwlinkshell5","/cwl5","","","",1021,0
18,1,0,0,0,0,"/cwlinkshell6","/cwl6","","","",1021,0
19,1,0,0,0,0,"/cwlinkshell7","/cwl7","","","",1021,0
20,1,0,0,0,0,"/cwlinkshell8","/cwl8","","","",1021,0
21,2,0,0,0,0,"/graphicpresets","/gpresets","","","",993,0
22,1,0,0,0,0,"/fellowship","/fs","","","",32,0
23,1,0,0,0,0,"/fellowshipfinder","/fsfinder","","","",32,0
24,1,0,0,0,0,"/collection","/coll","","","",32,0
25,1,0,0,0,0,"/newgame+","/ng+","","","",32,0
26,2,1,2,0,0,"/dice","","","","",36,1000
27,3,1,2,0,0,"/nameplatetype","","","","",36,0
28,3,1,2,0,0,"/nameplatedisp","","","","",36,0
29,2,1,20,0,0,"/fashion","","","","",36,0
30,1,0,0,0,0,"/fashionguide","","","","",32,0
31,1,0,0,0,0,"/officialsite","/site","","","",32,0
32,1,0,0,0,0,"//setGearset","","","","",32,0
91,1,0,0,0,0,"/pvpteam","/pt","","","",1021,0
92,1,0,0,0,0,"/cwlinkshell","/cwl","","","",1021,0
101,1,0,0,0,0,"/beginner","/b","","","",1021,0
102,1,0,0,0,0,"/say","/s","","","",1023,0
103,1,0,0,0,0,"/shout","/sh","","","",1021,0
104,3,0,0,0,0,"/tell","/t","","","",1021,0
105,1,0,0,0,0,"/party","/p","","","",1021,0
106,1,0,0,0,0,"/linkshell","/l","","","",1021,0
107,1,0,0,0,0,"/linkshell1","/l1","","","",1021,0
108,1,0,0,0,0,"/linkshell2","/l2","","","",1021,0
109,1,0,0,0,0,"/linkshell3","/l3","","","",1021,0
110,1,0,0,0,0,"/linkshell4","/l4","","","",1021,0
111,1,0,0,0,0,"/linkshell5","/l5","","","",1021,0
112,1,0,0,0,0,"/linkshell6","/l6","","","",1021,0
113,1,0,0,0,0,"/linkshell7","/l7","","","",1021,0
114,1,0,0,0,0,"/linkshell8","/l8","","","",1021,0
115,1,0,0,0,0,"/freecompany","/fc","","","",1021,0
116,1,0,0,0,0,"/echo","/e","","","",1021,0
117,1,0,0,0,0,"/yell","/y","","","",1021,0
118,1,0,0,0,0,"/reply","/r","","","",1021,0
119,1,0,0,0,0,"/alliance","/a","","","",1021,0
121,1,0,0,0,0,"/join","","","","",4,0
122,1,0,0,0,0,"/decline","","","","",4,0
123,2,0,0,0,0,"/invite","","","","",4,0
124,2,0,0,0,0,"/kick","","","","",4,0
125,2,0,0,0,0,"/leader","","","","",4,0
126,2,0,0,0,0,"/leave","","","","",4,0
131,2,0,0,0,0,"/check","/c","","","",160,0
132,2,0,0,0,0,"/trade","","","","",32,0
133,2,1,2,0,0,"/automove","","","","",36,0
134,2,0,0,0,0,"/follow","","","","",36,0
136,2,0,0,0,0,"/meldrequest","","","","",32,0
141,1,0,0,0,0,"/character","/gear","","","",32,0
142,1,0,0,0,0,"/journal","","","","",32,0
143,1,0,0,0,0,"/dutyfinder","/dfinder","","","",800,0
144,1,0,0,0,0,"/armourychest","/armoury","","","",32,0
145,1,0,0,0,0,"/huntinglog","/hlog","","","",32,0
146,1,0,0,0,0,"/craftinglog","/clog","","","",0,0
147,1,0,0,0,0,"/gatheringlog","/glog","","","",0,0
148,1,0,0,0,0,"/fishinglog","/flog","","","",32,0
149,1,0,0,0,0,"/achievements","","","","",32,0
150,3,1,2,0,0,"/partycmd","/pcmd","","","",32,0
151,3,1,2,0,0,"/friendlist","/flist","","","",128,0
152,3,1,2,0,0,"/blacklist","/blist","","","",0,0
153,20,0,0,0,0,"/search","/sea","","","",0,0
154,1,0,0,0,0,"/map","","","","",104,0
155,1,0,0,0,0,"/teleport","","","","",0,0
156,3,1,2,0,0,"/marking","/mk","","","",32,0
157,1,0,0,0,0,"/actionlist","/alist","","","",32,0
158,1,0,0,0,0,"/timers","","","","",32,0
159,1,0,0,0,0,"/recommended","","","","",32,0
160,2,1,0,0,0,"/inventory","/bag","","","",32,0
161,3,1,2,0,0,"/freecompanycmd","/fccmd","","","",0,0
162,4,2,0,2,0,"/linkshellcmd","/lcmd","","","",128,0
163,1,0,0,0,0,"/return","","","","",32,0
164,1,0,0,0,0,"/emotelist","/elist","","","",33,0
165,1,0,0,0,0,"/activehelp","","","","",32,0
166,1,0,0,0,0,"/supportdesk","/support","","","",32,0
167,1,0,0,0,0,"/characterconfig","/cconfig","","","",32,0
168,1,0,0,0,0,"/systemconfig","/sconfig","","","",32,0
169,1,0,0,0,0,"/keybind","/keyconfig","","","",32,0
170,1,0,0,0,0,"/macros","","","","",32,0
171,2,0,0,0,0,"/hudlayout","","","","",32,0
172,1,0,0,0,0,"/logout","","","","",32,0
173,1,0,0,0,0,"/shutdown","","","","",32,0
174,3,0,0,0,0,"/partysort","/psort","","","",36,0
175,1,0,0,0,0,"/readycheck","/rcheck","","","",32,0
176,1,0,0,0,0,"/ready","/rd","","","",36,0
177,1,0,0,0,0,"/notready","/nr","","","",36,0
178,3,1,2,0,0,"/waymark","/wmark","","","",32,0
179,1,0,0,0,0,"/fishguide","/fg","","","",32,0
180,1,0,0,0,0,"/housing","/hou","","","",32,0
181,1,0,0,0,0,"/minionguide","","","","",48,0
182,1,0,0,0,0,"/mountguide","","","","",32,0
183,1,0,0,0,0,"/partyfinder","/pfinder","","","",0,0
184,1,0,0,0,0,"/pvpprofile","/pvppro","","","",0,0
185,1,0,0,0,0,"/companion","/comp","","","",32,0
186,1,0,0,0,0,"/keyitem","/kitem","","","",32,0
187,1,0,0,0,0,"/challengelog","","","","",32,0
188,1,0,0,0,0,"/sightseeinglog","","","","",32,0
189,1,0,0,0,0,"/goldsaucer","/saucer","","","",32,0
190,1,0,0,0,0,"/currency","","","","",32,0
191,1,0,0,0,0,"/aethercurrent","/acurrent","","","",32,0
192,1,0,0,0,0,"/logcolor","/lcolor","","","",32,0
193,1,0,0,0,0,"/playguide","/pguide","","","",32,0
194,1,0,0,0,0,"/generaldutykey","/gdutykey","","","",40,0
195,1,0,0,0,0,"/raidfinder","/rfinder","","","",0,0
196,1,0,0,0,0,"/orchestrion","","","","",32,0
197,2,1,0,0,0,"/countdown","/cd","","","",32,0
198,1,0,0,0,0,"/contactlist","","","","",32,0
199,1,0,0,0,0,"/mountspeed","","","","",32,0
201,2,1,1,0,0,"/?","","","","",189,0
202,2,1,0,0,0,"/wait","","","","",181,0
204,2,1,2,0,0,"/legacymark","/lmark","","","",60,0
206,2,1,2,0,0,"/gcsalute","","","","",293,0
207,3,3,0,2,7,"/macroicon","/micon","","","",36,0
208,2,1,3,0,0,"/recast","","","","",36,0
209,4,1,2,0,0,"/gearset","/gs","","","",32,0
210,4,2,2,2,0,"/itemsort","/isort","","","",36,0
211,2,1,2,0,0,"/random","","","","",36,0
212,1,0,0,0,0,"/instance","","","","",60,0
213,1,0,0,0,0,"/cleartellhistory","/cth","","","",60,0
214,1,0,0,0,0,"/macrolock","/mlock","","","",36,0
215,2,1,2,0,0,"/macroerror","/merror","","","",36,0
216,1,0,0,0,0,"/clearlog","/cl","","","",509,0
217,0,0,0,0,0,"/macrocancel","/mcancel","","","",165,0
218,1,0,0,0,0,"/playtime","/ptime","","","",60,0
219,1,0,0,0,0,"/grouppose","/gpose","","","",160,0
220,2,0,0,0,0,"/itemsearch","/isearch","","","",32,3000
221,2,0,0,0,0,"/idlingcamera","/icam","","","",40,0
223,2,1,2,0,0,"/duelswitch","","","","",4,0
224,2,1,2,0,0,"/beginnerchannelinvitation","/bchannelinvitation","","","",189,1000
225,1,0,0,0,0,"/beginnerchannelleave","/bchannelleave","","","",189,1000
226,3,2,7,15,0,"/egiglamour","","","","",36,0
227,3,1,2,0,0,"/title","","","","",36,1000
228,2,1,2,0,0,"/bahamutsize","","","","",36,0
229,6,3,2,2,2,"/alarm","","","","",32,0
231,2,1,2,0,0,"/busy","","","","",36,0
232,2,1,2,0,0,"/away","/afk","","","",36,0
233,1,0,0,0,0,"/lookingforparty","/lfp","","","",36,0
234,2,1,2,0,0,"/lookingformeld","/lfm","","","",36,0
235,1,0,0,0,0,"/searchcomment","/scomment","","","",36,0
236,2,1,2,0,0,"/beginnerstatus","/bstatus","","","",36,1000
237,2,1,2,0,0,"/beginnerchannel","/bchannel","","","",36,1000
238,1,0,0,0,0,"/returnerstatusoff","","","","",36,1000
239,2,1,2,0,0,"/roleplaying","","","","",36,0
251,3,1,3,0,0,"/action","/ac","","","",36,0
252,2,1,2,0,0,"/battlemode","/bm","","","",36,0
253,2,0,0,0,0,"/target","/ta","","","",36,0
254,1,0,0,0,0,"/targetpc","/tpc","","","",36,0
255,1,0,0,0,0,"/targetnpc","/tnpc","","","",36,0
256,1,0,0,0,0,"/targetenemy","/tenemy","","","",36,0
257,1,0,0,0,0,"/battletarget","/bt","","","",36,0
258,2,0,0,0,0,"/assist","/as","","","",36,0
259,1,0,0,0,0,"/facetarget","/ft","","","",36,0
260,1,0,0,0,0,"/nexttarget","/nt","","","",36,0
261,1,0,0,0,0,"/previoustarget","","","","",36,0
262,1,0,0,0,0,"/targetlasttarget","/tlt","","","",36,0
263,1,0,0,0,0,"/targetlastenemy","/tle","","","",36,0
264,2,1,2,0,0,"/lockon","/lo","","","",36,0
265,2,0,0,0,0,"/focustarget","","","","",36,0
267,3,1,5,0,0,"/petaction","/pac","","","",36,0
268,2,1,6,0,0,"/companionaction","/cac","","","",36,0
269,1,0,0,0,0,"/facecamera","/fcam","","","",36,0
270,2,1,2,0,0,"/levelsync","/lsync","","","",36,0
271,2,1,9,0,0,"/mount","","","","",36,0
272,3,2,3,2,0,"/additionalaction","/aaction","","","",36,1000
273,3,1,10,0,0,"/generalaction","/gaction","","","",36,0
274,2,1,8,0,0,"/minion","","","","",36,0
275,2,0,0,0,0,"/statusoff","","","","",36,0
