key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Name,,,,,,,,,,,,,
int32,str,bit&01,byte,uint16,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
3276800,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276801,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276802,"ゴルディオン関連アイテムの取引",False,0,0,1769579,1769605,1769580,1769581,1769606,1769582,1769642,0,0,0
3276803,"ミダース関連アイテムの取引",False,0,0,1769643,1769644,1769645,1769646,1769647,1769648,0,0,0,0
3276804,"",False,0,0,593394,0,0,0,0,0,0,0,0,0
3276805,"",False,0,0,1769676,1769677,1769678,1769679,593394,0,0,0,0,0
3276806,"アレキサンダー関連アイテムの取引",False,0,0,1769689,1769690,1769691,1769692,1769693,1769694,0,0,0,0
3276807,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276808,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276809,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276810,"新生古典装備の取引",False,0,0,1769715,1769716,1769717,0,0,0,0,0,0,0
3276811,"ドマ風装備の取引",False,0,0,1769660,1769661,0,0,0,0,0,0,0,0
3276812,"「イディルシャイア製装備」の改良",True,0,0,1769734,1769735,1769736,0,0,0,0,0,0,0
3276813,"",False,0,0,1769676,1769677,1769738,1769678,1769679,1769739,1769749,1769750,593394,0
3276814,"",False,0,0,1769676,1769677,1769678,1769679,593394,0,0,0,0,0
3276815,"守りし者の装備の取引（ファイター）",False,0,0,262677,262678,262679,262680,262681,262682,262683,262684,0,0
3276816,"守りし者の装備の取引（ソーサラー）",False,0,0,262685,262686,262687,262688,262689,0,0,0,0,0
3276817,"対人戦績の取引（新生）",False,0,0,1769754,1769756,1769758,1769760,0,0,0,0,0,0
3276818,"対人戦績の取引（新生）",False,0,0,1769755,1769757,1769759,1769761,0,0,0,0,0,0
3276819,"対人戦績の取引（新生）",False,0,0,1769490,1769492,1769496,1769528,0,0,0,0,0,0
3276820,"対人戦績の取引（新生）",False,0,0,1769491,1769493,1769497,1769529,0,0,0,0,0,0
3276821,"対人戦績の取引（蒼天）",False,0,0,1769762,1769764,0,0,0,0,0,0,0,0
3276822,"対人戦績の取引（蒼天）",False,0,0,1769763,1769765,0,0,0,0,0,0,0,0
3276823,"対人戦績の取引（蒼天）",False,0,0,1769585,1769653,0,0,0,0,0,0,0,0
3276824,"対人戦績の取引（蒼天）",False,0,0,1769586,1769654,0,0,0,0,0,0,0,0
3276825,"ファイター向け防具の購入",False,0,0,262700,262701,262702,262703,262704,0,0,0,0,0
3276826,"ソーサラー向け防具の購入",False,0,0,262705,262706,262707,262708,262709,0,0,0,0,0
3276827,"クラフター・ギャザラー向け防具の購入",False,0,0,262710,262711,262712,262713,262714,0,0,0,0,0
3276828,"ファイター向け武器の購入",False,0,0,262715,262716,262717,262718,262719,0,0,0,0,0
3276829,"ソーサラー向け武器の購入",False,0,0,262720,262721,262722,262723,262724,0,0,0,0,0
3276830,"クラフター向け道具の購入",False,0,0,262725,262726,262727,262728,262729,0,0,0,0,0
3276831,"ギャザラー向け道具の購入",False,0,0,262730,262731,262732,262733,262734,0,0,0,0,0
3276832,"ファイター向け防具の購入",False,0,0,262703,262704,262737,262738,262739,262740,262741,262820,0,0
3276833,"ソーサラー向け防具の購入",False,0,0,262708,262709,262743,262744,262745,262746,262747,262827,0,0
3276834,"クラフター・ギャザラー向け防具の購入",False,0,0,262713,262714,262749,0,0,0,0,0,0,0
3276835,"ファイター向け武器の購入",False,0,0,262718,262719,262750,262751,262752,262753,262754,262835,0,0
3276836,"ソーサラー向け武器の購入",False,0,0,262723,262724,262756,262757,262758,262759,262760,262842,0,0
3276837,"クラフター向け道具の購入",False,0,0,262728,262729,262762,0,0,0,0,0,0,0
3276838,"ギャザラー向け道具の購入",False,0,0,262733,262734,262763,0,0,0,0,0,0,0
3276839,"ジョブ専用装備の再購入",False,0,0,262445,262443,262444,262951,262896,262897,262898,262899,262926,0
3276840,"報酬の再購入",False,0,0,262446,262449,262450,0,0,0,0,0,0,0
3276841,"性別専用装備の取引",False,0,0,1769513,1769688,1769512,1769687,0,0,0,0,0,0
3276842,"特殊品の取引",False,0,0,1769753,1769607,1769610,1769988,1769989,0,0,0,0,0
3276843,"",False,0,0,721154,721343,0,0,0,0,0,0,0,0
3276844,"対人戦績の取引（紅蓮）",False,0,0,1769805,1769848,0,0,0,0,0,0,0,0
3276845,"対人戦績の取引（紅蓮）",False,0,0,1769806,1769849,0,0,0,0,0,0,0,0
3276846,"道具の購入",False,0,0,262911,262912,262913,0,0,0,0,0,0,0
3276847,"防具の購入",False,0,0,262914,262915,262916,0,0,0,0,0,0,0
3276848,"シーズナルイベント報酬の再購入",False,0,0,262626,262627,262628,262629,262630,262631,262632,262633,262634,0
3276849,"アチーブメント報酬の再購入",False,0,0,262449,262450,0,0,0,0,0,0,0,0
3276850,"解放軍の手形との交換（NQ）",False,0,0,1769885,1769886,1769887,0,0,0,0,0,0,0
3276851,"解放軍の手形との交換（HQ）",False,0,0,1769888,1769889,1769890,0,0,0,0,0,0,0
3276852,"解放軍の手形の取引（NQ）",False,0,0,1769891,1769892,1769893,0,0,0,0,0,0,0
3276853,"解放軍の手形の取引（HQ）",False,0,0,1769894,1769895,1769896,0,0,0,0,0,0,0
3276854,"羅刹の手形との交換（NQ）",False,0,0,1769941,1769942,1769943,0,0,0,0,0,0,0
