key,0,1,2,3,4,5,6
#,Name,Icon,ClassJob,Level,Quest,Value,ClassJobCategory
int32,str,Image,ClassJob,byte,Quest,int16,ClassJobCategory
0,"","ui/icon/000000/000000.tex","すっぴん士",0,,0,""
1,"ＶＩＴアップ","ui/icon/005000/005130.tex","剣術士",20,,8,"剣術士 ナイト"
2,"ＶＩＴアップII","ui/icon/005000/005131.tex","剣術士",40,,16,"剣術士 ナイト"
3,"ＶＩＴアップIII","ui/icon/005000/005132.tex","剣術士",60,,24,"剣術士 ナイト"
4,"ＶＩＴアップ","ui/icon/005000/005130.tex","斧術士",20,,8,"斧術士 戦士"
5,"ＶＩＴアップII","ui/icon/005000/005131.tex","斧術士",40,,16,"斧術士 戦士"
6,"ＶＩＴアップIII","ui/icon/005000/005132.tex","斧術士",60,,24,"斧術士 戦士"
7,"ＳＴＲアップ","ui/icon/005000/005110.tex","格闘士",20,,8,"格闘士 モンク"
8,"ＳＴＲアップII","ui/icon/005000/005111.tex","格闘士",40,,16,"格闘士 モンク"
9,"ＳＴＲアップIII","ui/icon/005000/005112.tex","格闘士",60,,24,"格闘士 モンク"
10,"疾風迅雷効果アップ","ui/icon/005000/005230.tex","格闘士",20,,0,"格闘士 モンク"
11,"疾風迅雷効果アップII","ui/icon/005000/005231.tex","格闘士",40,,0,"格闘士 モンク"
12,"ＳＴＲアップ","ui/icon/005000/005110.tex","槍術士",20,,8,"槍術士 竜騎士"
13,"ＳＴＲアップII","ui/icon/005000/005111.tex","槍術士",40,,16,"槍術士 竜騎士"
14,"ＳＴＲアップIII","ui/icon/005000/005112.tex","槍術士",60,,24,"槍術士 竜騎士"
15,"ＤＥＸアップ","ui/icon/005000/005120.tex","弓術士",20,,8,"弓術士 吟遊詩人"
16,"ＤＥＸアップII","ui/icon/005000/005121.tex","弓術士",40,,16,"弓術士 吟遊詩人"
17,"ヘヴィショット効果アップ","ui/icon/005000/005306.tex","弓術士",8,,0,"弓術士 吟遊詩人"
18,"アクションダメージアップ","ui/icon/005000/005302.tex","弓術士",20,,10,"弓術士 吟遊詩人"
19,"ＤＥＸアップIII","ui/icon/005000/005122.tex","弓術士",60,,24,"弓術士 吟遊詩人"
20,"アクションダメージアップII","ui/icon/005000/005303.tex","弓術士",40,,20,"弓術士 吟遊詩人"
21,"ＭＮＤアップ","ui/icon/005000/005150.tex","幻術士",20,,8,"幻術士 白魔道士"
22,"ＭＮＤアップII","ui/icon/005000/005151.tex","幻術士",40,,16,"幻術士 白魔道士"
23,"アクションダメージ・回復量アップ","ui/icon/005000/005185.tex","幻術士",20,,10,"幻術士 白魔道士"
24,"ＭＮＤアップIII","ui/icon/005000/005152.tex","幻術士",60,,24,"幻術士 白魔道士"
25,"ケアル効果アップ","ui/icon/005000/005330.tex","幻術士",32,,0,"幻術士 白魔道士"
26,"アクションダメージ・回復量アップII","ui/icon/005000/005186.tex","幻術士",40,,30,"幻術士 白魔道士"
27,"ＩＮＴアップ","ui/icon/005000/005140.tex","呪術士",20,,8,"呪術士 黒魔道士"
28,"ＩＮＴアップII","ui/icon/005000/005141.tex","呪術士",40,,16,"呪術士 黒魔道士"
29,"アクションダメージ・回復量アップ","ui/icon/005000/005185.tex","呪術士",20,,10,"呪術士 黒魔道士"
30,"ＩＮＴアップIII","ui/icon/005000/005142.tex","呪術士",60,,24,"呪術士 黒魔道士"
31,"アクションダメージ・回復量アップII","ui/icon/005000/005186.tex","呪術士",40,,30,"呪術士 黒魔道士"
32,"ファイア効果アップ","ui/icon/005000/005352.tex","呪術士",42,,0,"呪術士 黒魔道士"
33,"サンダー系魔法効果アップ","ui/icon/005000/005355.tex","呪術士",28,,0,"呪術士 黒魔道士"
34,"オートトライアングレート","ui/icon/005000/005451.tex","園芸師",2,,0,"園芸師"
35,"ステルス効果アップ","ui/icon/005000/005452.tex","園芸師",18,,30,"園芸師"
36,"ステルス効果アップII","ui/icon/005000/005453.tex","園芸師",28,,40,"園芸師"
37,"ステルス効果アップIII","ui/icon/005000/005454.tex","園芸師",38,,50,"園芸師"
38,"オートプロスペクト","ui/icon/005000/005426.tex","採掘師",2,,0,"採掘師"
39,"ステルス効果アップ","ui/icon/005000/005427.tex","採掘師",18,,30,"採掘師"
40,"ステルス効果アップII","ui/icon/005000/005428.tex","採掘師",28,,40,"採掘師"
41,"ステルス効果アップIII","ui/icon/005000/005429.tex","採掘師",38,,50,"採掘師"
