key,0,1,2,3,4,5,6,7
#,,Icon,ItemName,KeyItemName,InstanceMap,MaxPartySize,MinPartySize,
int32,byte,Image,Item,EventItem,EventItem,byte,byte,uint16
0,1,"ui/icon/060000/060356.tex","古ぼけた地図G1","宝の地図G1",,1,0,200
1,1,"ui/icon/060000/060356.tex","古ぼけた地図G1","宝の地図G1",,1,0,200
2,1,"ui/icon/060000/060356.tex","古ぼけた地図G2","宝の地図G2",,1,0,200
3,1,"ui/icon/060000/060355.tex","古ぼけた地図G3","宝の地図G3",,1,0,200
4,1,"ui/icon/060000/060354.tex","古ぼけた地図G4","宝の地図G4",,1,0,200
5,1,"ui/icon/060000/060354.tex","古ぼけた地図G5","宝の地図G5",,8,0,200
6,1,"ui/icon/060000/060354.tex","謎めいた地図","輝石の地図",,1,1,200
7,1,"ui/icon/060000/060354.tex","隠された地図G1","秘宝の地図G1",,1,0,200
8,1,"ui/icon/060000/060354.tex","ソーン朝時代の地図","ソーン朝時代の宝の地図",,1,2,200
9,1,"ui/icon/060000/060356.tex","古ぼけた地図G6","宝の地図G6",,1,0,200
10,1,"ui/icon/060000/060355.tex","古ぼけた地図G7","宝の地図G7",,1,0,200
11,1,"ui/icon/060000/060354.tex","古ぼけた地図G8","宝の地図G8","転送魔紋の地図G1",8,0,200
12,1,"ui/icon/060000/060355.tex","古ぼけた地図G9","宝の地図G9",,1,0,200
13,1,"ui/icon/060000/060354.tex","古ぼけた地図G10","宝の地図G10","転送魔紋の地図G2",8,0,200
14,2,"ui/icon/060000/060354.tex","転送魔紋の地図:深層","転送魔紋の地図","転送魔紋の地図G3",8,4,100
15,0,"ui/icon/000000/000000.tex","",,,0,0,0
16,1,"ui/icon/060000/060354.tex","古ぼけた地図S1","宝の地図S1","転送魔紋の地図S1",8,0,200
