key,0,1,2,3
#,,,,Item
int32,uint16,byte,byte,Item
0,0,0,0,""
1,101,4,0,"オールドローズ:レッド"
2,101,4,1,"オールドローズ:ブルー"
3,101,4,2,"オールドローズ:イエロー"
4,101,4,3,"オールドローズ:グリーン"
5,101,4,4,"オールドローズ:オレンジ"
6,101,4,5,"オールドローズ:パープル"
7,101,4,6,"オールドローズ:ホワイト"
8,101,4,7,"オールドローズ:ブラック"
9,101,4,8,"オールドローズ:ブレンド"
10,102,4,0,"パンジー:レッド"
11,102,4,1,"パンジー:ブルー"
12,102,4,2,"パンジー:イエロー"
13,102,4,3,"パンジー:グリーン"
14,102,4,4,"パンジー:オレンジ"
15,102,4,5,"パンジー:パープル"
16,102,4,6,"パンジー:ホワイト"
17,102,4,7,"パンジー:ブラック"
18,102,4,8,"パンジー:ブレンド"
19,106,4,0,"チェリーブロッサム:レッド"
20,106,4,1,"チェリーブロッサム:ブルー"
21,106,4,2,"チェリーブロッサム:イエロー"
22,106,4,3,"チェリーブロッサム:グリーン"
23,106,4,4,"チェリーブロッサム:オレンジ"
24,106,4,5,"チェリーブロッサム:パープル"
25,106,4,6,"チェリーブロッサム:ホワイト"
26,106,4,7,"チェリーブロッサム:ブラック"
27,106,4,8,"チェリーブロッサム:ピンク"
28,107,4,0,"マーガレット:レッド"
29,107,4,1,"マーガレット:ブルー"
30,107,4,2,"マーガレット:イエロー"
31,107,4,3,"マーガレット:グリーン"
32,107,4,4,"マーガレット:オレンジ"
33,107,4,5,"マーガレット:パープル"
34,107,4,6,"マーガレット:ホワイト"
35,107,4,7,"マーガレット:ブラック"
36,107,4,8,"マーガレット:ブレンド"
37,105,4,0,"ブライトリリー:レッド"
38,105,4,1,"ブライトリリー:ブルー"
39,105,4,2,"ブライトリリー:イエロー"
40,105,4,3,"ブライトリリー:グリーン"
41,105,4,4,"ブライトリリー:オレンジ"
42,105,4,5,"ブライトリリー:パープル"
43,105,4,6,"ブライトリリー:ホワイト"
44,105,4,7,"ブライトリリー:ブラック"
45,105,4,8,"ブライトリリー:ブレンド"
46,103,4,0,"チューリップ:レッド"
47,103,4,1,"チューリップ:ブルー"
48,103,4,2,"チューリップ:イエロー"
49,103,4,3,"チューリップ:グリーン"
50,103,4,4,"チューリップ:オレンジ"
51,103,4,5,"チューリップ:パープル"
52,103,4,6,"チューリップ:ホワイト"
53,103,4,7,"チューリップ:ブラック"
54,103,4,8,"チューリップ:ブレンド"
55,109,4,0,"ダリア:レッド"
56,109,4,1,"ダリア:ブルー"
57,109,4,2,"ダリア:イエロー"
58,109,4,3,"ダリア:グリーン"
59,109,4,4,"ダリア:オレンジ"
60,109,4,5,"ダリア:パープル"
61,109,4,6,"ダリア:ホワイト"
62,109,4,7,"ダリア:ブラック"
63,109,4,8,"ダリア:ブレンド"
64,104,4,0,"カラー:レッド"
65,104,4,1,"カラー:ブルー"
66,104,4,2,"カラー:イエロー"
67,104,4,3,"カラー:グリーン"
68,104,4,4,"カラー:オレンジ"
69,104,4,5,"カラー:パープル"
