key,0,1
#,,
int32,str,str
0,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_000_000","おっ、なんだ？
蒼天街の様子を見にきたのか？"
1,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_010_000","おう、<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>。
蒼天街の公共事業に参加するなら、
ちょいと説明させてくれ。"
2,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_010_010","まず、あんたに覚えておいてほしいのが、
この「<Sheet(EObj,2010775,0)/>」だ。
蒼天街に関する、復興事業の情報を貼っつけてある。"
3,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_010_020","ま、主だった内容は、
新入り向けの案内や、事業の進捗報告だな。
事業の状況は、過去の分も振り返られるようにしてあるぜ。"
4,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_010_030","大規模な依頼や催しの告知もここに提示するから、
興味があれば、ちょくちょく覗きにきてくれ。"
5,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_010_040","そんでもって、基本的に職人がたには、
蒼天街に必要な物品の納品を頼んでいる。"
6,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_010_050","そのへんは、実際に窓口と話した方がはやいだろうし、
「ポットキン」ってやつに話を聞いてみてくれ。
現場との顔合わせを兼ねて、よろしく頼むよ。"
7,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_020_000","職人に頼みたい仕事の内容については、
「ポットキン」ってやつに話を聞いてみてくれ。
現場との顔合わせを兼ねて、よろしく頼むよ。"
8,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_030_000","ポットキンのやつと話してたのを、ここから見てたぜ。
あいつ、憧れの英雄と話すってんで緊張してたみたいだが……
仕事の内容はちゃんと聞けたか？"
9,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_030_010","そうだ、ついでに「エニー」にも話を聞いたらいい。
あいつは、職人向けの商品を扱ってるんだ。"
10,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_040_000","お、帰ってきたな。
復興事業の、だいたいの流れはわかったか？"
11,"TEXT_CTSHWDINFORMATION_00633_AUGEBERT_040_010","まぁ、もういちど確認したくなったら、
<Sheet(EObj,2010775,0)/>にも書いてあるから、
そっちを見てくれな。"
