key,0,1
#,,
int32,str,str
0,"TEXT_REGNOR4YTCTWINS1_00643_ANOGG_000_001","やぁ、旅の者よ、ワタシの話が聞きたいのか？"
1,"TEXT_REGNOR4YTCTWINS1_00643_Q1_000_000","何を聞く？"
2,"TEXT_REGNOR4YTCTWINS1_00643_A1_000_001","コノッグについて"
3,"TEXT_REGNOR4YTCTWINS1_00643_A1_000_002","機械たちについて"
4,"TEXT_REGNOR4YTCTWINS1_00643_A1_000_003","アンドロイドについて"
5,"TEXT_REGNOR4YTCTWINS1_00643_A1_000_004","キャンセル"
6,"TEXT_REGNOR4YTCTWINS1_00643_ANOGG_000_003","ワタシの弟について聞きたいのか？
いわば、ワタシの右腕のような存在だな。
心配性なところがたまにきずだがな、ハッハッハ。"
7,"TEXT_REGNOR4YTCTWINS1_00643_ANOGG_000_004","あの遺跡内で暴れていた機械達か……謎に満ちた存在だな。
しかし……どうして謎は、こうもワタシを惹きつけるのだろう！"
8,"TEXT_REGNOR4YTCTWINS1_00643_ANOGG_000_005","機械生命体とは何か……
それは、必ずワタシが解き明かす！"
9,"TEXT_REGNOR4YTCTWINS1_00643_ANOGG_000_006","アンドロイドか……ワタシもそれについて考えていてな。
あの技術を、我が手中に収めれば、この世界すら……。
おっと、何でもない……今のは忘れてくれたまえ。"
10,"TEXT_REGNOR4YTCTWINS1_00643_KONOGG_000_050","ハイ、なにかご用でしょうか？"
11,"TEXT_REGNOR4YTCTWINS1_00643_Q2_000_000","何を聞く？"
12,"TEXT_REGNOR4YTCTWINS1_00643_A2_000_001","アノッグについて"
13,"TEXT_REGNOR4YTCTWINS1_00643_A2_000_002","機械たちについて"
14,"TEXT_REGNOR4YTCTWINS1_00643_A2_000_003","アンドロイドについて"
15,"TEXT_REGNOR4YTCTWINS1_00643_A2_000_004","キャンセル"
16,"TEXT_REGNOR4YTCTWINS1_00643_KONOGG_000_052","ボクの姉について、ですか？
アノッグはいつも無茶してばかりで……。
心配する弟の身にもなってほしいですよ、まったく。"
17,"TEXT_REGNOR4YTCTWINS1_00643_KONOGG_000_053","キミもあの機械達が気になるのですか？
機械達はいろいろな部品の寄せ集めで作られているようです。"
18,"TEXT_REGNOR4YTCTWINS1_00643_KONOGG_000_054","部品の組み合わせの仕方も、様々なパターンがあり、
躯体の形状には多様性があるようですね、ハイ。"
19,"TEXT_REGNOR4YTCTWINS1_00643_KONOGG_000_055","アンドロイドですか……ボクにもまだ詳しくはわかりません。
味方なのか……それともボク達を脅かす存在なのか……
いずれにしても、今は慎重に調査を進めるしかないですね。"
