key,0,1
#,,
int32,str,str
0,"TEXT_AETHERYTE_FIRST_OPEN_01","「都市内エーテライト」を開放しました！"
1,"TEXT_AETHERYTE_FIRST_OPEN_02","「都市内エーテライト」に触れることで、
都市内エーテライト間を自由に移動ができる、
「都市転送網」が利用できます。"
2,"TEXT_AETHERYTE_FULL_OPEN_FST","グリダニアの「都市内エーテライト」をすべて開放しました！
ボーナスとして「青狢門」と「黄蛇門」、
「グリダニア・ランディング」への転送も可能になりました！"
3,"TEXT_AETHERYTE_FULL_OPEN_FST_WITH_WHITE_WOLF_GATE","グリダニアの「都市内エーテライト」をすべて開放しました！
ボーナスとして「青狢門」と「黄蛇門」、「白狼門」、
「グリダニア・ランディング」への転送も可能になりました！"
4,"TEXT_AETHERYTE_FULL_OPEN_SEA","リムサ・ロミンサの「都市内エーテライト」をすべて開放しました！
ボーナスとして「ゼファー陸門」と「テンペスト陸門」、
「リムサ・ロミンサ・ランディング」への転送も可能になりました！"
5,"TEXT_AETHERYTE_FULL_OPEN_WIL","ウルダハの「都市内エーテライト」をすべて開放しました！
ボーナスとして「ナル大門」と「ザル大門」、「ナナモ新門」、
「ウルダハ・ランディング」への転送も可能になりました！"
6,"TEXT_AETHERYTE_FULL_OPEN_GOLDSAUCER","ゴールドソーサーの「都市内エーテライト」を、
すべて開放しました！"
7,"TEXT_AETHERYTE_FULL_OPEN_TOWN_ROC","イシュガルドの「都市内エーテライト」をすべて開放しました！
ボーナスとして「聖徒門」への転送も可能になりました！"
8,"TEXT_AETHERYTE_FULL_OPEN_TOWN_IDYLLSHIRE","イディルシャイアの「都市内エーテライト」をすべて開放しました！
ボーナスとして「裏表紙門」への転送も可能になりました！"
9,"TEXT_AETHERYTE_FULL_OPEN_TOWN_IDYLLSHIRE_WITH_QUESTCOMP","イディルシャイアの「都市内エーテライト」をすべて開放しました！
ボーナスとして「裏表紙門」と、
「表紙門」への転送も可能になりました！"
10,"TEXT_AETHERYTE_FULL_OPEN_TOWN_KUGANE","クガネの「都市内エーテライト」をすべて開放しました！
ボーナスとして「クガネ・ランディング」への転送も、
可能になりました！"
11,"TEXT_AETHERYTE_FULL_OPEN_TOWN_KUGANE_WITH_QUESTCOMP","クガネの「都市内エーテライト」をすべて開放しました！
ボーナスとして「紅玉海」と、
「クガネ・ランディング」への転送も可能になりました！"
12,"TEXT_AETHERYTE_FULL_OPEN_TOWN_RHALGRS_REACH","ラールガーズリーチの「都市内エーテライト」をすべて開放しました！
ボーナスとして「辺境地帯」への転送も可能になりました！"
13,"TEXT_AETHERYTE_FULL_OPEN_TOWN_RHALGRS_REACH_WITH_QUESTCOMP","ラールガーズリーチの「都市内エーテライト」をすべて開放しました！
ボーナスとして「辺境地帯」と、
「山岳地帯」への転送も可能になりました！"
14,"TEXT_AETHERYTE_FULL_OPEN_DOMAN_ENCLAVE","ドマ町人地の「都市内エーテライト」をすべて開放しました！
ボーナスとして「無二江流域（ヤンサ方面）」への転送も、
可能になりました！"
